dt,x,y,position,velocity,acceleration,jerk,heading
0.02,31.9972,-5.5000,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,31.9916,-5.5000,0.0084,0.2800,7.0000,0.0000,3.1416
0.02,31.9832,-5.5000,0.0168,0.4200,7.0000,0.0000,3.1416
0.02,31.9720,-5.5000,0.0280,0.5600,7.0000,0.0000,3.1416
0.02,31.9580,-5.5000,0.0420,0.7000,7.0000,0.0000,3.1416
0.02,31.9412,-5.5000,0.0588,0.8400,7.0000,0.0000,3.1416
0.02,31.9216,-5.5000,0.0784,0.9800,7.0000,0.0000,3.1416
0.02,31.8992,-5.5000,0.1008,1.1200,7.0000,0.0000,3.1416
0.02,31.8740,-5.5000,0.1260,1.2600,7.0000,0.0000,3.1416
0.02,31.8460,-5.5000,0.1540,1.4000,7.0000,0.0000,3.1416
0.02,31.8152,-5.5000,0.1848,1.5400,7.0000,0.0000,3.1416
0.02,31.7816,-5.5000,0.2184,1.6800,7.0000,0.0000,3.1416
0.02,31.7452,-5.5000,0.2548,1.8200,7.0000,0.0000,3.1416
0.02,31.7060,-5.5000,0.2940,1.9600,7.0000,0.0000,3.1416
0.02,31.6640,-5.5000,0.3360,2.1000,7.0000,0.0000,3.1416
0.02,31.6192,-5.5000,0.3808,2.2400,7.0000,0.0000,3.1416
0.02,31.5716,-5.5000,0.4284,2.3800,7.0000,0.0000,3.1416
0.02,31.5212,-5.5000,0.4788,2.5200,7.0000,0.0000,3.1416
0.02,31.4680,-5.5000,0.5320,2.6600,7.0000,0.0000,3.1416
0.02,31.4120,-5.5000,0.5880,2.8000,7.0000,0.0000,3.1416
0.02,31.3532,-5.5000,0.6468,2.9400,7.0000,0.0000,3.1416
0.02,31.2916,-5.5000,0.7084,3.0800,7.0000,0.0000,3.1416
0.02,31.2272,-5.5000,0.7728,3.2200,7.0000,0.0000,3.1416
0.02,31.1600,-5.5000,0.8400,3.3600,7.0000,0.0000,3.1416
0.02,31.0900,-5.5000,0.9100,3.5000,7.0000,0.0000,3.1416
0.02,31.0172,-5.5000,0.9828,3.6400,7.0000,0.0000,3.1416
0.02,30.9416,-5.5000,1.0584,3.7800,7.0000,0.0000,3.1416
0.02,30.8632,-5.5000,1.1368,3.9200,7.0000,0.0000,3.1416
0.02,30.7820,-5.5000,1.2180,4.0600,7.0000,0.0000,3.1416
0.02,30.6980,-5.5000,1.3020,4.2000,7.0000,0.0000,3.1416
0.02,30.6112,-5.5000,1.3888,4.3400,7.0000,0.0000,3.1416
0.02,30.5216,-5.5000,1.4784,4.4800,7.0000,0.0000,3.1416
0.02,30.4292,-5.5000,1.5708,4.6200,7.0000,0.0000,3.1416
0.02,30.3340,-5.5000,1.6660,4.7600,7.0000,0.0000,3.1416
0.02,30.2360,-5.5000,1.7640,4.9000,7.0000,0.0000,3.1416
0.02,30.1352,-5.5000,1.8648,5.0400,7.0000,0.0000,3.1416
0.02,30.0316,-5.5000,1.9684,5.1800,7.0000,0.0000,3.1416
0.02,29.9252,-5.5000,2.0748,5.3200,7.0000,0.0000,3.1416
0.02,29.8160,-5.5000,2.1840,5.4600,7.0000,0.0000,3.1416
0.02,29.7040,-5.5000,2.2960,5.6000,7.0000,0.0000,3.1416
0.02,29.5892,-5.5000,2.4108,5.7400,7.0000,0.0000,3.1416
0.02,29.4716,-5.5000,2.5284,5.8800,7.0000,0.0000,3.1416
0.02,29.3512,-5.5000,2.6488,6.0200,7.0000,0.0000,3.1416
0.02,29.2336,-5.5000,2.7664,5.8800,-7.0000,0.0000,3.1416
0.02,29.1188,-5.5000,2.8812,5.7400,-7.0000,0.0000,3.1416
0.02,29.0068,-5.5000,2.9932,5.6000,-7.0000,0.0000,3.1416
0.02,28.8976,-5.5000,3.1024,5.4600,-7.0000,0.0000,3.1416
0.02,28.7912,-5.5000,3.2088,5.3200,-7.0000,0.0000,3.1416
0.02,28.6876,-5.5000,3.3124,5.1800,-7.0000,0.0000,3.1416
0.02,28.5868,-5.5000,3.4132,5.0400,-7.0000,0.0000,3.1416
0.02,28.4888,-5.5000,3.5112,4.9000,-7.0000,0.0000,3.1416
0.02,28.3936,-5.5000,3.6064,4.7600,-7.0000,0.0000,3.1416
0.02,28.3012,-5.5000,3.6988,4.6200,-7.0000,0.0000,3.1416
0.02,28.2116,-5.5000,3.7884,4.4800,-7.0000,0.0000,3.1416
0.02,28.1248,-5.5000,3.8752,4.3400,-7.0000,0.0000,3.1416
0.02,28.0408,-5.5000,3.9592,4.2000,-7.0000,0.0000,3.1416
0.02,27.9596,-5.5000,4.0404,4.0600,-7.0000,0.0000,3.1416
0.02,27.8812,-5.5000,4.1188,3.9200,-7.0000,0.0000,3.1416
0.02,27.8056,-5.5000,4.1944,3.7800,-7.0000,0.0000,3.1416
