dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-1.3000,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-1.3000,0.0084,0.2800,7.0000,0.0000,3.1416
0.02,30.7832,-1.3000,0.0168,0.4200,7.0000,0.0000,3.1415
0.02,30.7720,-1.3000,0.0280,0.5600,7.0000,0.0000,3.1414
0.02,30.7580,-1.3000,0.0420,0.7000,7.0000,0.0000,3.1412
0.02,30.7412,-1.3000,0.0588,0.8400,7.0000,0.0000,3.1408
0.02,30.7216,-1.3000,0.0784,0.9800,7.0000,0.0000,3.1402
0.02,30.6992,-1.2999,0.1008,1.1200,7.0000,0.0000,3.1393
0.02,30.6740,-1.2998,0.1260,1.2600,7.0000,0.0000,3.1380
0.02,30.6460,-1.2997,0.1540,1.4000,7.0000,0.0000,3.1362
0.02,30.6152,-1.2995,0.1848,1.5400,7.0000,0.0000,3.1339
0.02,30.5816,-1.2992,0.2184,1.6800,7.0000,0.0000,3.1310
0.02,30.5452,-1.2988,0.2548,1.8200,7.0000,0.0000,3.1273
0.02,30.5060,-1.2981,0.2940,1.9600,7.0000,0.0000,3.1227
0.02,30.4640,-1.2972,0.3360,2.1000,7.0000,0.0000,3.1172
0.02,30.4192,-1.2960,0.3808,2.2400,7.0000,0.0000,3.1106
0.02,30.3717,-1.2943,0.4284,2.3800,7.0000,0.0000,3.1028
0.02,30.3213,-1.2921,0.4788,2.5200,7.0000,0.0000,3.0937
0.02,30.2682,-1.2893,0.5320,2.6600,7.0000,0.0000,3.0832
0.02,30.2123,-1.2857,0.5880,2.8000,7.0000,0.0000,3.0711
0.02,30.1537,-1.2812,0.6468,2.9400,7.0000,0.0000,3.0574
0.02,30.0923,-1.2755,0.7084,3.0800,7.0000,0.0000,3.0420
0.02,30.0283,-1.2686,0.7728,3.2200,7.0000,0.0000,3.0247
0.02,29.9617,-1.2601,0.8400,3.3600,7.0000,0.0000,3.0056
0.02,29.8924,-1.2499,0.9100,3.5000,7.0000,0.0000,2.9845
0.02,29.8206,-1.2377,0.9828,3.6400,7.0000,0.0000,2.9614
0.02,29.7464,-1.2232,1.0584,3.7800,7.0000,0.0000,2.9364
0.02,29.6699,-1.2062,1.1368,3.9200,7.0000,0.0000,2.9096
0.02,29.5912,-1.1864,1.2180,4.0600,7.0000,0.0000,2.8810
0.02,29.5103,-1.1636,1.3020,4.2000,7.0000,0.0000,2.8509
0.02,29.4276,-1.1374,1.3888,4.3400,7.0000,0.0000,2.8195
0.02,29.3431,-1.1077,1.4784,4.4800,7.0000,0.0000,2.7870
0.02,29.2570,-1.0741,1.5708,4.6200,7.0000,0.0000,2.7540
0.02,29.1694,-1.0367,1.6660,4.7600,7.0000,0.0000,2.7207
0.02,29.0807,-0.9952,1.7640,4.9000,7.0000,0.0000,2.6875
0.02,28.9908,-0.9495,1.8648,5.0400,7.0000,0.0000,2.6551
0.02,28.9000,-0.8996,1.9684,5.1800,7.0000,0.0000,2.6238
0.02,28.8084,-0.8455,2.0748,5.3200,7.0000,0.0000,2.5940
0.02,28.7160,-0.7874,2.1840,5.4600,7.0000,0.0000,2.5661
0.02,28.6228,-0.7252,2.2960,5.6000,7.0000,0.0000,2.5406
0.02,28.5289,-0.6592,2.4108,5.7400,7.0000,0.0000,2.5177
0.02,28.4342,-0.5895,2.5284,5.8800,7.0000,0.0000,2.4978
0.02,28.3385,-0.5164,2.6488,6.0200,7.0000,0.0000,2.4811
0.02,28.2418,-0.4401,2.7720,6.1600,7.0000,0.0000,2.4678
0.02,28.1437,-0.3610,2.8980,6.3000,7.0000,0.0000,2.4582
0.02,28.0441,-0.2794,3.0268,6.4400,7.0000,0.0000,2.4526
0.02,27.9426,-0.1956,3.1584,6.5800,7.0000,0.0000,2.4512
0.02,27.8389,-0.1101,3.2928,6.7200,7.0000,0.0000,2.4542
0.02,27.7325,-0.0235,3.4300,6.8600,7.0000,0.0000,2.4620
0.02,27.6231,0.0639,3.5700,7.0000,7.0000,0.0000,2.4749
0.02,27.5101,0.1512,3.7128,7.1400,7.0000,0.0000,2.4932
0.02,27.3930,0.2378,3.8584,7.2800,7.0000,0.0000,2.5173
0.02,27.2714,0.3228,4.0068,7.4200,7.0000,0.0000,2.5474
0.02,27.1446,0.4052,4.1580,7.5600,7.0000,0.0000,2.5837
0.02,27.0123,0.4839,4.3120,7.7000,7.0000,0.0000,2.6263
0.02,26.8741,0.5579,4.4688,7.8400,7.0000,0.0000,2.6749
0.02,26.7297,0.6259,4.6284,7.9800,7.0000,0.0000,2.7285
0.02,26.5792,0.6868,4.7908,8.1200,7.0000,0.0000,2.7862
0.02,26.4227,0.7396,4.9560,8.2600,7.0000,0.0000,2.8460
0.02,26.2606,0.7837,5.1240,8.4000,7.0000,0.0000,2.9058
0.02,26.0935,0.8188,5.2948,8.5400,7.0000,0.0000,2.9633
0.02,25.9219,0.8449,5.4684,8.6800,7.0000,0.0000,3.0162
0.02,25.7464,0.8628,5.6448,8.8200,7.0000,0.0000,3.0622
0.02,25.5675,0.8735,5.8240,8.9600,7.0000,0.0000,3.0995
0.02,25.3856,0.8786,6.0060,9.1000,7.0000,0.0000,3.1261
0.02,25.2008,0.8800,6.1908,9.2400,7.0000,0.0000,3.1401
0.02,25.0132,0.8800,6.3784,9.3800,7.0000,0.0000,3.1378
0.02,24.8228,0.8794,6.5688,9.5200,7.0000,0.0000,3.1428
0.02,24.6296,0.8775,6.7620,9.6600,7.0000,0.0000,3.1520
0.02,24.4337,0.8733,6.9580,9.8000,7.0000,0.0000,3.1649
0.02,24.2350,0.8662,7.1568,9.9400,7.0000,0.0000,3.1812
0.02,24.0337,0.8554,7.3584,10.0800,7.0000,0.0000,3.2004
0.02,23.8298,0.8403,7.5628,10.2200,7.0000,0.0000,3.2218
0.02,23.6236,0.8204,7.7700,10.3600,7.0000,0.0000,3.2451
0.02,23.4151,0.7952,7.9800,10.5000,7.0000,0.0000,3.2697
0.02,23.2046,0.7644,8.1928,10.6400,7.0000,0.0000,3.2948
0.02,22.9921,0.7278,8.4084,10.7800,7.0000,0.0000,3.3201
0.02,22.7833,0.6866,8.6212,10.6400,-7.0000,0.0000,3.3442
0.02,22.5784,0.6410,8.8312,10.5000,-7.0000,0.0000,3.3668
0.02,22.3771,0.5917,9.0384,10.3600,-7.0000,0.0000,3.3875
0.02,22.1796,0.5392,9.2428,10.2200,-7.0000,0.0000,3.4062
0.02,21.9857,0.4839,9.4444,10.0800,-7.0000,0.0000,3.4228
0.02,21.7954,0.4265,9.6432,9.9400,-7.0000,0.0000,3.4371
0.02,21.6085,0.3674,9.8392,9.8000,-7.0000,0.0000,3.4493
0.02,21.4250,0.3071,10.0324,9.6600,-7.0000,0.0000,3.4593
0.02,21.2446,0.2460,10.2228,9.5200,-7.0000,0.0000,3.4675
0.02,21.0674,0.1845,10.4104,9.3800,-7.0000,0.0000,3.4738
0.02,20.8931,0.1230,10.5952,9.2400,-7.0000,0.0000,3.4786
0.02,20.7217,0.0618,10.7772,9.1000,-7.0000,0.0000,3.4819
0.02,20.5532,0.0010,10.9564,8.9600,-7.0000,0.0000,3.4841
0.02,20.3873,-0.0591,11.1328,8.8200,-7.0000,0.0000,3.4853
0.02,20.2242,-0.1184,11.3064,8.6800,-7.0000,0.0000,3.4859
0.02,20.0637,-0.1768,11.4772,8.5400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,8.4000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,8.2600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,8.1200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.9800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.8400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.7000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.5600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.4200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.2800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.1400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,7.0000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.8600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.7200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.5800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.4400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.3000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.1600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,6.0200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.8800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.7400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.6000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.4600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.3200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.1800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,5.0400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.9000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.7600,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.6200,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.4800,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.3400,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.2000,-7.0000,0.0000,3.4861
0.02,20.0000,-0.2000,11.5449,4.0600,-7.0000,0.0000,3.4861
