dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-2.3850,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-2.3850,0.0084,0.2808,7.0401,2.0046,3.1416
0.02,30.7831,-2.3850,0.0169,0.4227,7.0948,2.7348,3.1415
0.02,30.7718,-2.3850,0.0282,0.5664,7.1834,4.4318,3.1414
0.02,30.7576,-2.3850,0.0424,0.7124,7.2999,5.8237,3.1412
0.02,30.7403,-2.3850,0.0597,0.8612,7.4428,7.1471,3.1408
0.02,30.7201,-2.3850,0.0799,1.0134,7.6107,8.3905,3.1402
0.02,30.6967,-2.3849,0.1033,1.1695,7.8016,9.5452,3.1393
0.02,30.6701,-2.3848,0.1299,1.3297,8.0137,10.6058,3.1380
0.02,30.6402,-2.3847,0.1598,1.4946,8.2451,11.5696,3.1362
0.02,30.6069,-2.3845,0.1931,1.6645,8.4938,12.4361,3.1339
0.02,30.5701,-2.3842,0.2299,1.8397,8.7579,13.2061,3.1310
0.02,30.5297,-2.3837,0.2703,2.0204,9.0355,13.8806,3.1273
0.02,30.4856,-2.3829,0.3144,2.2069,9.3247,14.4589,3.1227
0.02,30.4376,-2.3819,0.3624,2.3993,9.6234,14.9370,3.1172
0.02,30.3857,-2.3805,0.4144,2.5979,9.9295,15.3054,3.1106
0.02,30.3296,-2.3785,0.4704,2.8027,10.2405,15.5459,3.1028
0.02,30.2694,-2.3759,0.5307,3.0138,10.5531,15.6300,3.0937
0.02,30.2049,-2.3725,0.5953,3.2311,10.8634,15.5147,3.0832
0.02,30.1359,-2.3680,0.6644,3.4544,11.1662,15.1407,3.0711
0.02,30.0625,-2.3623,0.7381,3.6835,11.4548,14.4295,3.0574
0.02,29.9845,-2.3552,0.8165,3.9179,11.7204,13.2827,3.0420
0.02,29.9018,-2.3462,0.8996,4.1569,11.9521,11.5829,3.0247
0.02,29.8145,-2.3351,0.9876,4.3997,12.1360,9.1985,3.0056
0.02,29.7226,-2.3215,1.0805,4.6448,12.2559,5.9934,2.9845
0.02,29.6262,-2.3051,1.1783,4.8906,12.2928,1.8435,2.9614
0.02,29.5254,-2.2855,1.2810,5.1352,12.2260,-3.3392,2.9364
0.02,29.4204,-2.2622,1.3885,5.3758,12.0345,-9.5754,2.9096
0.02,29.3116,-2.2348,1.5007,5.6098,11.6988,-16.7838,2.8810
0.02,29.1993,-2.2030,1.6174,5.8339,11.2038,-24.7496,2.8509
0.02,29.0841,-2.1666,1.7383,6.0447,10.5417,-33.1071,2.8195
0.02,28.9664,-2.1252,1.8631,6.2390,9.7147,-41.3485,2.7870
0.02,28.8468,-2.0786,1.9913,6.4138,8.7373,-48.8683,2.7540
0.02,28.7261,-2.0270,2.1227,6.5665,7.6365,-55.0443,2.7207
0.02,28.6048,-1.9702,2.2566,6.6955,6.4496,-59.3431,2.6875
0.02,28.4836,-1.9086,2.3926,6.7999,5.2211,-61.4246,2.6551
0.02,28.3630,-1.8423,2.5302,6.8799,3.9968,-61.2172,2.6238
0.02,28.2435,-1.7719,2.6689,6.9362,2.8180,-58.9383,2.5940
0.02,28.1255,-1.6976,2.8083,6.9706,1.7169,-55.0540,2.5661
0.02,28.0093,-1.6201,2.9480,6.9848,0.7131,-50.1920,2.5406
0.02,27.8951,-1.5398,3.0876,6.9811,-0.1876,-45.0342,2.5177
0.02,27.7829,-1.4573,3.2269,6.9612,-0.9920,-40.2173,2.4978
0.02,27.6728,-1.3732,3.3654,6.9269,-1.7172,-36.2626,2.4811
0.02,27.5648,-1.2880,3.5030,6.8791,-2.3880,-33.5400,2.4678
0.02,27.4586,-1.2024,3.6393,6.8185,-3.0332,-32.2600,2.4582
0.02,27.3543,-1.1169,3.7742,6.7448,-3.6828,-32.4810,2.4526
0.02,27.2516,-1.0321,3.9074,6.6575,-4.3651,-34.1146,2.4512
0.02,27.1504,-0.9488,4.0385,6.5554,-5.1034,-36.9143,2.4542
0.02,27.0506,-0.8674,4.1672,6.4372,-5.9121,-40.4328,2.4620
0.02,26.9521,-0.7888,4.2933,6.3014,-6.7908,-43.9386,2.4749
0.02,26.8549,-0.7136,4.4162,6.1470,-7.7165,-46.2850,2.4932
0.02,26.7588,-0.6425,4.5357,5.9744,-8.6314,-45.7431,2.5173
0.02,26.6639,-0.5763,4.6514,5.7858,-9.4284,-39.8501,2.5474
0.02,26.5703,-0.5153,4.7632,5.5871,-9.9363,-25.3956,2.5837
0.02,26.4777,-0.4602,4.8709,5.3889,-9.9119,1.2191,2.6263
0.02,26.3859,-0.4110,4.9751,5.2078,-9.0531,42.9403,2.6749
0.02,26.2942,-0.3678,5.0764,5.0668,-7.0498,100.1674,2.7285
0.02,26.2016,-0.3304,5.1763,4.9932,-3.6808,168.4465,2.7862
0.02,26.1066,-0.2983,5.2766,5.0145,1.0644,237.2631,2.8460
0.02,26.0071,-0.2713,5.3796,5.1526,6.9055,292.0531,2.9058
0.02,25.9011,-0.2490,5.4880,5.4188,13.3080,320.1245,2.9633
0.02,25.7862,-0.2316,5.6043,5.8120,19.6619,317.6985,3.0162
0.02,25.6604,-0.2188,5.7307,6.3225,25.5245,293.1266,3.0622
0.02,25.5218,-0.2105,5.8695,6.9386,30.8042,263.9881,3.0995
0.02,25.3688,-0.2063,6.0226,7.6551,35.8258,251.0796,3.1261
0.02,25.1992,-0.2050,6.1922,8.4814,41.3162,274.5186,3.1401
0.02,25.0091,-0.2050,6.3823,9.5039,51.1246,490.4210,3.1378
0.02,24.8241,-0.2056,6.5673,9.2503,-12.6821,-3190.3342,3.1428
0.02,24.6409,-0.2075,6.7505,9.1615,-4.4365,412.2762,3.1520
0.02,24.4590,-0.2114,6.9324,9.0967,-3.2427,59.6937,3.1649
0.02,24.2780,-0.2179,7.1136,9.0563,-2.0193,61.1669,3.1812
0.02,24.0974,-0.2277,7.2944,9.0416,-0.7330,64.3141,3.2004
0.02,23.9168,-0.2412,7.4755,9.0544,0.6377,68.5357,3.2218
0.02,23.7357,-0.2588,7.6574,9.0964,2.0986,73.0471,3.2451
0.02,23.5537,-0.2809,7.8408,9.1691,3.6378,76.9619,3.2697
0.02,23.3702,-0.3079,8.0263,9.2736,5.2261,79.4105,3.2948
0.02,23.1847,-0.3399,8.2145,9.4100,6.8196,79.6764,3.3201
0.02,23.0017,-0.3763,8.4011,9.3310,-3.9519,-538.5736,3.3442
0.02,22.8206,-0.4166,8.5866,9.2745,-2.8238,56.4066,3.3668
0.02,22.6413,-0.4606,8.7713,9.2346,-1.9937,41.5023,3.3875
0.02,22.4634,-0.5081,8.9554,9.2058,-1.4405,27.6611,3.4062
0.02,22.2868,-0.5585,9.1391,9.1832,-1.1341,15.3211,3.4228
0.02,22.1114,-0.6115,9.3223,9.1623,-1.0401,4.6980,3.4371
0.02,21.9371,-0.6667,9.5051,9.1399,-1.1239,-4.1883,3.4493
0.02,21.7639,-0.7236,9.6874,9.1128,-1.3530,-11.4582,3.4593
0.02,21.5920,-0.7819,9.8689,9.0788,-1.6993,-17.3117,3.4675
0.02,21.4212,-0.8411,10.0497,9.0360,-2.1388,-21.9768,3.4738
0.02,21.2518,-0.9009,10.2293,8.9830,-2.6523,-25.6724,3.4786
0.02,21.0839,-0.9610,10.4077,8.9185,-3.2240,-28.5863,3.4819
0.02,20.9175,-1.0210,10.5845,8.8417,-3.8413,-30.8655,3.4841
0.02,20.7530,-1.0806,10.7596,8.7518,-4.4936,-32.6149,3.4853
0.02,20.5904,-1.1397,10.9325,8.6484,-5.1716,-33.9021,3.4859
0.02,20.4301,-1.1981,11.1031,8.5311,-5.8669,-34.7646,3.4861
0.02,20.3664,-1.2213,11.1709,3.3864,-257.2340,-12568.3563,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,-169.3187,4395.7663,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,8465.9362,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
0.02,20.3664,-1.2213,11.1709,0.0000,0.0000,0.0000,3.4861
