dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-0.2150,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-0.2150,0.0084,0.2792,6.9599,-2.0046,3.1416
0.02,30.7833,-0.2150,0.0167,0.4173,6.9052,-2.7348,3.1415
0.02,30.7722,-0.2150,0.0278,0.5536,6.8166,-4.4318,3.1414
0.02,30.7584,-0.2150,0.0416,0.6876,6.7001,-5.8237,3.1412
0.02,30.7421,-0.2150,0.0579,0.8188,6.5572,-7.1472,3.1408
0.02,30.7231,-0.2150,0.0769,0.9466,6.3893,-8.3905,3.1402
0.02,30.7017,-0.2149,0.0983,1.0705,6.1984,-9.5453,3.1393
0.02,30.6779,-0.2149,0.1221,1.1903,5.9863,-10.6059,3.1380
0.02,30.6518,-0.2147,0.1482,1.3054,5.7549,-11.5698,3.1362
0.02,30.6235,-0.2146,0.1765,1.4155,5.5062,-12.4364,3.1339
0.02,30.5931,-0.2143,0.2069,1.5203,5.2421,-13.2067,3.1310
0.02,30.5607,-0.2139,0.2393,1.6196,4.9644,-13.8814,3.1273
0.02,30.5265,-0.2133,0.2736,1.7131,4.6752,-14.4601,3.1227
0.02,30.4905,-0.2125,0.3096,1.8006,4.3765,-14.9386,3.1172
0.02,30.4528,-0.2115,0.3472,1.8821,4.0703,-15.3075,3.1106
0.02,30.4137,-0.2101,0.3864,1.9572,3.7593,-15.5487,3.1028
0.02,30.3732,-0.2084,0.4269,2.0262,3.4467,-15.6336,3.0937
0.02,30.3315,-0.2062,0.4687,2.0889,3.1363,-15.5192,3.0832
0.02,30.2887,-0.2034,0.5116,2.1456,2.8334,-15.1462,3.0711
0.02,30.2449,-0.2000,0.5555,2.1965,2.5446,-14.4362,3.0574
0.02,30.2002,-0.1959,0.6003,2.2420,2.2788,-13.2905,3.0420
0.02,30.1548,-0.1910,0.6460,2.2830,2.0470,-11.5919,3.0247
0.02,30.1088,-0.1851,0.6924,2.3202,1.8628,-9.2085,3.0056
0.02,30.0622,-0.1783,0.7395,2.3551,1.7427,-6.0040,2.9845
0.02,30.0151,-0.1703,0.7873,2.3892,1.7057,-1.8542,2.9614
0.02,29.9675,-0.1610,0.8358,2.4246,1.7722,3.3291,2.9364
0.02,29.9194,-0.1503,0.8851,2.4639,1.9636,9.5670,2.9096
0.02,29.8707,-0.1381,0.9353,2.5099,2.2991,16.7783,2.8810
0.02,29.8213,-0.1241,0.9866,2.5658,2.7941,24.7484,2.8509
0.02,29.7711,-0.1082,1.0393,2.6349,3.4563,33.1114,2.8195
0.02,29.7198,-0.0901,1.0937,2.7206,4.2835,41.3591,2.7870
0.02,29.6671,-0.0696,1.1502,2.8258,5.2612,48.8857,2.7540
0.02,29.6128,-0.0464,1.2093,2.9531,6.3626,55.0681,2.7207
0.02,29.5566,-0.0201,1.2713,3.1041,7.5500,59.3719,2.6875
0.02,29.4981,0.0096,1.3369,3.2796,8.7792,61.4564,2.6551
0.02,29.4371,0.0432,1.4065,3.4797,10.0042,61.2496,2.6238
0.02,29.3733,0.0808,1.4806,3.7034,11.1835,58.9686,2.5940
0.02,29.3065,0.1229,1.5596,3.9491,12.2851,55.0800,2.5661
0.02,29.2364,0.1697,1.6439,4.2149,13.2894,50.2119,2.5406
0.02,29.1628,0.2214,1.7338,4.4987,14.1903,45.0468,2.5177
0.02,29.0854,0.2783,1.8298,4.7986,14.9947,40.2221,2.4978
0.02,29.0042,0.3404,1.9321,5.1130,15.7199,36.2595,2.4811
0.02,28.9187,0.4077,2.0409,5.4408,16.3905,33.5288,2.4678
0.02,28.8288,0.4804,2.1565,5.7815,17.0353,32.2406,2.4582
0.02,28.7338,0.5581,2.2792,6.1352,17.6844,32.4529,2.4526
0.02,28.6335,0.6409,2.4093,6.5025,18.3659,34.0767,2.4512
0.02,28.5273,0.7285,2.5470,6.8846,19.1032,36.8646,2.4542
0.02,28.4144,0.8205,2.6926,7.2828,19.9106,40.3690,2.4620
0.02,28.2940,0.9165,2.8466,7.6985,20.7877,43.8575,2.4749
0.02,28.1653,1.0160,3.0093,8.1328,21.7114,46.1836,2.4932
0.02,28.0273,1.1181,3.1810,8.5852,22.6238,45.6195,2.5173
0.02,27.8788,1.2218,3.3620,9.0536,23.4179,39.7059,2.5474
0.02,27.7190,1.3257,3.5527,9.5321,23.9227,25.2394,2.5837
0.02,27.5470,1.4281,3.7529,10.0100,23.8954,-1.3673,2.6263
0.02,27.3623,1.5269,3.9623,10.4706,23.0344,-43.0460,2.6749
0.02,27.1652,1.6197,4.1801,10.8913,21.0308,-100.1830,2.7285
0.02,26.9568,1.7040,4.4050,11.2445,17.6643,-168.3236,2.7862
0.02,26.7388,1.7776,4.6351,11.5030,12.9248,-236.9764,2.8460
0.02,26.5140,1.8387,4.8680,11.6449,7.0923,-291.6249,2.9058
0.02,26.2858,1.8866,5.1011,11.6589,0.6997,-319.6309,2.9633
0.02,26.0576,1.9214,5.3321,11.5460,-5.6452,-317.2442,3.0162
0.02,25.8324,1.9444,5.5584,11.3160,-11.5013,-292.8028,3.0622
0.02,25.6132,1.9576,5.7780,10.9804,-16.7782,-263.8458,3.0995
0.02,25.4024,1.9635,5.9889,10.5444,-21.8009,-251.1362,3.1261
0.02,25.2024,1.9650,6.1888,9.9984,-27.2969,-274.7973,3.1401
0.02,25.0173,1.9650,6.3740,9.2561,-37.1171,-491.0097,3.1378
0.02,24.8215,1.9644,6.5698,9.7897,26.6812,3189.9128,3.1428
0.02,24.6184,1.9624,6.7729,10.1584,18.4341,-412.3528,3.1520
0.02,24.4083,1.9580,6.9830,10.5032,17.2392,-59.7457,3.1649
0.02,24.1920,1.9504,7.1995,10.8235,16.0152,-61.1997,3.1812
0.02,23.9700,1.9386,7.4218,11.1181,14.7287,-64.3275,3.2004
0.02,23.7429,1.9218,7.6495,11.3852,13.3581,-68.5295,3.2218
0.02,23.5115,1.8996,7.8820,11.6232,11.8977,-73.0218,3.2451
0.02,23.2766,1.8713,8.1186,11.8304,10.3593,-76.9196,3.2697
0.02,23.0390,1.8367,8.3587,12.0058,8.7722,-79.3550,3.2948
0.02,22.7995,1.7956,8.6017,12.1494,7.1799,-79.6132,3.3201
0.02,22.5650,1.7494,8.8407,11.9485,-10.0453,-861.2594,3.3442
0.02,22.3361,1.6986,9.0752,11.7250,-11.1728,-56.3742,3.3668
0.02,22.1129,1.6441,9.3049,11.4850,-12.0026,-41.4894,3.3875
0.02,21.8958,1.5864,9.5295,11.2339,-12.5558,-27.6640,3.4062
0.02,21.6846,1.5263,9.7491,10.9766,-12.8626,-15.3356,3.4228
0.02,21.4794,1.4644,9.9634,10.7175,-12.9569,-4.7197,3.4371
0.02,21.2799,1.4014,10.1726,10.4600,-12.8737,4.1632,3.4493
0.02,21.0860,1.3378,10.3768,10.2071,-12.6450,11.4327,3.4593
0.02,20.8973,1.2739,10.5760,9.9611,-12.2993,17.2879,3.4675
0.02,20.7135,1.2102,10.7705,9.7239,-11.8602,21.9560,3.4738
