dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.0026,-0.1990,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.0079,-0.1971,0.0084,0.2800,7.0000,0.0000,0.3491
0.02,20.0158,-0.1943,0.0168,0.4200,7.0000,0.0000,0.3491
0.02,20.0263,-0.1904,0.0280,0.5600,7.0000,0.0000,0.3491
0.02,20.0395,-0.1856,0.0420,0.7000,7.0000,0.0000,0.3491
0.02,20.0553,-0.1799,0.0588,0.8400,7.0000,0.0000,0.3492
0.02,20.0737,-0.1732,0.0784,0.9800,7.0000,0.0000,0.3493
0.02,20.0947,-0.1655,0.1008,1.1200,7.0000,0.0000,0.3494
0.02,20.1184,-0.1569,0.1260,1.2600,7.0000,0.0000,0.3496
0.02,20.1447,-0.1473,0.1540,1.4000,7.0000,0.0000,0.3498
0.02,20.1736,-0.1367,0.1848,1.5400,7.0000,0.0000,0.3501
0.02,20.2052,-0.1252,0.2184,1.6800,7.0000,0.0000,0.3505
0.02,20.2394,-0.1127,0.2548,1.8200,7.0000,0.0000,0.3510
0.02,20.2762,-0.0992,0.2940,1.9600,7.0000,0.0000,0.3515
0.02,20.3156,-0.0847,0.3360,2.1000,7.0000,0.0000,0.3522
0.02,20.3577,-0.0693,0.3808,2.2400,7.0000,0.0000,0.3529
0.02,20.4023,-0.0528,0.4284,2.3800,7.0000,0.0000,0.3538
0.02,20.4496,-0.0353,0.4788,2.5200,7.0000,0.0000,0.3547
0.02,20.4995,-0.0168,0.5320,2.6600,7.0000,0.0000,0.3558
0.02,20.5519,0.0027,0.5880,2.8000,7.0000,0.0000,0.3569
0.02,20.6070,0.0233,0.6468,2.9400,7.0000,0.0000,0.3581
0.02,20.6647,0.0449,0.7084,3.0800,7.0000,0.0000,0.3593
0.02,20.7250,0.0676,0.7728,3.2200,7.0000,0.0000,0.3605
0.02,20.7878,0.0914,0.8400,3.3600,7.0000,0.0000,0.3617
0.02,20.8533,0.1162,0.9100,3.5000,7.0000,0.0000,0.3629
0.02,20.9213,0.1420,0.9828,3.6400,7.0000,0.0000,0.3639
0.02,20.9920,0.1690,1.0584,3.7800,7.0000,0.0000,0.3649
0.02,21.0652,0.1970,1.1368,3.9200,7.0000,0.0000,0.3656
0.02,21.1410,0.2260,1.2180,4.0600,7.0000,0.0000,0.3661
0.02,21.2195,0.2561,1.3020,4.2000,7.0000,0.0000,0.3663
0.02,21.3005,0.2872,1.3888,4.3400,7.0000,0.0000,0.3661
0.02,21.3842,0.3192,1.4784,4.4800,7.0000,0.0000,0.3654
0.02,21.4705,0.3522,1.5708,4.6200,7.0000,0.0000,0.3642
0.02,21.5595,0.3860,1.6660,4.7600,7.0000,0.0000,0.3624
0.02,21.6512,0.4207,1.7640,4.9000,7.0000,0.0000,0.3599
0.02,21.7456,0.4560,1.8648,5.0400,7.0000,0.0000,0.3566
0.02,21.8427,0.4920,1.9684,5.1800,7.0000,0.0000,0.3524
0.02,21.9427,0.5285,2.0748,5.3200,7.0000,0.0000,0.3472
0.02,22.0455,0.5653,2.1840,5.4600,7.0000,0.0000,0.3410
