dt,x,y,position,velocity,acceleration,jerk,heading
0.02,19.6315,0.8205,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,19.6368,0.8224,0.0084,0.2799,6.9941,-0.2946,0.3491
0.02,19.6447,0.8253,0.0168,0.4196,6.9861,-0.3983,0.3491
0.02,19.6552,0.8291,0.0280,0.5591,6.9734,-0.6382,0.3491
0.02,19.6683,0.8339,0.0419,0.6982,6.9569,-0.8234,0.3491
0.02,19.6840,0.8396,0.0587,0.8370,6.9372,-0.9854,0.3492
0.02,19.7024,0.8463,0.0782,0.9753,6.9148,-1.1188,0.3493
0.02,19.7233,0.8539,0.1004,1.1131,6.8905,-1.2183,0.3494
0.02,19.7468,0.8625,0.1254,1.2504,6.8649,-1.2790,0.3496
0.02,19.7728,0.8720,0.1532,1.3871,6.8390,-1.2965,0.3498
0.02,19.8015,0.8824,0.1837,1.5234,6.8136,-1.2667,0.3501
0.02,19.8326,0.8938,0.2168,1.6592,6.7899,-1.1861,0.3505
0.02,19.8663,0.9062,0.2527,1.7946,6.7689,-1.0515,0.3510
0.02,19.9026,0.9194,0.2913,1.9296,6.7516,-0.8608,0.3515
0.02,19.9413,0.9337,0.3326,2.0644,6.7394,-0.6120,0.3522
0.02,19.9826,0.9489,0.3766,2.1991,6.7333,-0.3044,0.3529
0.02,20.0264,0.9650,0.4233,2.3338,6.7346,0.0622,0.3538
0.02,20.0727,0.9821,0.4726,2.4686,6.7443,0.4872,0.3547
0.02,20.1215,1.0003,0.5247,2.6039,6.7637,0.9690,0.3558
0.02,20.1729,1.0194,0.5795,2.7398,6.7938,1.5049,0.3569
0.02,20.2268,1.0395,0.6370,2.8765,6.8356,2.0916,0.3581
0.02,20.2832,1.0607,0.6973,3.0143,6.8901,2.7246,0.3593
0.02,20.3423,1.0829,0.7604,3.1535,6.9581,3.3986,0.3605
0.02,20.4039,1.1061,0.8263,3.2943,7.0402,4.1073,0.3617
0.02,20.4682,1.1305,0.8950,3.4370,7.1371,4.8437,0.3629
0.02,20.5351,1.1560,0.9667,3.5820,7.2491,5.5997,0.3639
0.02,20.6048,1.1826,1.0413,3.7295,7.3764,6.3668,0.3649
0.02,20.6773,1.2103,1.1189,3.8799,7.5191,7.1354,0.3656
0.02,20.7526,1.2391,1.1995,4.0335,7.6770,7.8954,0.3661
0.02,20.8309,1.2691,1.2833,4.1905,7.8498,8.6360,0.3663
0.02,20.9121,1.3003,1.3704,4.3512,8.0367,9.3454,0.3661
0.02,20.9965,1.3326,1.4607,4.5159,8.2369,10.0108,0.3654
0.02,21.0840,1.3660,1.5544,4.6849,8.4493,10.6180,0.3642
0.02,21.1748,1.4006,1.6515,4.8584,8.6723,11.1507,0.3624
0.02,21.2691,1.4362,1.7523,5.0364,8.9041,11.5902,0.3599
0.02,21.3668,1.4728,1.8567,5.2193,9.1424,11.9140,0.3566
0.02,21.4682,1.5103,1.9648,5.4070,9.3843,12.0952,0.3524
0.02,21.5735,1.5487,2.0768,5.5995,9.6263,12.1009,0.3472
0.02,21.6826,1.5878,2.1927,5.7968,9.8641,11.8911,0.3410
0.02,21.7958,1.6275,2.3127,5.9986,10.0924,11.4174,0.3337
0.02,21.9132,1.6677,2.4368,6.2047,10.3049,10.6222,0.3251
0.02,22.0350,1.7081,2.5651,6.4146,10.4937,9.4387,0.3153
0.02,22.1612,1.7485,2.6976,6.6276,10.6495,7.7918,0.3041
0.02,22.2921,1.7886,2.8345,6.8428,10.7615,5.6005,0.2915
0.02,22.4276,1.8283,2.9757,7.0592,10.8172,2.7837,0.2775
0.02,22.5678,1.8671,3.1212,7.2752,10.8025,-0.7331,0.2621
0.02,22.7128,1.9047,3.2710,7.4893,10.7024,-5.0064,0.2453
0.02,22.8625,1.9407,3.4250,7.6993,10.5011,-10.0625,0.2273
0.02,23.0168,1.9749,3.5830,7.9029,10.1835,-15.8840,0.2080
0.02,23.1756,2.0067,3.7450,8.0977,9.7355,-22.3990,0.1878
0.02,23.3386,2.0359,3.9106,8.2806,9.1460,-29.4758,0.1668
0.02,23.5056,2.0622,4.0795,8.4487,8.4074,-36.9303,0.1452
0.02,23.6760,2.0852,4.2515,8.5991,7.5164,-44.5470,0.1235
0.02,23.8494,2.1048,4.4261,8.7285,6.4741,-52.1183,0.1019
0.02,24.0254,2.1210,4.6028,8.8342,5.2841,-59.4990,0.0810
0.02,24.2032,2.1336,4.7810,8.9132,3.9507,-66.6703,0.0612
0.02,24.3822,2.1429,4.9603,8.9627,2.4746,-73.8054,0.0431
0.02,24.5617,2.1492,5.1399,8.9797,0.8480,-81.3282,0.0273
0.02,24.7409,2.1529,5.3191,8.9607,-0.9512,-89.9604,0.0144
