dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.3737,-1.2186,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.3790,-1.2167,0.0084,0.2801,7.0059,0.2946,0.3491
0.02,20.3869,-1.2138,0.0168,0.4204,7.0139,0.3983,0.3491
0.02,20.3974,-1.2100,0.0280,0.5609,7.0266,0.6382,0.3491
0.02,20.4106,-1.2052,0.0421,0.7018,7.0431,0.8234,0.3491
0.02,20.4265,-1.1994,0.0589,0.8430,7.0628,0.9854,0.3492
0.02,20.4450,-1.1927,0.0786,0.9847,7.0852,1.1188,0.3493
0.02,20.4661,-1.1850,0.1012,1.1269,7.1095,1.2183,0.3494
0.02,20.4900,-1.1763,0.1266,1.2696,7.1351,1.2790,0.3496
0.02,20.5166,-1.1666,0.1548,1.4129,7.1610,1.2965,0.3498
0.02,20.5458,-1.1559,0.1859,1.5566,7.1864,1.2667,0.3501
0.02,20.5777,-1.1442,0.2200,1.7008,7.2101,1.1861,0.3505
0.02,20.6124,-1.1316,0.2569,1.8454,7.2311,1.0515,0.3510
0.02,20.6498,-1.1179,0.2967,1.9904,7.2483,0.8607,0.3515
0.02,20.6899,-1.1031,0.3394,2.1356,7.2606,0.6120,0.3522
0.02,20.7327,-1.0874,0.3850,2.2809,7.2667,0.3044,0.3529
0.02,20.7782,-1.0706,0.4335,2.4262,7.2654,-0.0623,0.3538
0.02,20.8265,-1.0528,0.4850,2.5713,7.2557,-0.4872,0.3547
0.02,20.8774,-1.0339,0.5393,2.7161,7.2363,-0.9690,0.3558
0.02,20.9310,-1.0139,0.5965,2.8602,7.2062,-1.5049,0.3569
0.02,20.9873,-0.9929,0.6566,3.0035,7.1644,-2.0916,0.3581
0.02,21.0462,-0.9708,0.7195,3.1457,7.1099,-2.7246,0.3593
0.02,21.1077,-0.9477,0.7852,3.2865,7.0419,-3.3986,0.3605
0.02,21.1718,-0.9234,0.8537,3.4257,6.9598,-4.1073,0.3617
0.02,21.2384,-0.8982,0.9250,3.5630,6.8629,-4.8436,0.3629
0.02,21.3076,-0.8719,0.9989,3.6980,6.7509,-5.5997,0.3639
0.02,21.3791,-0.8446,1.0755,3.8305,6.6236,-6.3667,0.3649
0.02,21.4531,-0.8163,1.1547,3.9601,6.4809,-7.1353,0.3656
0.02,21.5294,-0.7871,1.2365,4.0865,6.3230,-7.8954,0.3661
0.02,21.6080,-0.7569,1.3207,4.2095,6.1502,-8.6361,0.3663
0.02,21.6889,-0.7259,1.4072,4.3288,5.9633,-9.3456,0.3661
0.02,21.7719,-0.6941,1.4961,4.4441,5.7631,-10.0112,0.3654
0.02,21.8570,-0.6616,1.5872,4.5551,5.5507,-10.6186,0.3642
0.02,21.9441,-0.6285,1.6805,4.6616,5.3277,-11.1516,0.3624
0.02,22.0333,-0.5948,1.7757,4.7636,5.0959,-11.5915,0.3599
0.02,22.1243,-0.5607,1.8729,4.8607,4.8575,-11.9158,0.3566
0.02,22.2172,-0.5263,1.9720,4.9530,4.6156,-12.0976,0.3524
0.02,22.3119,-0.4918,2.0728,5.0405,4.3735,-12.1040,0.3472
0.02,22.4084,-0.4572,2.1753,5.1232,4.1356,-11.8950,0.3410
0.02,22.5065,-0.4228,2.2793,5.2014,3.9072,-11.4221,0.3337
0.02,22.6063,-0.3886,2.3848,5.2752,3.6946,-10.6278,0.3251
0.02,22.7078,-0.3550,2.4917,5.3454,3.5057,-9.4452,0.3153
0.02,22.8109,-0.3220,2.6000,5.4124,3.3497,-7.7989,0.3041
0.02,22.9156,-0.2898,2.7095,5.4771,3.2376,-5.6082,0.2915
0.02,23.0220,-0.2587,2.8203,5.5407,3.1817,-2.7914,0.2775
0.02,23.1300,-0.2288,2.9324,5.6047,3.1963,0.7258,0.2621
0.02,23.2398,-0.2004,3.0458,5.6706,3.2963,5.0002,0.2453
0.02,23.3514,-0.1735,3.1606,5.7405,3.4974,10.0584,0.2273
0.02,23.4650,-0.1483,3.2770,5.8168,3.8151,15.8831,0.2080
0.02,23.5807,-0.1251,3.3950,5.9021,4.2631,22.4022,0.1878
0.02,23.6988,-0.1040,3.5150,5.9992,4.8528,29.4841,0.1668
0.02,23.8196,-0.0850,3.6372,6.1110,5.5917,36.9444,0.1452
0.02,23.9433,-0.0683,3.7620,6.2407,6.4831,44.5671,0.1235
0.02,24.0703,-0.0539,3.8899,6.3912,7.5259,52.1441,0.1019
0.02,24.2010,-0.0419,4.0212,6.5655,8.7165,59.5292,0.0810
0.02,24.3360,-0.0323,4.1565,6.7665,10.0506,66.7027,0.0612
0.02,24.4758,-0.0250,4.2964,6.9971,11.5273,73.8371,0.0431
0.02,24.6209,-0.0200,4.4416,7.2601,13.1544,81.3552,0.0273
0.02,24.7721,-0.0169,4.5928,7.5592,14.9540,89.9775,0.0144
0.02,24.9300,-0.0154,4.7508,7.8986,16.9691,100.7574,0.0051
0.02,25.0957,-0.0150,4.9165,8.2840,19.2712,115.1067,0.0004
0.02,25.2658,-0.0151,5.0866,8.5063,11.1157,-407.7755,-0.0028
0.02,25.4253,-0.0166,5.2461,7.9754,-26.5465,-1883.1123,-0.0184
0.02,25.5736,-0.0212,5.3944,7.4161,-27.9646,-70.9026,-0.0468
0.02,25.7111,-0.0303,5.5323,6.8929,-26.1623,90.1131,-0.0875
0.02,25.8386,-0.0447,5.6605,6.4113,-24.0779,104.2217,-0.1396
0.02,25.9568,-0.0650,5.7805,5.9980,-20.6639,170.6976,-0.2019
0.02,26.0676,-0.0916,5.8944,5.6979,-15.0057,282.9125,-0.2724
0.02,26.1736,-0.1256,6.0057,5.5634,-6.7288,413.8417,-0.3479
0.02,26.2779,-0.1681,6.1184,5.6352,3.5935,516.1153,-0.4246
0.02,26.3840,-0.2209,6.2369,5.9244,14.4579,543.2210,-0.4986
0.02,26.4943,-0.2861,6.3650,6.4058,24.0731,480.7613,-0.5663
0.02,26.6106,-0.3651,6.5056,7.0302,31.2174,357.2132,-0.6251
0.02,26.7338,-0.4589,6.6605,7.7433,35.6575,222.0045,-0.6733
0.02,26.8646,-0.5675,6.8305,8.5023,37.9499,114.6200,-0.7101
0.02,27.0000,-0.6871,7.0111,9.0291,26.3357,-580.7109,-0.7346
0.02,27.1403,-0.8157,7.2014,9.5167,24.3820,-97.6830,-0.7476
0.02,27.2862,-0.9516,7.4008,9.9696,22.6469,-86.7560,-0.7496
0.02,27.4389,-1.0927,7.6088,10.3966,21.3500,-64.8418,-0.7412
