dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-1.3000,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-1.3000,0.0084,0.2800,7.0000,0.0000,3.1416
0.02,30.7832,-1.3000,0.0168,0.4200,7.0000,0.0000,3.1415
0.02,30.7720,-1.3000,0.0280,0.5600,7.0000,0.0000,3.1414
0.02,30.7580,-1.3000,0.0420,0.7000,7.0000,0.0000,3.1412
0.02,30.7412,-1.3000,0.0588,0.8400,7.0000,0.0000,3.1408
0.02,30.7216,-1.3000,0.0784,0.9800,7.0000,0.0000,3.1402
0.02,30.6992,-1.2999,0.1008,1.1200,7.0000,0.0000,3.1393
0.02,30.6740,-1.2998,0.1260,1.2600,7.0000,0.0000,3.1380
0.02,30.6460,-1.2997,0.1540,1.4000,7.0000,0.0000,3.1363
0.02,30.6152,-1.2995,0.1848,1.5400,7.0000,0.0000,3.1340
0.02,30.5816,-1.2992,0.2184,1.6800,7.0000,0.0000,3.1312
0.02,30.5452,-1.2988,0.2548,1.8200,7.0000,0.0000,3.1276
0.02,30.5060,-1.2981,0.2940,1.9600,7.0000,0.0000,3.1232
0.02,30.4640,-1.2973,0.3360,2.1000,7.0000,0.0000,3.1180
0.02,30.4192,-1.2961,0.3808,2.2400,7.0000,0.0000,3.1118
0.02,30.3717,-1.2945,0.4284,2.3800,7.0000,0.0000,3.1046
0.02,30.3213,-1.2924,0.4788,2.5200,7.0000,0.0000,3.0963
0.02,30.2682,-1.2898,0.5320,2.6600,7.0000,0.0000,3.0869
0.02,30.2123,-1.2864,0.5880,2.8000,7.0000,0.0000,3.0763
0.02,30.1536,-1.2822,0.6468,2.9400,7.0000,0.0000,3.0645
0.02,30.0922,-1.2771,0.7084,3.0800,7.0000,0.0000,3.0515
0.02,30.0281,-1.2709,0.7728,3.2200,7.0000,0.0000,3.0374
0.02,29.9614,-1.2634,0.8400,3.3600,7.0000,0.0000,3.0221
0.02,29.8919,-1.2544,0.9100,3.5000,7.0000,0.0000,3.0057
0.02,29.8199,-1.2440,0.9828,3.6400,7.0000,0.0000,2.9885
0.02,29.7453,-1.2318,1.0584,3.7800,7.0000,0.0000,2.9704
0.02,29.6682,-1.2177,1.1368,3.9200,7.0000,0.0000,2.9516
0.02,29.5886,-1.2016,1.2180,4.0600,7.0000,0.0000,2.9325
0.02,29.5066,-1.1833,1.3020,4.2000,7.0000,0.0000,2.9131
0.02,29.4222,-1.1629,1.3888,4.3400,7.0000,0.0000,2.8938
0.02,29.3356,-1.1401,1.4784,4.4800,7.0000,0.0000,2.8748
0.02,29.2467,-1.1149,1.5708,4.6200,7.0000,0.0000,2.8564
0.02,29.1556,-1.0873,1.6660,4.7600,7.0000,0.0000,2.8390
0.02,29.0623,-1.0573,1.7640,4.9000,7.0000,0.0000,2.8227
0.02,28.9668,-1.0250,1.8648,5.0400,7.0000,0.0000,2.8080
0.02,28.8691,-0.9904,1.9684,5.1800,7.0000,0.0000,2.7951
0.02,28.7693,-0.9537,2.0748,5.3200,7.0000,0.0000,2.7843
0.02,28.6671,-0.9151,2.1840,5.4600,7.0000,0.0000,2.7760
0.02,28.5626,-0.8747,2.2960,5.6000,7.0000,0.0000,2.7704
0.02,28.4557,-0.8329,2.4108,5.7400,7.0000,0.0000,2.7678
0.02,28.3463,-0.7900,2.5284,5.8800,7.0000,0.0000,2.7684
0.02,28.2341,-0.7463,2.6488,6.0200,7.0000,0.0000,2.7726
0.02,28.1190,-0.7023,2.7720,6.1600,7.0000,0.0000,2.7806
0.02,28.0009,-0.6584,2.8980,6.3000,7.0000,0.0000,2.7926
0.02,27.8795,-0.6153,3.0268,6.4400,7.0000,0.0000,2.8089
0.02,27.7547,-0.5736,3.1584,6.5800,7.0000,0.0000,2.8295
0.02,27.6263,-0.5339,3.2928,6.7200,7.0000,0.0000,2.8547
0.02,27.4941,-0.4970,3.4300,6.8600,7.0000,0.0000,2.8842
0.02,27.3582,-0.4636,3.5700,7.0000,7.0000,0.0000,2.9178
0.02,27.2184,-0.4345,3.7128,7.1400,7.0000,0.0000,2.9551
0.02,27.0748,-0.4103,3.8584,7.2800,7.0000,0.0000,2.9953
0.02,26.9276,-0.3918,4.0068,7.4200,7.0000,0.0000,3.0374
0.02,26.7769,-0.3793,4.1580,7.5600,7.0000,0.0000,3.0801
0.02,26.6231,-0.3731,4.3120,7.7000,7.0000,0.0000,3.1218
0.02,26.4663,-0.3731,4.4688,7.8400,7.0000,0.0000,3.1609
0.02,26.3068,-0.3790,4.6284,7.9800,7.0000,0.0000,3.1956
0.02,26.1448,-0.3902,4.7908,8.1200,7.0000,0.0000,3.2241
0.02,25.9803,-0.4056,4.9560,8.2600,7.0000,0.0000,3.2446
0.02,25.8133,-0.4239,5.1240,8.4000,7.0000,0.0000,3.2547
0.02,25.6436,-0.4434,5.2948,8.5400,7.0000,0.0000,3.2524
0.02,25.4712,-0.4640,5.4684,8.6800,7.0000,0.0000,3.2604
0.02,25.2963,-0.4868,5.6448,8.8200,7.0000,0.0000,3.2746
0.02,25.1191,-0.5131,5.8240,8.9600,7.0000,0.0000,3.2943
0.02,24.9397,-0.5438,6.0060,9.1000,7.0000,0.0000,3.3189
0.02,24.7584,-0.5798,6.1908,9.2400,7.0000,0.0000,3.3478
0.02,24.5756,-0.6220,6.3784,9.3800,7.0000,0.0000,3.3802
0.02,24.3917,-0.6710,6.5688,9.5200,7.0000,0.0000,3.4151
0.02,24.2069,-0.7274,6.7620,9.6600,7.0000,0.0000,3.4515
0.02,24.0217,-0.7915,6.9580,9.8000,7.0000,0.0000,3.4883
0.02,23.8363,-0.8633,7.1568,9.9400,7.0000,0.0000,3.5244
0.02,23.6510,-0.9427,7.3584,10.0800,7.0000,0.0000,3.5586
0.02,23.4659,-1.0293,7.5628,10.2200,7.0000,0.0000,3.5901
0.02,23.2809,-1.1227,7.7700,10.3600,7.0000,0.0000,3.6178
0.02,23.0959,-1.2220,7.9800,10.5000,7.0000,0.0000,3.6411
0.02,22.9155,-1.3238,8.1872,10.3600,-7.0000,0.0000,3.6591
0.02,22.7390,-1.4270,8.3916,10.2200,-7.0000,0.0000,3.6718
0.02,22.5660,-1.5304,8.5932,10.0800,-7.0000,0.0000,3.6792
0.02,22.3959,-1.6333,8.7920,9.9400,-7.0000,0.0000,3.6818
0.02,22.2282,-1.7348,8.9880,9.8000,-7.0000,0.0000,3.6798
0.02,22.0625,-1.8341,9.1812,9.6600,-7.0000,0.0000,3.6737
0.02,21.8984,-1.9307,9.3716,9.5200,-7.0000,0.0000,3.6638
0.02,21.7356,-2.0240,9.5592,9.3800,-7.0000,0.0000,3.6506
0.02,21.5740,-2.1136,9.7440,9.2400,-7.0000,0.0000,3.6349
0.02,21.4133,-2.1991,9.9260,9.1000,-7.0000,0.0000,3.6171
0.02,21.2536,-2.2804,10.1052,8.9600,-7.0000,0.0000,3.5980
0.02,21.0949,-2.3573,10.2816,8.8200,-7.0000,0.0000,3.5783
0.02,20.9372,-2.4299,10.4552,8.6800,-7.0000,0.0000,3.5587
0.02,20.7807,-2.4983,10.6260,8.5400,-7.0000,0.0000,3.5400
0.02,20.6256,-2.5629,10.7940,8.4000,-7.0000,0.0000,3.5230
0.02,20.4721,-2.6240,10.9592,8.2600,-7.0000,0.0000,3.5084
0.02,20.3204,-2.6820,11.1216,8.1200,-7.0000,0.0000,3.4970
0.02,20.1708,-2.7376,11.2812,7.9800,-7.0000,0.0000,3.4893
0.02,20.0236,-2.7914,11.4380,7.8400,-7.0000,0.0000,3.4861
0.02,20.0000,-2.8000,11.4631,7.7000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,7.5600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,7.4200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,7.2800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,7.1400,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,7.0000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.8600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.7200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.5800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.4400,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.3000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.1600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,6.0200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.8800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.7400,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.6000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.4600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.3200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.1800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,5.0400,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.9000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.7600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.6200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.4800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.3400,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.2000,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,4.0600,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,3.9200,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,3.7800,-7.0000,0.0000,3.4860
0.02,20.0000,-2.8000,11.4631,3.6400,-7.0000,0.0000,3.4860
