dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-2.3850,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-2.3850,0.0084,0.2808,7.0404,2.0224,3.1416
0.02,30.7831,-2.3850,0.0169,0.4227,7.0955,2.7523,3.1415
0.02,30.7718,-2.3850,0.0282,0.5664,7.1844,4.4457,3.1414
0.02,30.7576,-2.3850,0.0424,0.7124,7.3006,5.8118,3.1412
0.02,30.7403,-2.3850,0.0597,0.8613,7.4423,7.0815,3.1408
0.02,30.7201,-2.3850,0.0799,1.0134,7.6070,8.2342,3.1402
0.02,30.6967,-2.3849,0.1033,1.1692,7.7920,9.2511,3.1393
0.02,30.6701,-2.3848,0.1299,1.3291,7.9943,10.1154,3.1380
0.02,30.6402,-2.3847,0.1598,1.4933,8.2105,10.8116,3.1363
0.02,30.6070,-2.3845,0.1930,1.6621,8.4370,11.3259,3.1340
0.02,30.5703,-2.3842,0.2297,1.8355,8.6699,11.6446,3.1312
0.02,30.5300,-2.3837,0.2700,2.0136,8.9050,11.7540,3.1276
0.02,30.4861,-2.3830,0.3139,2.1963,9.1378,11.6393,3.1232
0.02,30.4384,-2.3820,0.3616,2.3836,9.3635,11.2838,3.1180
0.02,30.3869,-2.3806,0.4131,2.5751,9.5768,10.6678,3.1118
0.02,30.3316,-2.3787,0.4685,2.7706,9.7722,9.7689,3.1046
0.02,30.2722,-2.3763,0.5279,2.9695,9.9434,8.5615,3.0963
0.02,30.2089,-2.3731,0.5913,3.1711,10.0838,7.0183,3.0869
0.02,30.1415,-2.3691,0.6588,3.3749,10.1860,5.1119,3.0763
0.02,30.0701,-2.3640,0.7304,3.5797,10.2424,2.8181,3.0645
0.02,29.9947,-2.3577,0.8061,3.7846,10.2448,0.1205,3.0515
0.02,29.9153,-2.3500,0.8859,3.9883,10.1851,-2.9839,3.0374
0.02,29.8320,-2.3406,0.9697,4.1894,10.0556,-6.4788,3.0221
0.02,29.7450,-2.3294,1.0574,4.3864,9.8491,-10.3216,3.0057
0.02,29.6544,-2.3163,1.1489,4.5776,9.5603,-14.4387,2.9885
0.02,29.5604,-2.3009,1.2442,4.7613,9.1859,-18.7234,2.9704
0.02,29.4633,-2.2832,1.3429,4.9358,8.7251,-23.0377,2.9516
0.02,29.3633,-2.2629,1.4449,5.0994,8.1807,-27.2199,2.9325
0.02,29.2608,-2.2401,1.5499,5.2506,7.5588,-31.0976,2.9131
0.02,29.1561,-2.2147,1.6576,5.3880,6.8687,-34.5060,2.8938
0.02,29.0495,-2.1867,1.7679,5.5104,6.1225,-37.3081,2.8748
0.02,28.9414,-2.1560,1.8802,5.6171,5.3342,-39.4134,2.8564
