dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-0.2150,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,-0.2150,0.0084,0.2792,6.9596,-2.0224,3.1416
0.02,30.7833,-0.2150,0.0167,0.4173,6.9045,-2.7523,3.1415
0.02,30.7722,-0.2150,0.0278,0.5536,6.8156,-4.4457,3.1414
0.02,30.7584,-0.2150,0.0416,0.6876,6.6994,-5.8118,3.1412
0.02,30.7421,-0.2150,0.0579,0.8187,6.5577,-7.0815,3.1408
0.02,30.7231,-0.2150,0.0769,0.9466,6.3930,-8.2342,3.1402
0.02,30.7017,-0.2149,0.0983,1.0708,6.2080,-9.2512,3.1393
0.02,30.6779,-0.2149,0.1221,1.1909,6.0057,-10.1155,3.1380
0.02,30.6518,-0.2147,0.1482,1.3067,5.7895,-10.8118,3.1363
0.02,30.6234,-0.2146,0.1766,1.4179,5.5629,-11.3262,3.1340
0.02,30.5929,-0.2143,0.2071,1.5245,5.3300,-11.6451,3.1312
0.02,30.5604,-0.2139,0.2396,1.6264,5.0950,-11.7547,3.1276
0.02,30.5259,-0.2133,0.2741,1.7237,4.8621,-11.6403,3.1232
0.02,30.4896,-0.2126,0.3104,1.8164,4.6364,-11.2851,3.1180
0.02,30.4515,-0.2116,0.3485,1.9049,4.4231,-10.6694,3.1118
0.02,30.4118,-0.2102,0.3883,1.9894,4.2276,-9.7709,3.1046
0.02,30.3704,-0.2085,0.4297,2.0705,4.0564,-8.5639,3.0963
0.02,30.3275,-0.2064,0.4727,2.1489,3.9159,-7.0211,3.0869
0.02,30.2830,-0.2037,0.5172,2.2251,3.8136,-5.1150,3.0763
0.02,30.2372,-0.2005,0.5632,2.3003,3.7572,-2.8215,3.0645
0.02,30.1898,-0.1965,0.6107,2.3754,3.7547,-0.1240,3.0515
0.02,30.1410,-0.1917,0.6597,2.4516,3.8143,2.9807,3.0374
0.02,30.0907,-0.1861,0.7103,2.5305,3.9439,6.4761,3.0221
0.02,30.0389,-0.1794,0.7626,2.6135,4.1503,10.3196,3.0057
0.02,29.9854,-0.1717,0.8167,2.7023,4.4390,14.4379,2.9885
0.02,29.9302,-0.1626,0.8726,2.7986,4.8135,18.7241,2.9704
0.02,29.8730,-0.1522,0.9307,2.9041,5.2743,23.0402,2.9516
0.02,29.8138,-0.1402,0.9911,3.0204,5.8188,27.2244,2.9325
0.02,29.7523,-0.1265,1.0541,3.1493,6.4409,31.1041,2.9131
0.02,29.6883,-0.1110,1.1199,3.2919,7.1312,34.5145,2.8938
0.02,29.6216,-0.0934,1.1889,3.4494,7.8775,37.3180,2.8748
0.02,29.5519,-0.0737,1.2614,3.6228,8.6660,39.4243,2.8564
0.02,29.4789,-0.0516,1.3376,3.8124,9.4821,40.8033,2.8390
0.02,29.4024,-0.0270,1.4180,4.0186,10.3119,41.4907,2.8227
0.02,29.3221,0.0002,1.5028,4.2415,11.1436,41.5831,2.8080
0.02,29.2376,0.0301,1.5924,4.4809,11.9680,41.2226,2.7951
0.02,29.1487,0.0628,1.6872,4.7365,12.7795,40.5742,2.7843
0.02,29.0550,0.0982,1.7873,5.0080,13.5754,39.7974,2.7760
0.02,28.9562,0.1364,1.8932,5.2951,14.3557,39.0147,2.7704
0.02,28.8519,0.1772,2.0052,5.5975,15.1213,38.2800,2.7678
0.02,28.7418,0.2204,2.1235,5.9149,15.8722,37.5443,2.7684
0.02,28.6254,0.2657,2.2484,6.2470,16.6046,36.6198,2.7726
0.02,28.5022,0.3128,2.3803,6.5932,17.3074,35.1395,2.7806
0.02,28.3719,0.3612,2.5193,6.9523,17.9577,32.5164,2.7926
0.02,28.2339,0.4102,2.6658,7.3227,18.5159,27.9103,2.8089
0.02,28.0878,0.4590,2.8198,7.7011,18.9204,20.2239,2.8295
0.02,27.9333,0.5067,2.9815,8.0827,19.0837,8.1659,2.8547
0.02,27.7704,0.5523,3.1507,8.4606,18.8924,-9.5642,2.8842
0.02,27.5990,0.5944,3.3272,8.8249,18.2140,-33.9210,2.9178
0.02,27.4195,0.6317,3.5104,9.1632,16.9143,-64.9888,2.9551
0.02,27.2329,0.6631,3.6997,9.4609,14.8859,-101.4150,2.9953
0.02,27.0404,0.6873,3.8937,9.7026,12.0839,-140.1046,3.0374
0.02,26.8436,0.7036,4.0912,9.8736,8.5522,-176.5847,3.0801
0.02,26.6445,0.7117,4.2904,9.9621,4.4265,-206.2810,3.1218
0.02,26.4453,0.7117,4.4896,9.9601,-0.1024,-226.4486,3.1609
0.02,26.2482,0.7044,4.6869,9.8629,-4.8615,-237.9521,3.1956
0.02,26.0553,0.6911,4.8802,9.6672,-9.7825,-246.0512,3.2241
0.02,25.8688,0.6736,5.0676,9.3675,-14.9828,-260.0145,3.2446
0.02,25.6908,0.6541,5.2466,8.9510,-20.8277,-292.2462,3.2547
0.02,25.5236,0.6350,5.4149,8.4144,-26.8314,-300.1822,3.2524
0.02,25.3426,0.6134,5.5972,9.1150,35.0321,3093.1711,3.2604
0.02,25.1525,0.5886,5.7889,9.5879,23.6442,-569.3931,3.2746
0.02,24.9540,0.5593,5.9895,10.0292,22.0646,-78.9812,3.2943
0.02,24.7483,0.5242,6.1983,10.4372,20.3993,-83.2626,3.3189
0.02,24.5362,0.4822,6.4144,10.8078,18.5292,-93.5075,3.3478
0.02,24.3192,0.4323,6.6371,11.1351,16.3672,-108.0986,3.3802
0.02,24.0986,0.3737,6.8654,11.4126,13.8766,-124.5284,3.4151
0.02,23.8760,0.3059,7.0981,11.6343,11.0844,-139.6133,3.4515
0.02,23.6530,0.2289,7.3340,11.7960,8.0830,-150.0664,3.4883
0.02,23.4311,0.1432,7.5719,11.8963,5.0167,-153.3151,3.5244
0.02,23.2115,0.0493,7.8107,11.9374,2.0519,-148.2432,3.5586
0.02,22.9955,-0.0516,8.0491,11.9242,-0.6579,-135.4912,3.5901
0.02,22.7835,-0.1584,8.2864,11.8642,-3.0008,-117.1418,3.6178
0.02,22.5762,-0.2696,8.5217,11.7658,-4.9196,-95.9417,3.6411
0.02,22.3787,-0.3809,8.7484,11.3352,-21.5313,-830.5833,3.6591
0.02,22.1903,-0.4909,8.9666,10.9062,-21.4500,4.0615,3.6718
0.02,22.0103,-0.5985,9.1763,10.4860,-21.0077,22.1156,3.6792
0.02,21.8378,-0.7028,9.3779,10.0799,-20.3043,35.1737,3.6818
0.02,21.6720,-0.8032,9.5717,9.6919,-19.4024,45.0931,3.6798
0.02,21.5120,-0.8991,9.7582,9.3252,-18.3340,53.4195,3.6737
0.02,21.3572,-0.9903,9.9379,8.9830,-17.1092,61.2383,3.6638
0.02,21.2069,-1.0766,10.1113,8.6685,-15.7265,69.1371,3.6506
0.02,21.0602,-1.1579,10.2790,8.3848,-14.1819,77.2315,3.6349
0.02,20.9166,-1.2345,10.4417,8.1353,-12.4772,85.2353,3.6171
0.02,20.7755,-1.3064,10.6001,7.9228,-10.6256,92.5770,3.5980
0.02,20.6360,-1.3741,10.7551,7.7497,-8.6544,98.5599,3.5783
0.02,20.4977,-1.4379,10.9075,7.6176,-6.6034,102.5489,3.5587
0.02,20.3598,-1.4983,11.0580,7.5272,-4.5205,104.1469,3.5400
0.02,20.2217,-1.5559,11.2076,7.4781,-2.4543,103.3118,3.5230
