dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.0026,-2.7990,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.0079,-2.7971,0.0084,0.2800,7.0000,0.0000,0.3491
0.02,20.0158,-2.7943,0.0168,0.4200,7.0000,0.0000,0.3491
0.02,20.0263,-2.7904,0.0280,0.5600,7.0000,0.0000,0.3492
0.02,20.0395,-2.7856,0.0420,0.7000,7.0000,0.0000,0.3494
0.02,20.0553,-2.7799,0.0588,0.8400,7.0000,0.0000,0.3496
0.02,20.0737,-2.7732,0.0784,0.9800,7.0000,0.0000,0.3501
0.02,20.0947,-2.7655,0.1008,1.1200,7.0000,0.0000,0.3507
0.02,20.1184,-2.7568,0.1260,1.2600,7.0000,0.0000,0.3517
0.02,20.1446,-2.7471,0.1540,1.4000,7.0000,0.0000,0.3529
0.02,20.1735,-2.7365,0.1848,1.5400,7.0000,0.0000,0.3545
0.02,20.2050,-2.7248,0.2184,1.6800,7.0000,0.0000,0.3566
0.02,20.2391,-2.7120,0.2548,1.8200,7.0000,0.0000,0.3592
0.02,20.2758,-2.6982,0.2940,1.9600,7.0000,0.0000,0.3623
0.02,20.3151,-2.6832,0.3360,2.1000,7.0000,0.0000,0.3660
0.02,20.3569,-2.6671,0.3808,2.2400,7.0000,0.0000,0.3705
0.02,20.4012,-2.6498,0.4284,2.3800,7.0000,0.0000,0.3756
0.02,20.4480,-2.6311,0.4788,2.5200,7.0000,0.0000,0.3815
0.02,20.4973,-2.6112,0.5320,2.6600,7.0000,0.0000,0.3882
0.02,20.5491,-2.5898,0.5880,2.8000,7.0000,0.0000,0.3958
0.02,20.6032,-2.5669,0.6468,2.9400,7.0000,0.0000,0.4041
0.02,20.6598,-2.5424,0.7084,3.0800,7.0000,0.0000,0.4133
0.02,20.7186,-2.5162,0.7728,3.2200,7.0000,0.0000,0.4233
0.02,20.7797,-2.4883,0.8400,3.3600,7.0000,0.0000,0.4340
0.02,20.8431,-2.4585,0.9100,3.5000,7.0000,0.0000,0.4454
0.02,20.9086,-2.4268,0.9828,3.6400,7.0000,0.0000,0.4575
