dt,x,y,position,velocity,acceleration,jerk,heading
0.02,19.6315,-1.7795,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,19.6368,-1.7776,0.0084,0.2794,6.9708,-1.4592,0.3491
0.02,19.6446,-1.7747,0.0167,0.4180,6.9311,-1.9860,0.3491
0.02,19.6551,-1.7709,0.0279,0.5554,6.8669,-3.2084,0.3492
0.02,19.6681,-1.7662,0.0417,0.6910,6.7830,-4.1945,0.3494
0.02,19.6836,-1.7605,0.0582,0.8247,6.6808,-5.1104,0.3496
0.02,19.7015,-1.7540,0.0773,0.9559,6.5620,-5.9397,0.3501
0.02,19.7219,-1.7465,0.0990,1.0845,6.4287,-6.6671,0.3507
0.02,19.7446,-1.7382,0.1232,1.2101,6.2831,-7.2782,0.3517
0.02,19.7696,-1.7290,0.1498,1.3327,6.1279,-7.7592,0.3529
0.02,19.7969,-1.7189,0.1789,1.4520,5.9660,-8.0974,0.3545
0.02,19.8263,-1.7080,0.2102,1.5680,5.8004,-8.2810,0.3566
0.02,19.8578,-1.6963,0.2438,1.6807,5.6344,-8.2985,0.3592
0.02,19.8913,-1.6836,0.2797,1.7901,5.4716,-8.1393,0.3623
0.02,19.9267,-1.6701,0.3176,1.8965,5.3158,-7.7929,0.3660
0.02,19.9640,-1.6557,0.3576,1.9999,5.1708,-7.2494,0.3705
0.02,20.0031,-1.6404,0.3996,2.1007,5.0408,-6.4992,0.3756
0.02,20.0440,-1.6242,0.4436,2.1993,4.9301,-5.5338,0.3815
0.02,20.0866,-1.6069,0.4895,2.2962,4.8432,-4.3458,0.3882
0.02,20.1308,-1.5886,0.5373,2.3918,4.7846,-2.9304,0.3958
0.02,20.1766,-1.5693,0.5871,2.4870,4.7589,-1.2861,0.4041
0.02,20.2240,-1.5488,0.6387,2.5824,4.7705,0.5834,0.4133
0.02,20.2730,-1.5270,0.6923,2.6789,4.8239,2.6676,0.4233
0.02,20.3235,-1.5039,0.7479,2.7774,4.9228,4.9475,0.4340
0.02,20.3756,-1.4794,0.8054,2.8788,5.0707,7.3943,0.4454
0.02,20.4293,-1.4534,0.8651,2.9842,5.2701,9.9681,0.4575
0.02,20.4846,-1.4257,0.9270,3.0946,5.5225,12.6184,0.4702
0.02,20.5417,-1.3962,0.9912,3.2112,5.8282,15.2852,0.4832
0.02,20.6006,-1.3648,1.0579,3.3349,6.1862,17.9018,0.4966
0.02,20.6613,-1.3314,1.1273,3.4668,6.5942,20.3992,0.5101
0.02,20.7240,-1.2957,1.1994,3.6078,7.0484,22.7113,0.5236
0.02,20.7889,-1.2577,1.2746,3.7587,7.5440,24.7811,0.5369
0.02,20.8560,-1.2171,1.3530,3.9202,8.0754,26.5665,0.5498
0.02,20.9255,-1.1739,1.4349,4.0929,8.6363,28.0451,0.5621
0.02,20.9976,-1.1279,1.5204,4.2773,9.2206,29.2169,0.5736
0.02,21.0725,-1.0790,1.6099,4.4737,9.8227,30.1043,0.5840
0.02,21.1504,-1.0270,1.7035,4.6825,10.4377,30.7488,0.5932
0.02,21.2315,-0.9718,1.8016,4.9037,11.0618,31.2053,0.6009
0.02,21.3161,-0.9134,1.9043,5.1376,11.6924,31.5326,0.6068
0.02,21.4044,-0.8518,2.0120,5.3841,12.3280,31.7815,0.6108
0.02,21.4968,-0.7870,2.1249,5.6435,12.9677,31.9812,0.6126
0.02,21.5936,-0.7190,2.2432,5.9157,13.6101,32.1227,0.6119
0.02,21.6952,-0.6479,2.3672,6.2008,14.2529,32.1389,0.6086
0.02,21.8021,-0.5739,2.4972,6.4986,14.8906,31.8834,0.6023
0.02,21.9146,-0.4973,2.6334,6.8088,15.5127,31.1048,0.5929
0.02,22.0334,-0.4183,2.7760,7.1308,16.1011,29.4218,0.5802
0.02,22.1589,-0.3375,2.9253,7.4634,16.6272,26.3033,0.5639
0.02,22.2916,-0.2553,3.0814,7.8044,17.0485,21.0642,0.5439
0.02,22.4320,-0.1726,3.2444,8.1505,17.3064,12.8983,0.5201
0.02,22.5806,-0.0901,3.4143,8.4970,17.3259,0.9732,0.4925
0.02,22.7376,-0.0090,3.5910,8.8374,17.0182,-15.3863,0.4613
0.02,22.9031,0.0698,3.7743,9.1632,16.2898,-36.4174,0.4265
0.02,23.0769,0.1448,3.9636,9.4643,15.0581,-61.5837,0.3888
0.02,23.2584,0.2150,4.1582,9.7298,13.2720,-89.3073,0.3488
0.02,23.4468,0.2791,4.3572,9.9484,10.9327,-116.9624,0.3074
0.02,23.6407,0.3362,4.5594,10.1106,8.1065,-141.3143,0.2655
0.02,23.8388,0.3857,4.7636,10.2089,4.9180,-159.4249,0.2244
0.02,24.0393,0.4273,4.9683,10.2394,1.5227,-169.7629,0.1853
0.02,24.2405,0.4613,5.1724,10.2006,-1.9384,-173.0570,0.1495
0.02,24.4406,0.4882,5.3742,10.0928,-5.3887,-172.5142,0.1183
0.02,24.6378,0.5090,5.5725,9.9157,-8.8569,-173.4094,0.0930
0.02,24.8304,0.5251,5.7658,9.6656,-12.5062,-182.4637,0.0748
0.02,25.0166,0.5380,5.9525,9.3324,-16.6576,-207.5719,0.0654
0.02,25.1982,0.5497,6.1345,9.0991,-11.6662,249.5690,0.0628
0.02,25.3904,0.5609,6.3269,9.6242,26.2549,1896.0595,0.0531
0.02,25.5938,0.5701,6.5305,10.1789,27.7366,74.0833,0.0358
0.02,25.8071,0.5753,6.7439,10.6692,24.5129,-161.1866,0.0121
0.02,26.0289,0.5748,6.9657,11.0912,21.1025,-170.5205,-0.0169
0.02,26.2576,0.5672,7.1945,11.4390,17.3913,-185.5607,-0.0497
0.02,26.4912,0.5515,7.4286,11.7065,13.3711,-201.0066,-0.0849
0.02,26.7277,0.5271,7.6664,11.8894,9.1463,-211.2395,-0.1208
0.02,26.9651,0.4940,7.9062,11.9876,4.9088,-211.8765,-0.1560
0.02,27.2017,0.4527,8.1463,12.0053,0.8860,-201.1411,-0.1889
0.02,27.4357,0.4043,8.3853,11.9509,-2.7202,-180.3088,-0.2182
0.02,27.6662,0.3501,8.6220,11.8353,-5.7789,-152.9349,-0.2429
0.02,27.8922,0.2917,8.8554,11.6704,-8.2446,-123.2840,-0.2619
0.02,28.1076,0.2324,9.0789,11.1744,-24.7989,-827.7146,-0.2743
0.02,28.3130,0.1739,9.2925,10.6798,-24.7339,3.2479,-0.2802
0.02,28.5090,0.1174,9.4964,10.1958,-24.1997,26.7100,-0.2797
0.02,28.6962,0.0642,9.6910,9.7298,-23.2985,45.0586,-0.2733
0.02,28.8753,0.0150,9.8768,9.2883,-22.0724,61.3057,-0.2613
0.02,29.0472,-0.0294,10.0543,8.8779,-20.5205,77.5961,-0.2443
0.02,29.2127,-0.0689,10.2245,8.5055,-18.6214,94.9572,-0.2230
0.02,29.3726,-0.1031,10.3880,8.1784,-16.3569,113.2205,-0.1983
0.02,29.5280,-0.1322,10.5461,7.9037,-13.7344,131.1294,-0.1711
0.02,29.6799,-0.1562,10.6998,7.6877,-10.8005,146.6931,-0.1425
0.02,29.8293,-0.1755,10.8505,7.5348,-7.6446,157.7935,-0.1136
0.02,29.9775,-0.1903,10.9995,7.4471,-4.3863,162.9167,-0.0857
0.02,30.1256,-0.2011,11.1480,7.4240,-1.1512,161.7529,-0.0600
0.02,30.2747,-0.2083,11.2972,7.4632,1.9569,155.4075,-0.0376
0.02,30.4259,-0.2125,11.4484,7.5608,4.8795,146.1298,-0.0195
0.02,30.5801,-0.2145,11.6027,7.7130,7.6132,136.6857,-0.0069
0.02,30.7384,-0.2150,11.7610,7.9171,10.2058,129.6272,-0.0005
0.02,30.8000,-0.2150,11.8226,3.0776,-241.9753,-12609.0540,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,-153.8817,4404.6795,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,7694.0861,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
0.02,30.8000,-0.2150,11.8226,0.0000,0.0000,0.0000,0.0000
