dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.3737,-3.8186,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.3790,-3.8167,0.0084,0.2806,7.0292,1.4592,0.3491
0.02,20.3869,-3.8138,0.0169,0.4220,7.0689,1.9860,0.3491
0.02,20.3975,-3.8099,0.0281,0.5646,7.1331,3.2084,0.3492
0.02,20.4109,-3.8051,0.0423,0.7090,7.2170,4.1945,0.3494
0.02,20.4269,-3.7992,0.0594,0.8553,7.3192,5.1104,0.3496
0.02,20.4458,-3.7923,0.0795,1.0041,7.4380,5.9397,0.3501
0.02,20.4675,-3.7844,0.1026,1.1555,7.5713,6.6671,0.3507
0.02,20.4921,-3.7754,0.1288,1.3099,7.7169,7.2781,0.3517
0.02,20.5196,-3.7653,0.1582,1.4673,7.8720,7.7591,0.3529
0.02,20.5502,-3.7540,0.1907,1.6280,8.0340,8.0973,0.3545
0.02,20.5838,-3.7415,0.2266,1.7920,8.1996,8.2807,0.3566
0.02,20.6205,-3.7278,0.2658,1.9593,8.3656,8.2982,0.3592
0.02,20.6604,-3.7128,0.3083,2.1299,8.5283,8.1388,0.3623
0.02,20.7034,-3.6964,0.3544,2.3035,8.6842,7.7922,0.3660
0.02,20.7497,-3.6785,0.4040,2.4801,8.8292,7.2485,0.3705
0.02,20.7992,-3.6591,0.4572,2.6593,8.9591,6.4982,0.3756
0.02,20.8520,-3.6381,0.5140,2.8407,9.0698,5.5326,0.3815
0.02,20.9081,-3.6154,0.5745,3.0238,9.1567,4.3444,0.3882
0.02,20.9673,-3.5909,0.6387,3.2081,9.2152,2.9289,0.3958
0.02,21.0299,-3.5645,0.7065,3.3930,9.2409,1.2845,0.4041
0.02,21.0955,-3.5361,0.7781,3.5775,9.2292,-0.5850,0.4133
0.02,21.1643,-3.5055,0.8533,3.7611,9.1759,-2.6691,0.4233
0.02,21.2360,-3.4727,0.9321,3.9426,9.0769,-4.9488,0.4340
0.02,21.3106,-3.4376,1.0146,4.1212,8.9290,-7.3951,0.4454
0.02,21.3879,-3.4002,1.1005,4.2958,8.7296,-9.9684,0.4575
0.02,21.4677,-3.3602,1.1898,4.4653,8.4772,-12.6180,0.4702
0.02,21.5500,-3.3177,1.2824,4.6287,8.1716,-15.2840,0.4832
0.02,21.6344,-3.2727,1.3781,4.7850,7.8136,-17.8998,0.4966
0.02,21.7209,-3.2251,1.4767,4.9331,7.4056,-20.3963,0.5101
0.02,21.8090,-3.1750,1.5782,5.0722,6.9515,-22.7075,0.5236
