dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,5.2000,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,5.2000,0.0084,0.2800,7.0000,0.0000,3.1416
0.02,30.7832,5.2000,0.0168,0.4200,7.0000,0.0000,3.1416
0.02,30.7720,5.2000,0.0280,0.5600,7.0000,0.0000,3.1416
0.02,30.7580,5.2000,0.0420,0.7000,7.0000,0.0000,3.1416
0.02,30.7412,5.2000,0.0588,0.8400,7.0000,0.0000,3.1415
0.02,30.7216,5.2000,0.0784,0.9800,7.0000,0.0000,3.1415
0.02,30.6992,5.2000,0.1008,1.1200,7.0000,0.0000,3.1414
0.02,30.6740,5.2000,0.1260,1.2600,7.0000,0.0000,3.1412
0.02,30.6460,5.2000,0.1540,1.4000,7.0000,0.0000,3.1411
0.02,30.6152,5.2000,0.1848,1.5400,7.0000,0.0000,3.1408
0.02,30.5816,5.2001,0.2184,1.6800,7.0000,0.0000,3.1405
0.02,30.5452,5.2001,0.2548,1.8200,7.0000,0.0000,3.1401
0.02,30.5060,5.2002,0.2940,1.9600,7.0000,0.0000,3.1397
0.02,30.4640,5.2003,0.3360,2.1000,7.0000,0.0000,3.1391
0.02,30.4192,5.2004,0.3808,2.2400,7.0000,0.0000,3.1384
0.02,30.3716,5.2006,0.4284,2.3800,7.0000,0.0000,3.1375
0.02,30.3212,5.2008,0.4788,2.5200,7.0000,0.0000,3.1365
0.02,30.2680,5.2011,0.5320,2.6600,7.0000,0.0000,3.1353
0.02,30.2120,5.2015,0.5880,2.8000,7.0000,0.0000,3.1340
0.02,30.1532,5.2020,0.6468,2.9400,7.0000,0.0000,3.1324
0.02,30.0916,5.2026,0.7084,3.0800,7.0000,0.0000,3.1306
0.02,30.0272,5.2034,0.7728,3.2200,7.0000,0.0000,3.1286
0.02,29.9600,5.2043,0.8400,3.3600,7.0000,0.0000,3.1262
0.02,29.8900,5.2055,0.9100,3.5000,7.0000,0.0000,3.1236
0.02,29.8172,5.2069,0.9828,3.6400,7.0000,0.0000,3.1207
0.02,29.7417,5.2086,1.0584,3.7800,7.0000,0.0000,3.1174
0.02,29.6633,5.2107,1.1368,3.9200,7.0000,0.0000,3.1138
0.02,29.5821,5.2131,1.2180,4.0600,7.0000,0.0000,3.1098
0.02,29.4982,5.2159,1.3020,4.2000,7.0000,0.0000,3.1054
0.02,29.4114,5.2193,1.3888,4.3400,7.0000,0.0000,3.1005
0.02,29.3219,5.2232,1.4784,4.4800,7.0000,0.0000,3.0951
0.02,29.2296,5.2278,1.5708,4.6200,7.0000,0.0000,3.0893
0.02,29.1346,5.2330,1.6660,4.7600,7.0000,0.0000,3.0829
0.02,29.0368,5.2391,1.7640,4.9000,7.0000,0.0000,3.0759
0.02,28.9362,5.2461,1.8648,5.0400,7.0000,0.0000,3.0683
0.02,28.8329,5.2541,1.9684,5.1800,7.0000,0.0000,3.0601
0.02,28.7269,5.2632,2.0748,5.3200,7.0000,0.0000,3.0512
0.02,28.6182,5.2736,2.1840,5.4600,7.0000,0.0000,3.0416
0.02,28.5068,5.2854,2.2960,5.6000,7.0000,0.0000,3.0312
0.02,28.3928,5.2986,2.4108,5.7400,7.0000,0.0000,3.0200
0.02,28.2762,5.3136,2.5284,5.8800,7.0000,0.0000,3.0080
0.02,28.1569,5.3304,2.6488,6.0200,7.0000,0.0000,2.9951
0.02,28.0352,5.3492,2.7720,6.1600,7.0000,0.0000,2.9812
0.02,27.9110,5.3703,2.8980,6.3000,7.0000,0.0000,2.9664
