dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,4.1150,0.0028,0.1400,7.0000,0.0000,3.1416
0.02,30.7916,4.1150,0.0084,0.2801,7.0039,0.1952,3.1416
0.02,30.7832,4.1150,0.0168,0.4203,7.0093,0.2678,3.1416
0.02,30.7720,4.1150,0.0280,0.5606,7.0180,0.4371,3.1416
0.02,30.7580,4.1150,0.0420,0.7012,7.0296,0.5805,3.1416
0.02,30.7411,4.1150,0.0589,0.8421,7.0441,0.7221,3.1415
0.02,30.7214,4.1150,0.0786,0.9833,7.0613,0.8614,3.1415
0.02,30.6989,4.1150,0.1011,1.1249,7.0812,0.9981,3.1414
0.02,30.6736,4.1150,0.1264,1.2670,7.1039,1.1321,3.1412
0.02,30.6454,4.1150,0.1546,1.4096,7.1291,1.2631,3.1411
0.02,30.6144,4.1150,0.1856,1.5527,7.1570,1.3910,3.1408
0.02,30.5804,4.1151,0.2196,1.6965,7.1873,1.5158,3.1405
0.02,30.5436,4.1151,0.2564,1.8409,7.2200,1.6376,3.1401
0.02,30.5039,4.1152,0.2961,1.9860,7.2552,1.7565,3.1397
0.02,30.4613,4.1153,0.3387,2.1318,7.2926,1.8728,3.1391
0.02,30.4157,4.1154,0.3843,2.2785,7.3324,1.9869,3.1384
0.02,30.3672,4.1156,0.4328,2.4260,7.3743,2.0992,3.1375
0.02,30.3157,4.1158,0.4843,2.5744,7.4185,2.2102,3.1365
0.02,30.2612,4.1161,0.5388,2.7237,7.4650,2.3205,3.1353
0.02,30.2037,4.1165,0.5963,2.8739,7.5136,2.4307,3.1340
0.02,30.1432,4.1170,0.6568,3.0252,7.5644,2.5415,3.1324
0.02,30.0797,4.1177,0.7203,3.1776,7.6175,2.6539,3.1306
0.02,30.0131,4.1185,0.7869,3.3310,7.6728,2.7684,3.1286
0.02,29.9434,4.1195,0.8567,3.4856,7.7306,2.8860,3.1262
0.02,29.8705,4.1207,0.9295,3.6414,7.7907,3.0075,3.1236
0.02,29.7946,4.1222,1.0055,3.7985,7.8534,3.1337,3.1207
0.02,29.7155,4.1239,1.0846,3.9569,7.9187,3.2653,3.1174
0.02,29.6332,4.1261,1.1669,4.1166,7.9868,3.4031,3.1138
0.02,29.5476,4.1286,1.2525,4.2778,8.0577,3.5477,3.1098
0.02,29.4589,4.1316,1.3413,4.4404,8.1317,3.6995,3.1054
0.02,29.3669,4.1352,1.4334,4.6046,8.2089,3.8588,3.1005
0.02,29.2716,4.1394,1.5288,4.7704,8.2894,4.0256,3.0951
0.02,29.1729,4.1442,1.6275,4.9378,8.3734,4.1995,3.0893
0.02,29.0709,4.1499,1.7297,5.1071,8.4610,4.3799,3.0829
0.02,28.9656,4.1565,1.8353,5.2781,8.5523,4.5652,3.0759
0.02,28.8568,4.1640,1.9443,5.4511,8.6474,4.7537,3.0683
0.02,28.7446,4.1727,2.0568,5.6260,8.7462,4.9424,3.0601
0.02,28.6290,4.1827,2.1729,5.8030,8.8488,5.1275,3.0512
0.02,28.5099,4.1940,2.2925,5.9820,8.9548,5.3039,3.0416
0.02,28.3873,4.2070,2.4158,6.1633,9.0641,5.4651,3.0312
0.02,28.2612,4.2217,2.5427,6.3469,9.1762,5.6025,3.0200
0.02,28.1316,4.2383,2.6733,6.5327,9.2903,5.7058,3.0080
0.02,27.9985,4.2570,2.8078,6.7208,9.4055,5.7622,2.9951
0.02,27.8619,4.2782,2.9460,6.9112,9.5207,5.7561,2.9812
0.02,27.7219,4.3019,3.0881,7.1039,9.6340,5.6693,2.9664
0.02,27.5783,4.3284,3.2340,7.2987,9.7437,5.4804,2.9506
0.02,27.4314,4.3581,3.3840,7.4957,9.8470,5.1653,2.9337
0.02,27.2811,4.3912,3.5378,7.6945,9.9409,4.6974,2.9157
0.02,27.1275,4.4281,3.6957,7.8949,10.0219,4.0482,2.8967
