dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7976,-0.6986,0.0028,0.1400,7.0000,0.0000,2.6180
0.02,30.7927,-0.6958,0.0084,0.2800,7.0000,0.0000,2.6180
0.02,30.7855,-0.6916,0.0168,0.4200,7.0000,0.0000,2.6180
0.02,30.7758,-0.6860,0.0280,0.5600,7.0000,0.0000,2.6179
0.02,30.7636,-0.6790,0.0420,0.7000,7.0000,0.0000,2.6179
0.02,30.7491,-0.6706,0.0588,0.8400,7.0000,0.0000,2.6178
0.02,30.7321,-0.6608,0.0784,0.9800,7.0000,0.0000,2.6176
0.02,30.7127,-0.6496,0.1008,1.1200,7.0000,0.0000,2.6174
0.02,30.6909,-0.6370,0.1260,1.2600,7.0000,0.0000,2.6170
0.02,30.6667,-0.6229,0.1540,1.4000,7.0000,0.0000,2.6166
0.02,30.6400,-0.6075,0.1848,1.5400,7.0000,0.0000,2.6159
0.02,30.6110,-0.5906,0.2184,1.6800,7.0000,0.0000,2.6152
0.02,30.5795,-0.5723,0.2548,1.8200,7.0000,0.0000,2.6142
0.02,30.5456,-0.5526,0.2940,1.9600,7.0000,0.0000,2.6130
0.02,30.5094,-0.5314,0.3360,2.1000,7.0000,0.0000,2.6116
0.02,30.4708,-0.5087,0.3808,2.2400,7.0000,0.0000,2.6099
0.02,30.4297,-0.4845,0.4284,2.3800,7.0000,0.0000,2.6080
0.02,30.3864,-0.4588,0.4788,2.5200,7.0000,0.0000,2.6058
0.02,30.3407,-0.4316,0.5320,2.6600,7.0000,0.0000,2.6032
0.02,30.2926,-0.4028,0.5880,2.8000,7.0000,0.0000,2.6004
0.02,30.2423,-0.3725,0.6468,2.9400,7.0000,0.0000,2.5972
0.02,30.1896,-0.3405,0.7084,3.0800,7.0000,0.0000,2.5937
0.02,30.1347,-0.3068,0.7728,3.2200,7.0000,0.0000,2.5899
0.02,30.0776,-0.2715,0.8400,3.3600,7.0000,0.0000,2.5858
0.02,30.0182,-0.2344,0.9100,3.5000,7.0000,0.0000,2.5814
0.02,29.9566,-0.1956,0.9828,3.6400,7.0000,0.0000,2.5768
0.02,29.8928,-0.1550,1.0584,3.7800,7.0000,0.0000,2.5719
0.02,29.8269,-0.1125,1.1368,3.9200,7.0000,0.0000,2.5668
0.02,29.7589,-0.0682,1.2180,4.0600,7.0000,0.0000,2.5616
0.02,29.6888,-0.0220,1.3020,4.2000,7.0000,0.0000,2.5563
0.02,29.6165,0.0262,1.3888,4.3400,7.0000,0.0000,2.5509
0.02,29.5422,0.0763,1.4784,4.4800,7.0000,0.0000,2.5456
0.02,29.4659,0.1283,1.5708,4.6200,7.0000,0.0000,2.5403
0.02,29.3876,0.1824,1.6660,4.7600,7.0000,0.0000,2.5352
0.02,29.3072,0.2384,1.7640,4.9000,7.0000,0.0000,2.5303
0.02,29.2248,0.2965,1.8648,5.0400,7.0000,0.0000,2.5258
0.02,29.1403,0.3565,1.9684,5.1800,7.0000,0.0000,2.5217
0.02,29.0538,0.4185,2.0748,5.3200,7.0000,0.0000,2.5181
0.02,28.9653,0.4824,2.1840,5.4600,7.0000,0.0000,2.5152
0.02,28.8746,0.5481,2.2960,5.6000,7.0000,0.0000,2.5130
0.02,28.7818,0.6157,2.4108,5.7400,7.0000,0.0000,2.5116
0.02,28.6868,0.6850,2.5284,5.8800,7.0000,0.0000,2.5113
0.02,28.5895,0.7560,2.6488,6.0200,7.0000,0.0000,2.5121
0.02,28.4899,0.8284,2.7720,6.1600,7.0000,0.0000,2.5141
0.02,28.3877,0.9022,2.8980,6.3000,7.0000,0.0000,2.5175
0.02,28.2830,0.9772,3.0268,6.4400,7.0000,0.0000,2.5226
0.02,28.1756,1.0532,3.1584,6.5800,7.0000,0.0000,2.5294
0.02,28.0653,1.1300,3.2928,6.7200,7.0000,0.0000,2.5381
0.02,27.9519,1.2073,3.4300,6.8600,7.0000,0.0000,2.5490
0.02,27.8353,1.2847,3.5700,7.0000,7.0000,0.0000,2.5623
0.02,27.7152,1.3620,3.7128,7.1400,7.0000,0.0000,2.5782
0.02,27.5914,1.4386,3.8584,7.2800,7.0000,0.0000,2.5970
0.02,27.4636,1.5141,4.0068,7.4200,7.0000,0.0000,2.6190
0.02,27.3317,1.5879,4.1580,7.5600,7.0000,0.0000,2.6443
0.02,27.1953,1.6595,4.3120,7.7000,7.0000,0.0000,2.6733
0.02,27.0543,1.7280,4.4688,7.8400,7.0000,0.0000,2.7061
0.02,26.9084,1.7926,4.6284,7.9800,7.0000,0.0000,2.7430
0.02,26.7575,1.8526,4.7908,8.1200,7.0000,0.0000,2.7839
0.02,26.6015,1.9070,4.9560,8.2600,7.0000,0.0000,2.8288
0.02,26.4405,1.9548,5.1240,8.4000,7.0000,0.0000,2.8775
0.02,26.2745,1.9952,5.2948,8.5400,7.0000,0.0000,2.9295
0.02,26.1039,2.0271,5.4684,8.6800,7.0000,0.0000,2.9840
0.02,25.9290,2.0499,5.6448,8.8200,7.0000,0.0000,3.0402
0.02,25.7503,2.0629,5.8240,8.9600,7.0000,0.0000,3.0971
0.02,25.5684,2.0658,6.0060,9.1000,7.0000,0.0000,3.1535
0.02,25.3837,2.0585,6.1908,9.2400,7.0000,0.0000,3.2085
0.02,25.1970,2.0410,6.3784,9.3800,7.0000,0.0000,3.2610
0.02,25.0086,2.0136,6.5688,9.5200,7.0000,0.0000,3.3103
0.02,24.8189,1.9768,6.7620,9.6600,7.0000,0.0000,3.3559
0.02,24.6338,1.9325,6.9524,9.5200,-7.0000,0.0000,3.3962
0.02,24.4531,1.8820,7.1400,9.3800,-7.0000,0.0000,3.4314
0.02,24.2769,1.8264,7.3248,9.2400,-7.0000,0.0000,3.4618
0.02,24.1049,1.7668,7.5068,9.1000,-7.0000,0.0000,3.4877
0.02,23.9370,1.7042,7.6860,8.9600,-7.0000,0.0000,3.5093
0.02,23.7730,1.6393,7.8624,8.8200,-7.0000,0.0000,3.5271
0.02,23.6126,1.5728,8.0360,8.6800,-7.0000,0.0000,3.5411
0.02,23.4556,1.5055,8.2068,8.5400,-7.0000,0.0000,3.5516
0.02,23.3018,1.4380,8.3748,8.4000,-7.0000,0.0000,3.5587
0.02,23.1509,1.3707,8.5400,8.2600,-7.0000,0.0000,3.5624
0.02,23.0600,1.3300,8.6396,8.1200,-7.0000,0.0000,3.5630
0.02,23.0600,1.3300,8.6396,7.9800,-7.0000,0.0000,3.5630
0.02,22.9140,1.2646,8.7996,8.0000,7.0000,0.0000,3.5637
0.02,22.7679,1.1994,8.9596,8.0000,7.0000,0.0000,3.5617
0.02,22.6216,1.1346,9.1196,8.0000,7.0000,0.0000,3.5586
0.02,22.4751,1.0702,9.2796,8.0000,7.0000,0.0000,3.5547
0.02,22.3283,1.0066,9.4396,8.0000,7.0000,0.0000,3.5501
0.02,22.1812,0.9436,9.5996,8.0000,7.0000,0.0000,3.5451
0.02,22.0338,0.8813,9.7596,8.0000,7.0000,0.0000,3.5399
0.02,21.8861,0.8199,9.9196,8.0000,7.0000,0.0000,3.5346
0.02,21.7380,0.7592,10.0796,8.0000,7.0000,0.0000,3.5294
0.02,21.5897,0.6993,10.2396,8.0000,7.0000,0.0000,3.5244
0.02,21.4410,0.6401,10.3996,8.0000,7.0000,0.0000,3.5198
0.02,21.2921,0.5816,10.5596,8.0000,7.0000,0.0000,3.5156
0.02,21.1430,0.5236,10.7196,8.0000,7.0000,0.0000,3.5119
0.02,20.9937,0.4662,10.8796,8.0000,7.0000,0.0000,3.5089
0.02,20.8442,0.4091,11.0396,8.0000,7.0000,0.0000,3.5065
0.02,20.6946,0.3524,11.1996,8.0000,7.0000,0.0000,3.5049
0.02,20.5449,0.2958,11.3596,8.0000,7.0000,0.0000,3.5040
0.02,20.3952,0.2393,11.5196,8.0000,7.0000,0.0000,3.5039
0.02,20.2455,0.1828,11.6796,8.0000,7.0000,0.0000,3.5045
0.02,20.0959,0.1261,11.8396,8.0000,7.0000,0.0000,3.5060
0.02,19.9464,0.0692,11.9996,8.0000,7.0000,0.0000,3.5082
0.02,19.7970,0.0118,12.1596,8.0000,7.0000,0.0000,3.5110
0.02,19.6478,-0.0460,12.3196,8.0000,7.0000,0.0000,3.5145
0.02,19.5015,-0.1033,12.4768,7.8600,-7.0000,0.0000,3.5185
0.02,19.3579,-0.1602,12.6312,7.7200,-7.0000,0.0000,3.5229
0.02,19.2173,-0.2168,12.7828,7.5800,-7.0000,0.0000,3.5275
0.02,19.0795,-0.2729,12.9316,7.4400,-7.0000,0.0000,3.5323
0.02,18.9445,-0.3286,13.0776,7.3000,-7.0000,0.0000,3.5371
0.02,18.8124,-0.3839,13.2208,7.1600,-7.0000,0.0000,3.5418
0.02,18.6832,-0.4387,13.3612,7.0200,-7.0000,0.0000,3.5464
0.02,18.5567,-0.4930,13.4988,6.8800,-7.0000,0.0000,3.5506
0.02,18.4331,-0.5467,13.6336,6.7400,-7.0000,0.0000,3.5544
0.02,18.3122,-0.5997,13.7656,6.6000,-7.0000,0.0000,3.5578
0.02,18.1940,-0.6519,13.8948,6.4600,-7.0000,0.0000,3.5605
0.02,18.0785,-0.7033,14.0212,6.3200,-7.0000,0.0000,3.5626
0.02,17.9657,-0.7537,14.1448,6.1800,-7.0000,0.0000,3.5639
0.02,17.8554,-0.8031,14.2656,6.0400,-7.0000,0.0000,3.5645
0.02,17.8400,-0.8100,14.2825,5.9000,-7.0000,0.0000,3.5645
0.02,17.7297,-0.8593,14.4033,6.0400,7.0000,0.0000,3.5615
0.02,17.6166,-0.9091,14.5269,6.1800,7.0000,0.0000,3.5536
0.02,17.5004,-0.9589,14.6533,6.3200,7.0000,0.0000,3.5427
0.02,17.3811,-1.0085,14.7825,6.4600,7.0000,0.0000,3.5307
0.02,17.2586,-1.0577,14.9145,6.6000,7.0000,0.0000,3.5192
0.02,17.1330,-1.1066,15.0493,6.7400,7.0000,0.0000,3.5099
0.02,17.0044,-1.1555,15.1869,6.8800,7.0000,0.0000,3.5043
0.02,16.8730,-1.2050,15.3273,7.0200,7.0000,0.0000,3.5036
0.02,16.7392,-1.2559,15.4705,7.1600,7.0000,0.0000,3.5095
0.02,16.6032,-1.3090,15.6165,7.3000,7.0000,0.0000,3.5237
0.02,16.4657,-1.3659,15.7653,7.4400,7.0000,0.0000,3.5484
0.02,16.3275,-1.4282,15.9169,7.5800,7.0000,0.0000,3.5867
0.02,16.1898,-1.4981,16.0713,7.7200,7.0000,0.0000,3.6428
0.02,16.0548,-1.5785,16.2285,7.8600,7.0000,0.0000,3.7225
0.02,15.9258,-1.6730,16.3885,8.0000,7.0000,0.0000,3.8326
0.02,15.8097,-1.7829,16.5485,8.0000,7.0000,0.0000,3.9758
0.02,15.7125,-1.9098,16.7085,8.0000,7.0000,0.0000,4.1480
0.02,15.6407,-2.0493,16.8657,7.8600,-7.0000,0.0000,4.3288
0.02,15.5951,-2.1967,17.0201,7.7200,-7.0000,0.0000,4.4960
0.02,15.5731,-2.3466,17.1717,7.5800,-7.0000,0.0000,4.6357
0.02,15.5700,-2.4953,17.3205,7.4400,-7.0000,0.0000,4.7458
0.02,15.5811,-2.6408,17.4665,7.3000,-7.0000,0.0000,4.8305
0.02,15.6025,-2.7824,17.6097,7.1600,-7.0000,0.0000,4.8951
0.02,15.6314,-2.9197,17.7501,7.0200,-7.0000,0.0000,4.9445
0.02,15.6655,-3.0530,17.8877,6.8800,-7.0000,0.0000,4.9821
0.02,15.7031,-3.1825,18.0225,6.7400,-7.0000,0.0000,5.0106
0.02,15.7431,-3.3083,18.1545,6.6000,-7.0000,0.0000,5.0315
0.02,15.7844,-3.4307,18.2837,6.4600,-7.0000,0.0000,5.0461
0.02,15.8262,-3.5500,18.4101,6.3200,-7.0000,0.0000,5.0552
0.02,15.8679,-3.6663,18.5337,6.1800,-7.0000,0.0000,5.0592
0.02,15.8800,-3.7000,18.5695,6.0400,-7.0000,0.0000,5.0594
0.02,15.8800,-3.7000,18.5695,5.9000,-7.0000,0.0000,5.0594
0.02,15.9211,-3.8136,18.6903,6.0400,7.0000,0.0000,5.0647
0.02,15.9644,-3.9293,18.8139,6.1800,7.0000,0.0000,5.0809
0.02,16.0113,-4.0467,18.9403,6.3200,7.0000,0.0000,5.1096
0.02,16.0636,-4.1649,19.0695,6.4600,7.0000,0.0000,5.1543
0.02,16.1236,-4.2824,19.2015,6.6000,7.0000,0.0000,5.2219
0.02,16.1947,-4.3968,19.3363,6.7400,7.0000,0.0000,5.3243
0.02,16.2815,-4.5034,19.4739,6.8800,7.0000,0.0000,5.4810
0.02,16.3893,-4.5930,19.6143,7.0200,7.0000,0.0000,5.7141
0.02,16.5193,-4.6517,19.7575,7.1600,7.0000,0.0000,6.0109
0.02,16.6636,-4.6704,19.9035,7.3000,7.0000,0.0000,6.2900
0.02,16.8112,-4.6538,20.0523,7.4400,7.0000,0.0000,6.4881
0.02,16.9519,-4.6152,20.1983,7.3000,-7.0000,0.0000,6.6064
0.02,17.0860,-4.5650,20.3415,7.1600,-7.0000,0.0000,6.6726
0.02,17.2150,-4.5095,20.4819,7.0200,-7.0000,0.0000,6.7053
0.02,17.3402,-4.4525,20.6195,6.8800,-7.0000,0.0000,6.7147
0.02,17.4629,-4.3966,20.7543,6.7400,-7.0000,0.0000,6.7074
0.02,17.5837,-4.3435,20.8863,6.6000,-7.0000,0.0000,6.6881
0.02,17.7032,-4.2943,21.0155,6.4600,-7.0000,0.0000,6.6619
0.02,17.8213,-4.2493,21.1419,6.3200,-7.0000,0.0000,6.6355
0.02,17.9378,-4.2080,21.2655,6.1800,-7.0000,0.0000,6.6180
0.02,17.9900,-4.1900,21.3207,6.0400,-7.0000,0.0000,6.6158
0.02,17.9900,-4.1900,21.3207,5.9000,-7.0000,0.0000,6.6158
0.02,18.1042,-4.1506,21.4415,6.0400,7.0000,0.0000,6.6193
0.02,18.2207,-4.1095,21.5651,6.1800,7.0000,0.0000,6.6293
0.02,18.3394,-4.0659,21.6915,6.3200,7.0000,0.0000,6.6449
0.02,18.4599,-4.0192,21.8207,6.4600,7.0000,0.0000,6.6648
0.02,18.5819,-3.9688,21.9527,6.6000,7.0000,0.0000,6.6881
0.02,18.7052,-3.9143,22.0875,6.7400,7.0000,0.0000,6.7136
0.02,18.8295,-3.8554,22.2251,6.8800,7.0000,0.0000,6.7399
0.02,18.9548,-3.7921,22.3655,7.0200,7.0000,0.0000,6.7658
0.02,19.0809,-3.7242,22.5087,7.1600,7.0000,0.0000,6.7901
0.02,19.2079,-3.6521,22.6547,7.3000,7.0000,0.0000,6.8118
0.02,19.3357,-3.5761,22.8035,7.4400,7.0000,0.0000,6.8298
0.02,19.4648,-3.4965,22.9551,7.5800,7.0000,0.0000,6.8435
0.02,19.5906,-3.4170,23.1039,7.4400,-7.0000,0.0000,6.8522
0.02,19.7135,-3.3383,23.2499,7.3000,-7.0000,0.0000,6.8562
0.02,19.8339,-3.2608,23.3931,7.1600,-7.0000,0.0000,6.8561
0.02,19.9521,-3.1850,23.5335,7.0200,-7.0000,0.0000,6.8526
0.02,20.0684,-3.1113,23.6711,6.8800,-7.0000,0.0000,6.8466
0.02,20.1827,-3.0399,23.8059,6.7400,-7.0000,0.0000,6.8391
0.02,20.2952,-2.9709,23.9379,6.6000,-7.0000,0.0000,6.8310
0.02,20.4058,-2.9042,24.0671,6.4600,-7.0000,0.0000,6.8236
0.02,20.5145,-2.8396,24.1935,6.3200,-7.0000,0.0000,6.8179
0.02,20.6211,-2.7770,24.3171,6.1800,-7.0000,0.0000,6.8150
0.02,20.6500,-2.7600,24.3506,6.0400,-7.0000,0.0000,6.8149
0.02,20.6500,-2.7600,24.3506,5.9000,-7.0000,0.0000,6.8149
0.02,20.7542,-2.6989,24.4714,6.0400,7.0000,0.0000,6.8152
0.02,20.8608,-2.6363,24.5950,6.1800,7.0000,0.0000,6.8160
0.02,20.9697,-2.5722,24.7214,6.3200,7.0000,0.0000,6.8171
0.02,21.0810,-2.5066,24.8506,6.4600,7.0000,0.0000,6.8183
0.02,21.1946,-2.4394,24.9826,6.6000,7.0000,0.0000,6.8192
0.02,21.3106,-2.3706,25.1174,6.7400,7.0000,0.0000,6.8198
0.02,21.4290,-2.3005,25.2550,6.8800,7.0000,0.0000,6.8196
