dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.2551,-1.6382,0.0028,0.1400,7.0000,0.0000,2.6180
0.02,30.2502,-1.6354,0.0084,0.2802,7.0109,0.5430,2.6180
0.02,30.2429,-1.6312,0.0168,0.4207,7.0257,0.7398,2.6180
0.02,30.2332,-1.6256,0.0281,0.5617,7.0496,1.1967,2.6179
0.02,30.2210,-1.6186,0.0421,0.7033,7.0809,1.5675,2.6179
0.02,30.2064,-1.6101,0.0590,0.8457,7.1192,1.9141,2.6178
0.02,30.1892,-1.6002,0.0788,0.9890,7.1638,2.2306,2.6176
0.02,30.1696,-1.5889,0.1015,1.1333,7.2141,2.5110,2.6174
0.02,30.1475,-1.5761,0.1271,1.2787,7.2690,2.7494,2.6170
0.02,30.1228,-1.5618,0.1556,1.4252,7.3278,2.9401,2.6166
0.02,30.0956,-1.5460,0.1870,1.5730,7.3894,3.0774,2.6159
0.02,30.0658,-1.5287,0.2215,1.7221,7.4525,3.1562,2.6152
0.02,30.0334,-1.5099,0.2589,1.8724,7.5160,3.1717,2.6142
0.02,29.9985,-1.4895,0.2994,2.0239,7.5783,3.1194,2.6130
0.02,29.9609,-1.4675,0.3429,2.1767,7.6383,2.9958,2.6116
0.02,29.9207,-1.4439,0.3895,2.3306,7.6942,2.7979,2.6099
0.02,29.8779,-1.4187,0.4392,2.4855,7.7447,2.5236,2.6080
0.02,29.8324,-1.3918,0.4921,2.6413,7.7881,2.1719,2.6058
0.02,29.7844,-1.3631,0.5480,2.7977,7.8230,1.7430,2.6032
0.02,29.7337,-1.3328,0.6071,2.9547,7.8477,1.2382,2.6004
0.02,29.6804,-1.3006,0.6694,3.1119,7.8609,0.6600,2.5972
0.02,29.6245,-1.2667,0.7347,3.2691,7.8612,0.0127,2.5937
0.02,29.5661,-1.2309,0.8033,3.4261,7.8472,-0.6985,2.5899
0.02,29.5051,-1.1932,0.8749,3.5824,7.8179,-1.4667,2.5858
0.02,29.4417,-1.1536,0.9497,3.7379,7.7722,-2.2840,2.5814
0.02,29.3759,-1.1121,1.0275,3.8920,7.7094,-3.1415,2.5768
0.02,29.3076,-1.0686,1.1084,4.0446,7.6288,-4.0292,2.5719
0.02,29.2371,-1.0232,1.1923,4.1952,7.5301,-4.9368,2.5668
0.02,29.1643,-0.9758,1.2792,4.3435,7.4130,-5.8542,2.5616
0.02,29.0893,-0.9264,1.3689,4.4890,7.2776,-6.7714,2.5563
0.02,29.0123,-0.8750,1.4616,4.6315,7.1240,-7.6795,2.5509
0.02,28.9332,-0.8216,1.5570,4.7706,6.9525,-8.5714,2.5456
0.02,28.8521,-0.7664,1.6551,4.9058,6.7637,-9.4417,2.5403
0.02,28.7692,-0.7091,1.7558,5.0370,6.5579,-10.2880,2.5352
0.02,28.6845,-0.6501,1.8591,5.1637,6.3357,-11.1111,2.5303
0.02,28.5980,-0.5892,1.9648,5.2857,6.0974,-11.9152,2.5258
0.02,28.5100,-0.5266,2.0729,5.4025,5.8433,-12.7082,2.5217
0.02,28.4203,-0.4624,2.1832,5.5140,5.5732,-13.5021,2.5181
0.02,28.3292,-0.3966,2.2956,5.6197,5.2870,-14.3127,2.5152
0.02,28.2366,-0.3295,2.4099,5.7194,4.9838,-15.1596,2.5130
0.02,28.1426,-0.2610,2.5262,5.8127,4.6625,-16.0652,2.5116
0.02,28.0473,-0.1915,2.6442,5.8991,4.3214,-17.0548,2.5113
0.02,27.9507,-0.1210,2.7637,5.9782,3.9583,-18.1551,2.5121
0.02,27.8528,-0.0499,2.8847,6.0497,3.5704,-19.3927,2.5141
0.02,27.7537,0.0217,3.0070,6.1127,3.1546,-20.7923,2.5175
0.02,27.6535,0.0936,3.1303,6.1669,2.7071,-22.3730,2.5226
0.02,27.5521,0.1653,3.2546,6.2114,2.2242,-24.1442,2.5294
0.02,27.4496,0.2367,3.3795,6.2454,1.7023,-26.0983,2.5381
0.02,27.3460,0.3073,3.5048,6.2682,1.1382,-28.2006,2.5490
0.02,27.2413,0.3767,3.6304,6.2788,0.5307,-30.3749,2.5623
0.02,27.1358,0.4446,3.7559,6.2764,-0.1189,-32.4833,2.5782
0.02,27.0293,0.5105,3.8811,6.2603,-0.8049,-34.2997,2.5970
0.02,26.9220,0.5739,4.0057,6.2300,-1.5144,-35.4765,2.6190
0.02,26.8141,0.6343,4.1295,6.1855,-2.2246,-35.5085,2.6443
0.02,26.7056,0.6913,4.2520,6.1276,-2.8987,-33.7023,2.6733
0.02,26.5966,0.7442,4.3732,6.0579,-3.4821,-29.1703,2.7061
0.02,26.4873,0.7927,4.4928,5.9799,-3.8997,-20.8797,2.7430
0.02,26.3776,0.8363,4.6107,5.8988,-4.0557,-7.8021,2.7839
0.02,26.2677,0.8747,4.7272,5.8220,-3.8398,10.7960,2.8288
0.02,26.1573,0.9075,4.8424,5.7592,-3.1415,34.9146,2.8775
0.02,26.0461,0.9345,4.9568,5.7217,-1.8751,63.3218,2.9295
0.02,25.9336,0.9555,5.0712,5.7215,-0.0107,93.2199,2.9840
0.02,25.8192,0.9704,5.1866,5.7694,2.3973,120.3969,3.0402
0.02,25.7020,0.9790,5.3041,5.8734,5.1991,140.0927,3.0971
0.02,25.5813,0.9809,5.4248,6.0368,8.1680,148.4418,3.1535
0.02,25.4562,0.9759,5.5500,6.2577,11.0458,143.8891,3.2085
0.02,25.3262,0.9637,5.6806,6.5297,13.6020,127.8121,3.2610
0.02,25.1908,0.9440,5.8174,6.8434,15.6816,103.9821,3.3103
