dt,x,y,position,velocity,acceleration,jerk,heading
0.02,31.3401,0.2410,0.0028,0.1400,7.0000,0.0000,2.6180
0.02,31.3352,0.2438,0.0084,0.2798,6.9891,-0.5430,2.6180
0.02,31.3280,0.2480,0.0168,0.4193,6.9743,-0.7398,2.6180
0.02,31.3183,0.2536,0.0279,0.5583,6.9504,-1.1967,2.6179
0.02,31.3062,0.2606,0.0419,0.6967,6.9191,-1.5675,2.6179
0.02,31.2918,0.2689,0.0586,0.8343,6.8808,-1.9141,2.6178
0.02,31.2750,0.2786,0.0780,0.9710,6.8362,-2.2306,2.6176
0.02,31.2558,0.2897,0.1001,1.1067,6.7859,-2.5110,2.6174
0.02,31.2343,0.3021,0.1249,1.2413,6.7310,-2.7494,2.6170
0.02,31.2105,0.3159,0.1524,1.3748,6.6722,-2.9401,2.6166
0.02,31.1844,0.3310,0.1826,1.5070,6.6106,-3.0774,2.6159
0.02,31.1561,0.3475,0.2153,1.6379,6.5475,-3.1563,2.6152
0.02,31.1256,0.3653,0.2507,1.7676,6.4840,-3.1717,2.6142
0.02,31.0928,0.3844,0.2886,1.8961,6.4217,-3.1195,2.6130
0.02,31.0579,0.4048,0.3291,2.0233,6.3617,-2.9959,2.6116
0.02,31.0208,0.4266,0.3721,2.1494,6.3058,-2.7980,2.6099
0.02,30.9816,0.4497,0.4176,2.2745,6.2553,-2.5238,2.6080
0.02,30.9403,0.4741,0.4655,2.3987,6.2119,-2.1721,2.6058
0.02,30.8970,0.4999,0.5160,2.5223,6.1770,-1.7432,2.6032
0.02,30.8516,0.5271,0.5689,2.6453,6.1522,-1.2384,2.6004
0.02,30.8042,0.5557,0.6242,2.7681,6.1390,-0.6603,2.5972
0.02,30.7548,0.5857,0.6821,2.8909,6.1388,-0.0129,2.5937
0.02,30.7034,0.6172,0.7423,3.0139,6.1527,0.6982,2.5899
0.02,30.6500,0.6502,0.8051,3.1376,6.1821,1.4665,2.5858
0.02,30.5947,0.6848,0.8703,3.2621,6.2277,2.2839,2.5814
