dt,x,y,position,velocity,acceleration,jerk,heading
0.02,31.3401,0.2410,0.0028,0.1400,7.0000,0.0000,2.6180
0.02,31.3352,0.2438,0.0084,0.2797,6.9829,-0.8526,2.6180
0.02,31.3280,0.2480,0.0168,0.4189,6.9597,-1.1610,2.6180
0.02,31.3183,0.2536,0.0279,0.5573,6.9222,-1.8766,2.6179
0.02,31.3063,0.2605,0.0418,0.6948,6.8731,-2.4550,2.6178
0.02,31.2919,0.2689,0.0584,0.8310,6.8132,-2.9930,2.6177
0.02,31.2752,0.2785,0.0777,0.9659,6.7436,-3.4804,2.6174
0.02,31.2561,0.2895,0.0997,1.0992,6.6655,-3.9071,2.6170
0.02,31.2348,0.3019,0.1244,1.2308,6.5802,-4.2632,2.6165
0.02,31.2113,0.3155,0.1516,1.3606,6.4894,-4.5389,2.6157
0.02,31.1856,0.3305,0.1813,1.4885,6.3949,-4.7250,2.6148
0.02,31.1577,0.3467,0.2136,1.6145,6.2987,-4.8127,2.6136
0.02,31.1276,0.3643,0.2484,1.7385,6.2028,-4.7941,2.6121
0.02,31.0955,0.3831,0.2856,1.8607,6.1096,-4.6623,2.6103
0.02,31.0614,0.4032,0.3252,1.9811,6.0213,-4.4114,2.6081
0.02,31.0253,0.4246,0.3672,2.1000,5.9406,-4.0372,2.6055
0.02,30.9872,0.4473,0.4116,2.2174,5.8698,-3.5375,2.6025
0.02,30.9472,0.4713,0.4582,2.3336,5.8116,-2.9116,2.5991
0.02,30.9053,0.4967,0.5072,2.4490,5.7684,-2.1616,2.5952
0.02,30.8615,0.5235,0.5585,2.5638,5.7425,-1.2920,2.5908
0.02,30.8159,0.5516,0.6121,2.6785,5.7363,-0.3098,2.5860
0.02,30.7685,0.5812,0.6679,2.7936,5.7518,0.7748,2.5807
0.02,30.7194,0.6123,0.7261,2.9094,5.7908,1.9489,2.5750
0.02,30.6684,0.6449,0.7867,3.0265,5.8548,3.1969,2.5688
0.02,30.6156,0.6792,0.8496,3.1454,5.9448,4.5008,2.5623
0.02,30.5611,0.7151,0.9149,3.2666,6.0616,5.8408,2.5554
0.02,30.5047,0.7529,0.9827,3.3907,6.2055,7.1957,2.5482
0.02,30.4465,0.7924,1.0531,3.5182,6.3764,8.5444,2.5408
0.02,30.3865,0.8339,1.1261,3.6497,6.5737,9.8669,2.5333
0.02,30.3245,0.8774,1.2018,3.7857,6.7966,11.1451,2.5256
0.02,30.2606,0.9230,1.2803,3.9265,7.0439,12.3651,2.5180
0.02,30.1946,0.9709,1.3618,4.0728,7.3143,13.5177,2.5105
