dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.6026,0.0010,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.6079,0.0029,0.0084,0.2800,7.0000,0.0000,0.3491
0.02,20.6158,0.0057,0.0168,0.4200,7.0000,0.0000,0.3491
0.02,20.6263,0.0096,0.0280,0.5600,7.0000,0.0000,0.3491
0.02,20.6395,0.0144,0.0420,0.7000,7.0000,0.0000,0.3491
0.02,20.6553,0.0201,0.0588,0.8400,7.0000,0.0000,0.3491
0.02,20.6737,0.0268,0.0784,0.9800,7.0000,0.0000,0.3492
0.02,20.6947,0.0345,0.1008,1.1200,7.0000,0.0000,0.3493
0.02,20.7184,0.0431,0.1260,1.2600,7.0000,0.0000,0.3494
0.02,20.7447,0.0527,0.1540,1.4000,7.0000,0.0000,0.3495
0.02,20.7736,0.0632,0.1848,1.5400,7.0000,0.0000,0.3497
0.02,20.8052,0.0748,0.2184,1.6800,7.0000,0.0000,0.3500
0.02,20.8394,0.0872,0.2548,1.8200,7.0000,0.0000,0.3503
0.02,20.8762,0.1007,0.2940,1.9600,7.0000,0.0000,0.3506
0.02,20.9157,0.1151,0.3360,2.1000,7.0000,0.0000,0.3511
0.02,20.9577,0.1306,0.3808,2.2400,7.0000,0.0000,0.3516
0.02,21.0024,0.1470,0.4284,2.3800,7.0000,0.0000,0.3521
0.02,21.0497,0.1644,0.4788,2.5200,7.0000,0.0000,0.3527
0.02,21.0996,0.1828,0.5320,2.6600,7.0000,0.0000,0.3534
0.02,21.1522,0.2022,0.5880,2.8000,7.0000,0.0000,0.3542
0.02,21.2073,0.2226,0.6468,2.9400,7.0000,0.0000,0.3550
0.02,21.2650,0.2440,0.7084,3.0800,7.0000,0.0000,0.3558
0.02,21.3254,0.2665,0.7728,3.2200,7.0000,0.0000,0.3567
0.02,21.3884,0.2900,0.8400,3.3600,7.0000,0.0000,0.3576
0.02,21.4539,0.3145,0.9100,3.5000,7.0000,0.0000,0.3585
0.02,21.5221,0.3401,0.9828,3.6400,7.0000,0.0000,0.3593
0.02,21.5928,0.3667,1.0584,3.7800,7.0000,0.0000,0.3602
0.02,21.6662,0.3943,1.1368,3.9200,7.0000,0.0000,0.3609
0.02,21.7422,0.4230,1.2180,4.0600,7.0000,0.0000,0.3616
0.02,21.8207,0.4528,1.3020,4.2000,7.0000,0.0000,0.3622
0.02,21.9019,0.4836,1.3888,4.3400,7.0000,0.0000,0.3627
0.02,21.9857,0.5154,1.4784,4.4800,7.0000,0.0000,0.3630
0.02,22.0720,0.5482,1.5708,4.6200,7.0000,0.0000,0.3631
0.02,22.1610,0.5820,1.6660,4.7600,7.0000,0.0000,0.3631
0.02,22.2526,0.6168,1.7640,4.9000,7.0000,0.0000,0.3628
0.02,22.3469,0.6525,1.8648,5.0400,7.0000,0.0000,0.3623
0.02,22.4438,0.6892,1.9684,5.1800,7.0000,0.0000,0.3616
0.02,22.5433,0.7268,2.0748,5.3200,7.0000,0.0000,0.3606
0.02,22.6455,0.7653,2.1840,5.4600,7.0000,0.0000,0.3595
0.02,22.7504,0.8046,2.2960,5.6000,7.0000,0.0000,0.3581
0.02,22.8579,0.8448,2.4108,5.7400,7.0000,0.0000,0.3566
0.02,22.9682,0.8857,2.5284,5.8800,7.0000,0.0000,0.3550
0.02,23.0811,0.9275,2.6488,6.0200,7.0000,0.0000,0.3534
0.02,23.1967,0.9701,2.7720,6.1600,7.0000,0.0000,0.3519
0.02,23.3150,1.0134,2.8980,6.3000,7.0000,0.0000,0.3505
0.02,23.4360,1.0576,3.0268,6.4400,7.0000,0.0000,0.3495
0.02,23.5597,1.1026,3.1584,6.5800,7.0000,0.0000,0.3491
0.02,23.6860,1.1485,3.2928,6.7200,7.0000,0.0000,0.3481
0.02,23.8150,1.1951,3.4300,6.8600,7.0000,0.0000,0.3446
0.02,23.9469,1.2420,3.5700,7.0000,7.0000,0.0000,0.3384
0.02,24.0818,1.2889,3.7128,7.1400,7.0000,0.0000,0.3294
0.02,24.2198,1.3352,3.8584,7.2800,7.0000,0.0000,0.3177
0.02,24.3611,1.3806,4.0068,7.4200,7.0000,0.0000,0.3031
0.02,24.5058,1.4244,4.1580,7.5600,7.0000,0.0000,0.2854
0.02,24.6540,1.4663,4.3120,7.7000,7.0000,0.0000,0.2645
0.02,24.8059,1.5055,4.4688,7.8400,7.0000,0.0000,0.2403
0.02,24.9614,1.5414,4.6284,7.9800,7.0000,0.0000,0.2127
0.02,25.1206,1.5732,4.7908,8.1200,7.0000,0.0000,0.1816
0.02,25.2836,1.6003,4.9560,8.2600,7.0000,0.0000,0.1468
0.02,25.4502,1.6217,5.1240,8.4000,7.0000,0.0000,0.1084
0.02,25.6203,1.6366,5.2948,8.5400,7.0000,0.0000,0.0666
0.02,25.7937,1.6443,5.4684,8.6800,7.0000,0.0000,0.0216
0.02,25.9701,1.6439,5.6448,8.8200,7.0000,0.0000,-0.0261
0.02,26.1491,1.6348,5.8240,8.9600,7.0000,0.0000,-0.0759
0.02,26.3301,1.6164,6.0060,9.1000,7.0000,0.0000,-0.1270
0.02,26.5127,1.5883,6.1908,9.2400,7.0000,0.0000,-0.1785
0.02,26.6964,1.5503,6.3784,9.3800,7.0000,0.0000,-0.2294
0.02,26.8807,1.5024,6.5688,9.5200,7.0000,0.0000,-0.2787
0.02,27.0651,1.4448,6.7620,9.6600,7.0000,0.0000,-0.3256
0.02,27.2493,1.3780,6.9580,9.8000,7.0000,0.0000,-0.3693
0.02,27.4281,1.3048,7.1512,9.6600,-7.0000,0.0000,-0.4081
0.02,27.6015,1.2262,7.3416,9.5200,-7.0000,0.0000,-0.4421
0.02,27.7698,1.1434,7.5292,9.3800,-7.0000,0.0000,-0.4715
0.02,27.9334,1.0573,7.7140,9.2400,-7.0000,0.0000,-0.4964
0.02,28.0925,0.9689,7.8960,9.1000,-7.0000,0.0000,-0.5172
0.02,28.2474,0.8790,8.0752,8.9600,-7.0000,0.0000,-0.5342
0.02,28.3986,0.7881,8.2516,8.8200,-7.0000,0.0000,-0.5477
0.02,28.5463,0.6969,8.4252,8.6800,-7.0000,0.0000,-0.5581
