dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.2315,1.0205,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.2368,1.0224,0.0084,0.2799,6.9962,-0.1881,0.3491
0.02,20.2447,1.0253,0.0168,0.4197,6.9912,-0.2544,0.3491
0.02,20.2552,1.0291,0.0280,0.5594,6.9830,-0.4077,0.3491
0.02,20.2683,1.0339,0.0420,0.6989,6.9725,-0.5265,0.3491
0.02,20.2841,1.0397,0.0587,0.8381,6.9599,-0.6307,0.3491
0.02,20.3024,1.0463,0.0783,0.9770,6.9455,-0.7172,0.3492
0.02,20.3234,1.0540,0.1006,1.1156,6.9298,-0.7830,0.3493
0.02,20.3470,1.0626,0.1256,1.2538,6.9133,-0.8252,0.3494
0.02,20.3731,1.0721,0.1535,1.3918,6.8965,-0.8415,0.3495
0.02,20.4019,1.0826,0.1841,1.5294,6.8799,-0.8298,0.3497
0.02,20.4332,1.0940,0.2174,1.6666,6.8641,-0.7883,0.3500
0.02,20.4671,1.1064,0.2535,1.8036,6.8498,-0.7160,0.3503
0.02,20.5035,1.1197,0.2923,1.9404,6.8376,-0.6122,0.3506
0.02,20.5425,1.1340,0.3338,2.0769,6.8281,-0.4766,0.3511
0.02,20.5841,1.1492,0.3781,2.2134,6.8219,-0.3098,0.3516
0.02,20.6282,1.1654,0.4251,2.3498,6.8196,-0.1129,0.3521
0.02,20.6749,1.1826,0.4748,2.4862,6.8218,0.1123,0.3527
0.02,20.7241,1.2007,0.5273,2.6228,6.8291,0.3633,0.3534
0.02,20.7759,1.2198,0.5825,2.7596,6.8418,0.6367,0.3542
0.02,20.8302,1.2399,0.6404,2.8968,6.8604,0.9284,0.3550
0.02,20.8871,1.2610,0.7011,3.0345,6.8851,1.2332,0.3558
0.02,20.9466,1.2832,0.7645,3.1729,6.9160,1.5453,0.3567
0.02,21.0086,1.3063,0.8308,3.3119,6.9531,1.8576,0.3576
0.02,21.0733,1.3305,0.8998,3.4519,6.9964,2.1621,0.3585
0.02,21.1406,1.3558,0.9717,3.5928,7.0454,2.4499,0.3593
0.02,21.2105,1.3821,1.0464,3.7348,7.0996,2.7109,0.3602
0.02,21.2830,1.4094,1.1239,3.8779,7.1583,2.9336,0.3609
0.02,21.3583,1.4379,1.2044,4.0223,7.2204,3.1057,0.3616
0.02,21.4363,1.4674,1.2877,4.1680,7.2846,3.2134,0.3622
0.02,21.5170,1.4980,1.3740,4.3150,7.3495,3.2418,0.3627
0.02,21.6004,1.5297,1.4633,4.4633,7.4130,3.1746,0.3630
0.02,21.6866,1.5624,1.5556,4.6127,7.4729,2.9940,0.3631
0.02,21.7757,1.5963,1.6508,4.7633,7.5265,2.6809,0.3631
0.02,21.8676,1.6312,1.7491,4.9147,7.5708,2.2147,0.3628
0.02,21.9623,1.6671,1.8504,5.0667,7.6022,1.5730,0.3623
0.02,22.0600,1.7041,1.9548,5.2191,7.6169,0.7321,0.3616
0.02,22.1605,1.7420,2.0623,5.3713,7.6102,-0.3336,0.3606
0.02,22.2638,1.7809,2.1727,5.5228,7.5772,-1.6514,0.3595
0.02,22.3701,1.8208,2.2862,5.6730,7.5122,-3.2499,0.3581
0.02,22.4791,1.8615,2.4026,5.8212,7.4090,-5.1597,0.3566
0.02,22.5910,1.9031,2.5219,5.9664,7.2607,-7.4128,0.3550
0.02,22.7055,1.9454,2.6441,6.1076,7.0599,-10.0429,0.3534
0.02,22.8227,1.9886,2.7689,6.2436,6.7981,-13.0856,0.3519
0.02,22.9424,2.0324,2.8964,6.3729,6.4666,-16.5784,0.3505
0.02,23.0644,2.0770,3.0263,6.4940,6.0553,-20.5616,0.3495
0.02,23.1885,2.1222,3.1584,6.6051,5.5538,-25.0784,0.3491
0.02,23.3158,2.1684,3.2938,6.7709,8.2887,136.7440,0.3481
0.02,23.4485,2.2163,3.4348,7.0521,14.0586,288.4949,0.3446
0.02,23.5867,2.2655,3.5816,7.3370,14.2467,9.4076,0.3384
0.02,23.7308,2.3155,3.7341,7.6248,14.3909,7.2118,0.3294
0.02,23.8809,2.3659,3.8924,7.9170,14.6082,10.8606,0.3177
0.02,24.0373,2.4161,4.0567,8.2148,14.8904,14.1140,0.3031
0.02,24.2004,2.4656,4.2271,8.5193,15.2264,16.7969,0.2854
0.02,24.3704,2.5135,4.4037,8.8313,15.5991,18.6352,0.2645
0.02,24.5476,2.5593,4.5867,9.1510,15.9837,19.2321,0.2403
0.02,24.7323,2.6019,4.7763,9.4779,16.3448,18.0515,0.2127
0.02,24.9247,2.6404,4.9725,9.8105,16.6332,14.4227,0.1816
0.02,25.1249,2.6736,5.1754,10.1462,16.7850,7.5873,0.1468
0.02,25.3328,2.7003,5.3851,10.4806,16.7213,-3.1832,0.1084
0.02,25.5481,2.7192,5.6012,10.8077,16.3538,-18.3736,0.0666
0.02,25.7703,2.7291,5.8236,11.1196,15.5955,-37.9182,0.0216
0.02,25.9984,2.7286,6.0517,11.4072,14.3783,-60.8587,-0.0261
0.02,26.2313,2.7167,6.2850,11.6607,12.6760,-85.1121,-0.0759
0.02,26.4675,2.6927,6.5224,11.8712,10.5250,-107.5521,-0.1270
0.02,26.7054,2.6560,6.7630,12.0319,8.0338,-124.5576,-0.1785
0.02,26.9431,2.6068,7.0058,12.1394,5.3744,-132.9744,-0.2294
0.02,27.1792,2.5455,7.2497,12.1944,2.7515,-131.1430,-0.2787
0.02,27.4121,2.4728,7.4937,12.2016,0.3616,-119.4928,-0.3256
0.02,27.6409,2.3899,7.7371,12.1687,-1.6459,-100.3778,-0.3693
0.02,27.8587,2.3006,7.9725,11.7674,-20.0679,-921.0969,-0.4081
0.02,28.0658,2.2068,8.1998,11.3656,-20.0873,-0.9736,-0.4421
0.02,28.2627,2.1100,8.4192,10.9719,-19.6876,19.9874,-0.4715
0.02,28.4501,2.0114,8.6310,10.5915,-19.0169,33.5328,-0.4964
0.02,28.6290,1.9120,8.8356,10.2277,-18.1925,41.2227,-0.5172
