dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.9737,-1.0186,0.0028,0.1400,7.0000,0.0000,0.3491
0.02,20.9790,-1.0167,0.0084,0.2801,7.0038,0.1881,0.3491
0.02,20.9869,-1.0138,0.0168,0.4203,7.0088,0.2544,0.3491
0.02,20.9974,-1.0100,0.0280,0.5606,7.0170,0.4077,0.3491
0.02,21.0106,-1.0052,0.0420,0.7011,7.0275,0.5265,0.3491
0.02,21.0264,-0.9994,0.0589,0.8419,7.0401,0.6307,0.3491
0.02,21.0449,-0.9927,0.0785,0.9830,7.0545,0.7172,0.3492
0.02,21.0660,-0.9850,0.1010,1.1244,7.0702,0.7830,0.3493
0.02,21.0898,-0.9763,0.1264,1.2662,7.0867,0.8252,0.3494
0.02,21.1163,-0.9667,0.1545,1.4082,7.1035,0.8415,0.3495
0.02,21.1454,-0.9561,0.1855,1.5506,7.1201,0.8298,0.3497
0.02,21.1772,-0.9445,0.2194,1.6934,7.1359,0.7883,0.3500
0.02,21.2117,-0.9319,0.2561,1.8364,7.1502,0.7160,0.3503
0.02,21.2489,-0.9183,0.2957,1.9796,7.1624,0.6122,0.3506
0.02,21.2888,-0.9037,0.3382,2.1231,7.1719,0.4766,0.3511
0.02,21.3314,-0.8881,0.3835,2.2666,7.1781,0.3098,0.3516
0.02,21.3766,-0.8715,0.4317,2.4102,7.1804,0.1129,0.3521
0.02,21.4245,-0.8538,0.4828,2.5538,7.1782,-0.1123,0.3527
0.02,21.4752,-0.8352,0.5367,2.6972,7.1709,-0.3633,0.3534
0.02,21.5284,-0.8155,0.5935,2.8404,7.1582,-0.6367,0.3542
0.02,21.5844,-0.7948,0.6532,2.9832,7.1396,-0.9284,0.3550
0.02,21.6430,-0.7730,0.7157,3.1255,7.1149,-1.2332,0.3558
0.02,21.7042,-0.7502,0.7811,3.2671,7.0840,-1.5452,0.3567
0.02,21.7681,-0.7264,0.8492,3.4081,7.0469,-1.8575,0.3576
0.02,21.8346,-0.7016,0.9202,3.5481,7.0036,-2.1621,0.3585
0.02,21.9036,-0.6756,0.9939,3.6872,6.9546,-2.4499,0.3593
0.02,21.9752,-0.6487,1.0704,3.8252,6.9004,-2.7108,0.3602
0.02,22.0494,-0.6208,1.1497,3.9621,6.8417,-2.9336,0.3609
0.02,22.1260,-0.5918,1.2316,4.0977,6.7796,-3.1056,0.3616
0.02,22.2052,-0.5618,1.3163,4.2320,6.7154,-3.2134,0.3622
0.02,22.2868,-0.5309,1.4036,4.3650,6.6505,-3.2418,0.3627
0.02,22.3709,-0.4989,1.4935,4.4967,6.5870,-3.1746,0.3630
0.02,22.4574,-0.4661,1.5860,4.6273,6.5271,-2.9940,0.3631
