dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-5.6000,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-5.6000,0.0084,0.2800,7.0000,0.0000,-3.1416
0.02,30.7832,-5.6000,0.0168,0.4200,7.0000,0.0000,-3.1415
0.02,30.7720,-5.6000,0.0280,0.5600,7.0000,0.0000,-3.1415
0.02,30.7580,-5.6000,0.0420,0.7000,7.0000,0.0000,-3.1413
0.02,30.7412,-5.6000,0.0588,0.8400,7.0000,0.0000,-3.1410
0.02,30.7216,-5.6000,0.0784,0.9800,7.0000,0.0000,-3.1405
0.02,30.6992,-5.6001,0.1008,1.1200,7.0000,0.0000,-3.1399
0.02,30.6740,-5.6001,0.1260,1.2600,7.0000,0.0000,-3.1389
0.02,30.6460,-5.6002,0.1540,1.4000,7.0000,0.0000,-3.1376
0.02,30.6152,-5.6004,0.1848,1.5400,7.0000,0.0000,-3.1359
0.02,30.5816,-5.6006,0.2184,1.6800,7.0000,0.0000,-3.1338
0.02,30.5452,-5.6009,0.2548,1.8200,7.0000,0.0000,-3.1311
0.02,30.5060,-5.6014,0.2940,1.9600,7.0000,0.0000,-3.1277
0.02,30.4640,-5.6021,0.3360,2.1000,7.0000,0.0000,-3.1237
0.02,30.4192,-5.6030,0.3808,2.2400,7.0000,0.0000,-3.1190
0.02,30.3716,-5.6042,0.4284,2.3800,7.0000,0.0000,-3.1134
0.02,30.3213,-5.6058,0.4788,2.5200,7.0000,0.0000,-3.1069
0.02,30.2681,-5.6078,0.5320,2.6600,7.0000,0.0000,-3.0994
0.02,30.2122,-5.6104,0.5880,2.8000,7.0000,0.0000,-3.0910
0.02,30.1535,-5.6136,0.6468,2.9400,7.0000,0.0000,-3.0815
0.02,30.0920,-5.6177,0.7084,3.0800,7.0000,0.0000,-3.0709
0.02,30.0278,-5.6226,0.7728,3.2200,7.0000,0.0000,-3.0593
0.02,29.9608,-5.6285,0.8400,3.3600,7.0000,0.0000,-3.0465
0.02,29.8912,-5.6357,0.9100,3.5000,7.0000,0.0000,-3.0327
0.02,29.8189,-5.6441,0.9828,3.6400,7.0000,0.0000,-3.0178
0.02,29.7439,-5.6540,1.0584,3.7800,7.0000,0.0000,-3.0018
0.02,29.6664,-5.6656,1.1368,3.9200,7.0000,0.0000,-2.9850
0.02,29.5863,-5.6790,1.2180,4.0600,7.0000,0.0000,-2.9672
0.02,29.5037,-5.6943,1.3020,4.2000,7.0000,0.0000,-2.9488
0.02,29.4187,-5.7118,1.3888,4.3400,7.0000,0.0000,-2.9297
0.02,29.3313,-5.7315,1.4784,4.4800,7.0000,0.0000,-2.9102
0.02,29.2416,-5.7536,1.5708,4.6200,7.0000,0.0000,-2.8904
0.02,29.1496,-5.7781,1.6660,4.7600,7.0000,0.0000,-2.8705
0.02,29.0555,-5.8053,1.7640,4.9000,7.0000,0.0000,-2.8506
0.02,28.9592,-5.8352,1.8648,5.0400,7.0000,0.0000,-2.8311
0.02,28.8608,-5.8678,1.9684,5.1800,7.0000,0.0000,-2.8121
0.02,28.7605,-5.9031,2.0748,5.3200,7.0000,0.0000,-2.7938
0.02,28.6582,-5.9413,2.1840,5.4600,7.0000,0.0000,-2.7765
0.02,28.5539,-5.9821,2.2960,5.6000,7.0000,0.0000,-2.7602
