dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-6.6850,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-6.6850,0.0084,0.2794,6.9703,-1.4854,-3.1416
0.02,30.7833,-6.6850,0.0167,0.4180,6.9298,-2.0267,-3.1415
0.02,30.7721,-6.6850,0.0279,0.5553,6.8641,-3.2844,-3.1415
0.02,30.7583,-6.6850,0.0417,0.6908,6.7778,-4.3149,-3.1413
0.02,30.7418,-6.6850,0.0582,0.8243,6.6719,-5.2912,-3.1410
0.02,30.7227,-6.6850,0.0773,0.9552,6.5479,-6.2007,-3.1405
0.02,30.7011,-6.6851,0.0989,1.0834,6.4073,-7.0316,-3.1399
0.02,30.6769,-6.6851,0.1231,1.2084,6.2518,-7.7728,-3.1389
0.02,30.6503,-6.6852,0.1497,1.3301,6.0836,-8.4135,-3.1376
0.02,30.6213,-6.6853,0.1787,1.4482,5.9047,-8.9437,-3.1359
0.02,30.5901,-6.6855,0.2099,1.5625,5.7176,-9.3538,-3.1338
0.02,30.5566,-6.6859,0.2434,1.6730,5.5249,-9.6339,-3.1311
0.02,30.5210,-6.6863,0.2790,1.7796,5.3295,-9.7743,-3.1277
0.02,30.4834,-6.6869,0.3166,1.8823,5.1342,-9.7644,-3.1237
0.02,30.4438,-6.6877,0.3562,1.9812,4.9423,-9.5929,-3.1190
0.02,30.4023,-6.6887,0.3978,2.0763,4.7574,-9.2473,-3.1134
0.02,30.3589,-6.6901,0.4411,2.1680,4.5831,-8.7136,-3.1069
0.02,30.3138,-6.6918,0.4862,2.2564,4.4236,-7.9768,-3.0994
0.02,30.2670,-6.6940,0.5331,2.3421,4.2831,-7.0213,-3.0910
0.02,30.2186,-6.6967,0.5816,2.4254,4.1665,-5.8312,-3.0815
0.02,30.1686,-6.7000,0.6317,2.5070,4.0787,-4.3926,-3.0709
0.02,30.1170,-6.7039,0.6835,2.5875,4.0248,-2.6949,-3.0593
0.02,30.0638,-6.7086,0.7368,2.6677,4.0101,-0.7340,-3.0465
0.02,30.0092,-6.7142,0.7918,2.7485,4.0398,1.4853,-3.0327
0.02,29.9529,-6.7208,0.8484,2.8309,4.1187,3.9458,-3.0178
0.02,29.8951,-6.7285,0.9067,2.9159,4.2510,6.6148,-3.0018
0.02,29.8357,-6.7373,0.9668,3.0047,4.4398,9.4420,-2.9850
0.02,29.7745,-6.7475,1.0288,3.0984,4.6870,12.3591,-2.9672
0.02,29.7117,-6.7592,1.0928,3.1983,4.9926,15.2805,-2.9488
0.02,29.6469,-6.7725,1.1589,3.3054,5.3548,18.1079,-2.9297
0.02,29.5802,-6.7875,1.2273,3.4208,5.7695,20.7367,-2.9102
0.02,29.5113,-6.8045,1.2982,3.5454,6.2308,23.0649,-2.8904
0.02,29.4402,-6.8235,1.3718,3.6800,6.7309,25.0036,-2.8705
0.02,29.3667,-6.8447,1.4483,3.8252,7.2606,26.4872,-2.8506
