dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-4.5150,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-4.5150,0.0084,0.2806,7.0297,1.4854,-3.1416
0.02,30.7831,-4.5150,0.0169,0.4220,7.0702,2.0267,-3.1415
0.02,30.7719,-4.5150,0.0281,0.5647,7.1359,3.2844,-3.1415
0.02,30.7577,-4.5150,0.0423,0.7092,7.2222,4.3149,-3.1413
0.02,30.7406,-4.5150,0.0594,0.8557,7.3281,5.2912,-3.1410
0.02,30.7205,-4.5150,0.0795,1.0048,7.4521,6.2007,-3.1405
0.02,30.6973,-4.5151,0.1027,1.1566,7.5927,7.0316,-3.1399
0.02,30.6711,-4.5151,0.1289,1.3116,7.7482,7.7727,-3.1389
0.02,30.6417,-4.5152,0.1583,1.4699,7.9164,8.4134,-3.1376
0.02,30.6091,-4.5154,0.1909,1.6318,8.0953,8.9436,-3.1359
0.02,30.5731,-4.5156,0.2269,1.7975,8.2824,9.3535,-3.1338
0.02,30.5338,-4.5160,0.2662,1.9670,8.4750,9.6335,-3.1311
0.02,30.4910,-4.5165,0.3090,2.1404,8.6705,9.7737,-3.1277
0.02,30.4446,-4.5172,0.3554,2.3177,8.8658,9.7636,-3.1237
0.02,30.3947,-4.5182,0.4054,2.4988,9.0576,9.5919,-3.1190
0.02,30.3410,-4.5196,0.4590,2.6837,9.2425,9.2459,-3.1134
0.02,30.2836,-4.5214,0.5165,2.8720,9.4168,8.7119,-3.1069
0.02,30.2224,-4.5238,0.5777,3.0636,9.5763,7.9749,-3.0994
0.02,30.1573,-4.5268,0.6429,3.2579,9.7166,7.0189,-3.0910
0.02,30.0883,-4.5306,0.7120,3.4546,9.8332,5.8285,-3.0815
0.02,30.0154,-4.5354,0.7851,3.6530,9.9210,4.3896,-3.0709
0.02,29.9386,-4.5413,0.8621,3.8525,9.9748,2.6918,-3.0593
0.02,29.8578,-4.5484,0.9432,4.0523,9.9895,0.7308,-3.0465
0.02,29.7732,-4.5571,1.0282,4.2515,9.9597,-1.4884,-3.0327
0.02,29.6849,-4.5674,1.1172,4.4491,9.8807,-3.9487,-3.0178
0.02,29.5928,-4.5796,1.2100,4.6440,9.7484,-6.6171,-3.0018
0.02,29.4971,-4.5939,1.3067,4.8352,9.5595,-9.4436,-2.9850
0.02,29.3981,-4.6104,1.4072,5.0215,9.3123,-12.3596,-2.9672
0.02,29.2958,-4.6294,1.5112,5.2016,9.0067,-15.2798,-2.9488
0.02,29.1905,-4.6510,1.6187,5.3745,8.6446,-18.1058,-2.9297
0.02,29.0824,-4.6754,1.7295,5.5391,8.2299,-20.7331,-2.9102
0.02,28.9719,-4.7026,1.8434,5.6945,7.7687,-23.0598,-2.8904
0.02,28.8590,-4.7328,1.9602,5.8398,7.2688,-24.9971,-2.8705
0.02,28.7442,-4.7659,2.0797,5.9746,6.7392,-26.4796,-2.8506
0.02,28.6277,-4.8021,2.2016,6.0984,6.1897,-27.4737,-2.8311
0.02,28.5098,-4.8411,2.3258,6.2110,5.6301,-27.9835,-2.8121
0.02,28.3907,-4.8831,2.4521,6.3124,5.0690,-28.0517,-2.7938
0.02,28.2707,-4.9278,2.5802,6.4027,4.5139,-27.7568,-2.7765
0.02,28.1500,-4.9751,2.7098,6.4821,3.9698,-27.2065,-2.7602
0.02,28.0288,-5.0248,2.8408,6.5509,3.4392,-26.5290,-2.7452
0.02,27.9072,-5.0766,2.9730,6.6093,2.9219,-25.8625,-2.7318
0.02,27.7854,-5.1304,3.1061,6.6576,2.4150,-25.3469,-2.7200
0.02,27.6635,-5.1858,3.2401,6.6959,1.9127,-25.1156,-2.7102
0.02,27.5416,-5.2426,3.3745,6.7240,1.4069,-25.2908,-2.7024
0.02,27.4197,-5.3003,3.5094,6.7417,0.8873,-25.9791,-2.6968
0.02,27.2980,-5.3586,3.6444,6.7486,0.3419,-27.2694,-2.6937
0.02,27.1764,-5.4170,3.7792,6.7437,-0.2427,-29.2284,-2.6932
0.02,27.0551,-5.4752,3.9137,6.7261,-0.8805,-31.8940,-2.6957
0.02,26.9342,-5.5327,4.0476,6.6944,-1.5858,-35.2616,-2.7013
0.02,26.8137,-5.5888,4.1806,6.6470,-2.3709,-39.2585,-2.7104
0.02,26.6938,-5.6431,4.3122,6.5821,-3.2450,-43.7028,-2.7233
0.02,26.5746,-5.6949,4.4422,6.4979,-4.2097,-48.2358,-2.7403
0.02,26.4564,-5.7436,4.5700,6.3928,-5.2542,-52.2253,-2.7618
0.02,26.3394,-5.7886,4.6953,6.2659,-6.3469,-54.6342,-2.7882
0.02,26.2240,-5.8292,4.8177,6.1174,-7.4244,-53.8739,-2.8200
0.02,26.1104,-5.8647,4.9367,5.9498,-8.3783,-47.6943,-2.8574
0.02,25.9990,-5.8947,5.0521,5.7689,-9.0430,-33.2369,-2.9007
0.02,25.8899,-5.9188,5.1638,5.5851,-9.1923,-7.4637,-2.9500
0.02,25.7831,-5.9365,5.2721,5.4140,-8.5566,31.7847,-3.0051
0.02,25.6782,-5.9478,5.3776,5.2765,-6.8760,84.0307,-3.0652
0.02,25.5744,-5.9524,5.4815,5.1966,-3.9917,144.2163,-3.1294
0.02,25.4704,-5.9502,5.5855,5.1976,0.0477,201.9694,-3.1961
0.02,25.3649,-5.9409,5.6914,5.2960,4.9231,243.7664,-3.2637
0.02,25.2563,-5.9238,5.8013,5.4978,10.0871,258.2042,-3.3301
0.02,25.1432,-5.8984,5.9173,5.7962,14.9209,241.6852,-3.3935
0.02,25.0246,-5.8640,6.0408,6.1748,18.9294,200.4258,-3.4526
0.02,24.9036,-5.8215,6.1690,6.4126,11.8906,-351.9378,-3.5047
0.02,24.7803,-5.7714,6.3021,6.6560,12.1693,13.9339,-3.5497
0.02,24.6549,-5.7142,6.4399,6.8888,11.6401,-26.4600,-3.5879
0.02,24.5278,-5.6508,6.5820,7.1029,10.7054,-46.7340,-3.6195
0.02,24.3991,-5.5820,6.7279,7.2961,9.6612,-52.2127,-3.6450
0.02,24.2690,-5.5085,6.8773,7.4702,8.7040,-47.8581,-3.6648
0.02,24.1374,-5.4313,7.0299,7.6294,7.9582,-37.2891,-3.6790
0.02,24.0042,-5.3510,7.1855,7.7794,7.5044,-22.6901,-3.6878
0.02,23.8689,-5.2683,7.3440,7.9275,7.4035,-5.0464,-3.6914
0.02,23.8470,-5.2549,7.3697,1.2831,-332.2223,-16981.2875,-3.6914
0.02,23.7078,-5.1694,7.5330,8.1668,344.1879,33820.5098,-3.6884
0.02,23.5801,-5.0899,7.6835,7.5224,-32.2222,-18820.5085,-3.6972
0.02,23.4581,-5.0119,7.8283,7.2404,-14.0995,906.1393,-3.7112
0.02,23.3417,-4.9347,7.9679,6.9822,-12.9082,59.5608,-3.7299
0.02,23.2309,-4.8578,8.1028,6.7455,-11.8356,53.6321,-3.7531
0.02,23.1255,-4.7806,8.2334,6.5301,-10.7709,53.2335,-3.7801
0.02,23.0255,-4.7027,8.3602,6.3377,-9.6218,57.4554,-3.8108
0.02,22.9306,-4.6238,8.4836,6.1713,-8.3171,65.2366,-3.8445
0.02,22.8406,-4.5434,8.6043,6.0351,-6.8129,75.2114,-3.8807
0.02,22.7565,-4.4626,8.7209,5.8299,-10.2569,-172.2039,-3.9181
0.02,22.6779,-4.3810,8.8342,5.6650,-8.2470,100.4991,-3.9560
0.02,22.6041,-4.2984,8.9450,5.5384,-6.3278,95.9558,-3.9936
0.02,22.5346,-4.2145,9.0539,5.4468,-4.5797,87.4085,-4.0304
0.02,22.4689,-4.1292,9.1616,5.3854,-3.0711,75.4309,-4.0656
0.02,22.4066,-4.0422,9.2686,5.3485,-1.8477,61.1655,-4.0990
0.02,22.3474,-3.9536,9.3752,5.3299,-0.9279,45.9919,-4.1302
0.02,22.2908,-3.8634,9.4817,5.3238,-0.3038,31.2055,-4.1589
0.02,22.2368,-3.7716,9.5882,5.3249,0.0522,17.7985,-4.1850
0.02,22.1849,-3.6785,9.6947,5.3285,0.1796,6.3714,-4.2084
0.02,22.1351,-3.5842,9.8013,5.3309,0.1227,-2.8440,-4.2292
0.02,22.0872,-3.4890,9.9079,5.3294,-0.0752,-9.8985,-4.2475
0.02,22.0409,-3.3932,10.0144,5.3219,-0.3757,-15.0209,-4.2633
0.02,21.9962,-3.2969,10.1205,5.3070,-0.7462,-18.5248,-4.2768
0.02,21.9528,-3.2006,10.2262,5.2838,-1.1610,-20.7409,-4.2881
0.02,21.9107,-3.1044,10.3312,5.2517,-1.6005,-21.9746,-4.2975
0.02,21.8697,-3.0085,10.4354,5.2107,-2.0502,-22.4857,-4.3051
0.02,21.8297,-2.9134,10.5387,5.1607,-2.4998,-22.4817,-4.3109
0.02,21.7907,-2.8191,10.6407,5.1019,-2.9422,-22.1206,-4.3153
0.02,21.7525,-2.7260,10.7414,5.0344,-3.3726,-21.5171,-4.3184
0.02,21.7151,-2.6341,10.8406,4.9587,-3.7876,-20.7516,-4.3203
0.02,21.6784,-2.5438,10.9381,4.8750,-4.1852,-19.8774,-4.3211
0.02,21.6425,-2.4551,11.0337,4.7837,-4.5637,-18.9286,-4.3210
0.02,21.6072,-2.3683,11.1274,4.6853,-4.9222,-17.9254,-4.3202
0.02,21.5727,-2.2834,11.2190,4.5801,-5.2598,-16.8798,-4.3187
0.02,21.5388,-2.2007,11.3084,4.4686,-5.5758,-15.7982,-4.3167
0.02,21.5056,-2.1203,11.3954,4.3512,-5.8695,-14.6851,-4.3143
0.02,21.4732,-2.0422,11.4800,4.2284,-6.1404,-13.5442,-4.3115
0.02,21.4416,-1.9665,11.5620,4.1006,-6.3880,-12.3801,-4.3086
0.02,21.4107,-1.8934,11.6414,3.9684,-6.6120,-11.1988,-4.3055
0.02,21.3807,-1.8229,11.7180,3.8321,-6.8121,-10.0076,-4.3023
0.02,21.3515,-1.7550,11.7919,3.6924,-6.9884,-8.8157,-4.2991
