dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.0012,-1.4025,0.0028,0.1400,7.0000,0.0000,-1.1345
0.02,20.0035,-1.4076,0.0084,0.2800,7.0000,0.0000,-1.1345
0.02,20.0071,-1.4152,0.0168,0.4200,7.0000,0.0000,-1.1345
0.02,20.0118,-1.4254,0.0280,0.5600,7.0000,0.0000,-1.1346
0.02,20.0177,-1.4381,0.0420,0.7000,7.0000,0.0000,-1.1347
0.02,20.0248,-1.4533,0.0588,0.8400,7.0000,0.0000,-1.1348
0.02,20.0331,-1.4711,0.0784,0.9800,7.0000,0.0000,-1.1351
0.02,20.0426,-1.4914,0.1008,1.1200,7.0000,0.0000,-1.1356
0.02,20.0532,-1.5142,0.1260,1.2600,7.0000,0.0000,-1.1361
0.02,20.0650,-1.5396,0.1540,1.4000,7.0000,0.0000,-1.1369
0.02,20.0779,-1.5676,0.1848,1.5400,7.0000,0.0000,-1.1380
0.02,20.0920,-1.5981,0.2184,1.6800,7.0000,0.0000,-1.1393
0.02,20.1072,-1.6312,0.2548,1.8200,7.0000,0.0000,-1.1409
0.02,20.1235,-1.6668,0.2940,1.9600,7.0000,0.0000,-1.1429
0.02,20.1409,-1.7050,0.3360,2.1000,7.0000,0.0000,-1.1452
0.02,20.1593,-1.7459,0.3808,2.2400,7.0000,0.0000,-1.1480
0.02,20.1788,-1.7893,0.4284,2.3800,7.0000,0.0000,-1.1511
0.02,20.1992,-1.8354,0.4788,2.5200,7.0000,0.0000,-1.1547
0.02,20.2206,-1.8841,0.5320,2.6600,7.0000,0.0000,-1.1587
0.02,20.2429,-1.9354,0.5880,2.8000,7.0000,0.0000,-1.1631
0.02,20.2661,-1.9895,0.6468,2.9400,7.0000,0.0000,-1.1679
0.02,20.2901,-2.0462,0.7084,3.0800,7.0000,0.0000,-1.1731
0.02,20.3149,-2.1056,0.7728,3.2200,7.0000,0.0000,-1.1786
0.02,20.3404,-2.1678,0.8400,3.3600,7.0000,0.0000,-1.1845
0.02,20.3666,-2.2327,0.9100,3.5000,7.0000,0.0000,-1.1905
0.02,20.3934,-2.3004,0.9828,3.6400,7.0000,0.0000,-1.1968
0.02,20.4208,-2.3709,1.0584,3.7800,7.0000,0.0000,-1.2031
0.02,20.4488,-2.4441,1.1368,3.9200,7.0000,0.0000,-1.2093
0.02,20.4772,-2.5202,1.2180,4.0600,7.0000,0.0000,-1.2155
0.02,20.5062,-2.5990,1.3020,4.2000,7.0000,0.0000,-1.2214
0.02,20.5357,-2.6807,1.3888,4.3400,7.0000,0.0000,-1.2270
0.02,20.5657,-2.7651,1.4784,4.4800,7.0000,0.0000,-1.2320
0.02,20.5962,-2.8523,1.5708,4.6200,7.0000,0.0000,-1.2364
0.02,20.6273,-2.9423,1.6660,4.7600,7.0000,0.0000,-1.2400
0.02,20.6590,-3.0350,1.7640,4.9000,7.0000,0.0000,-1.2427
0.02,20.6914,-3.1305,1.8648,5.0400,7.0000,0.0000,-1.2441
0.02,20.7246,-3.2286,1.9684,5.1800,7.0000,0.0000,-1.2443
0.02,20.7588,-3.3294,2.0748,5.3200,7.0000,0.0000,-1.2429
0.02,20.7941,-3.4327,2.1840,5.4600,7.0000,0.0000,-1.2397
0.02,20.8308,-3.5385,2.2960,5.6000,7.0000,0.0000,-1.2345
0.02,20.8691,-3.6467,2.4108,5.7400,7.0000,0.0000,-1.2270
0.02,20.9092,-3.7573,2.5284,5.8800,7.0000,0.0000,-1.2169
0.02,20.9517,-3.8699,2.6488,6.0200,7.0000,0.0000,-1.2039
0.02,20.9968,-3.9846,2.7720,6.1600,7.0000,0.0000,-1.1876
0.02,21.0450,-4.1010,2.8980,6.3000,7.0000,0.0000,-1.1677
0.02,21.0969,-4.2189,3.0268,6.4400,7.0000,0.0000,-1.1436
0.02,21.1531,-4.3379,3.1584,6.5800,7.0000,0.0000,-1.1151
0.02,21.2142,-4.4575,3.2928,6.7200,7.0000,0.0000,-1.0815
0.02,21.2810,-4.5774,3.4300,6.8600,7.0000,0.0000,-1.0426
0.02,21.3542,-4.6967,3.5700,7.0000,7.0000,0.0000,-0.9979
0.02,21.4345,-4.8148,3.7128,7.1400,7.0000,0.0000,-0.9475
0.02,21.5228,-4.9306,3.8584,7.2800,7.0000,0.0000,-0.8914
0.02,21.6194,-5.0431,4.0068,7.4200,7.0000,0.0000,-0.8302
0.02,21.7250,-5.1513,4.1580,7.5600,7.0000,0.0000,-0.7648
0.02,21.8397,-5.2541,4.3120,7.7000,7.0000,0.0000,-0.6966
0.02,21.9633,-5.3504,4.4688,7.8400,7.0000,0.0000,-0.6274
0.02,22.0957,-5.4396,4.6284,7.9800,7.0000,0.0000,-0.5589
0.02,22.2361,-5.5211,4.7908,8.1200,7.0000,0.0000,-0.4929
0.02,22.3840,-5.5946,4.9560,8.2600,7.0000,0.0000,-0.4309
0.02,22.5386,-5.6603,5.1240,8.4000,7.0000,0.0000,-0.3739
0.02,22.6992,-5.7185,5.2948,8.5400,7.0000,0.0000,-0.3227
0.02,22.8650,-5.7697,5.4684,8.6800,7.0000,0.0000,-0.2774
0.02,23.0356,-5.8146,5.6448,8.8200,7.0000,0.0000,-0.2383
0.02,23.2104,-5.8539,5.8240,8.9600,7.0000,0.0000,-0.2053
0.02,23.3891,-5.8885,6.0060,9.1000,7.0000,0.0000,-0.1783
0.02,23.5713,-5.9193,6.1908,9.2400,7.0000,0.0000,-0.1573
0.02,23.7568,-5.9472,6.3784,9.3800,7.0000,0.0000,-0.1425
0.02,23.9454,-5.9733,6.5688,9.5200,7.0000,0.0000,-0.1342
0.02,24.1369,-5.9989,6.7620,9.6600,7.0000,0.0000,-0.1322
0.02,24.3313,-6.0243,6.9580,9.8000,7.0000,0.0000,-0.1270
0.02,24.5286,-6.0486,7.1568,9.9400,7.0000,0.0000,-0.1165
0.02,24.7290,-6.0705,7.3584,10.0800,7.0000,0.0000,-0.1012
0.02,24.9325,-6.0893,7.5628,10.2200,7.0000,0.0000,-0.0819
0.02,25.1392,-6.1039,7.7700,10.3600,7.0000,0.0000,-0.0593
0.02,25.3490,-6.1138,7.9800,10.5000,7.0000,0.0000,-0.0342
0.02,25.5617,-6.1182,8.1928,10.6400,7.0000,0.0000,-0.0075
0.02,25.7773,-6.1169,8.4084,10.7800,7.0000,0.0000,0.0199
0.02,25.9956,-6.1095,8.6268,10.9200,7.0000,0.0000,0.0472
0.02,26.2108,-6.0966,8.8424,10.7800,-7.0000,0.0000,0.0728
0.02,26.4228,-6.0786,9.0552,10.6400,-7.0000,0.0000,0.0961
0.02,26.6316,-6.0563,9.2652,10.5000,-7.0000,0.0000,0.1167
0.02,26.8372,-6.0303,9.4724,10.3600,-7.0000,0.0000,0.1341
0.02,27.0395,-6.0015,9.6768,10.2200,-7.0000,0.0000,0.1484
