dt,x,y,position,velocity,acceleration,jerk,heading
0.02,20.9845,-0.9440,0.0028,0.1400,7.0000,0.0000,-1.1345
0.02,20.9869,-0.9491,0.0084,0.2804,7.0191,0.9537,-1.1345
0.02,20.9905,-0.9567,0.0168,0.4213,7.0450,1.2958,-1.1345
0.02,20.9952,-0.9669,0.0281,0.5630,7.0868,2.0886,-1.1346
0.02,21.0012,-0.9797,0.0422,0.7058,7.1412,2.7202,-1.1347
0.02,21.0084,-0.9951,0.0592,0.8500,7.2071,3.2965,-1.1348
0.02,21.0168,-1.0132,0.0791,0.9956,7.2832,3.8035,-1.1351
0.02,21.0264,-1.0339,0.1020,1.1430,7.3677,4.2276,-1.1356
0.02,21.0373,-1.0573,0.1278,1.2922,7.4588,4.5554,-1.1361
0.02,21.0494,-1.0835,0.1567,1.4433,7.5543,4.7739,-1.1369
0.02,21.0629,-1.1125,0.1886,1.5963,7.6517,4.8713,-1.1380
0.02,21.0775,-1.1443,0.2236,1.7513,7.7485,4.8367,-1.1393
0.02,21.0935,-1.1790,0.2618,1.9081,7.8417,4.6607,-1.1409
0.02,21.1106,-1.2166,0.3031,2.0667,7.9284,4.3361,-1.1429
0.02,21.1291,-1.2571,0.3477,2.2268,8.0056,3.8577,-1.1452
0.02,21.1487,-1.3006,0.3954,2.3882,8.0700,3.2234,-1.1480
0.02,21.1696,-1.3472,0.4464,2.5506,8.1187,2.4340,-1.1511
0.02,21.1916,-1.3968,0.5007,2.7135,8.1486,1.4941,-1.1547
0.02,21.2148,-1.4495,0.5583,2.8767,8.1568,0.4116,-1.1587
0.02,21.2390,-1.5052,0.6190,3.0395,8.1408,-0.8017,-1.1631
0.02,21.2643,-1.5641,0.6831,3.2014,8.0982,-2.1301,-1.1679
0.02,21.2905,-1.6260,0.7503,3.3620,8.0271,-3.5548,-1.1731
0.02,21.3175,-1.6910,0.8207,3.5205,7.9260,-5.0543,-1.1786
0.02,21.3454,-1.7590,0.8942,3.6764,7.7939,-6.6048,-1.1845
0.02,21.3741,-1.8300,0.9708,3.8290,7.6303,-8.1820,-1.1905
0.02,21.4034,-1.9040,1.0504,3.9777,7.4350,-9.7623,-1.1968
0.02,21.4333,-1.9808,1.1328,4.1219,7.2085,-11.3241,-1.2031
0.02,21.4636,-2.0604,1.2180,4.2609,6.9515,-12.8501,-1.2093
0.02,21.4945,-2.1427,1.3059,4.3942,6.6650,-14.3287,-1.2155
0.02,21.5257,-2.2276,1.3963,4.5212,6.3498,-15.7558,-1.2214
0.02,21.5572,-2.3149,1.4892,4.6413,6.0071,-17.1362,-1.2270
0.02,21.5890,-2.4045,1.5843,4.7541,5.6374,-18.4847,-1.2320
0.02,21.6211,-2.4962,1.6814,4.8589,5.2409,-19.8268,-1.2364
0.02,21.6535,-2.5899,1.7805,4.9552,4.8169,-21.1991,-1.2400
0.02,21.6861,-2.6853,1.8814,5.0425,4.3639,-22.6485,-1.2427
0.02,21.7190,-2.7823,1.9838,5.1201,3.8793,-24.2318,-1.2441
0.02,21.7523,-2.8806,2.0875,5.1873,3.3590,-26.0142,-1.2443
0.02,21.7860,-2.9799,2.1924,5.2432,2.7977,-28.0665,-1.2429
0.02,21.8202,-3.0799,2.2981,5.2870,2.1885,-30.4616,-1.2397
0.02,21.8550,-3.1804,2.4045,5.3175,1.5231,-33.2684,-1.2345
0.02,21.8905,-3.2810,2.5112,5.3333,0.7923,-36.5415,-1.2270
0.02,21.9270,-3.3812,2.6178,5.3330,-0.0138,-40.3048,-1.2169
0.02,21.9644,-3.4807,2.7241,5.3149,-0.9043,-44.5250,-1.2039
0.02,22.0031,-3.5789,2.8297,5.2772,-1.8857,-49.0684,-1.1876
0.02,22.0430,-3.6753,2.9340,5.2181,-2.9584,-53.6366,-1.1677
0.02,22.0844,-3.7693,3.0367,5.1358,-4.1119,-57.6708,-1.1436
0.02,22.1274,-3.8603,3.1373,5.0295,-5.3164,-60.2260,-1.1151
0.02,22.1719,-3.9476,3.2353,4.8992,-6.5129,-59.8243,-1.0815
0.02,22.2181,-4.0305,3.3303,4.7472,-7.5996,-54.3378,-1.0426
0.02,22.2660,-4.1086,3.4218,4.5788,-8.4199,-41.0131,-0.9979
0.02,22.3155,-4.1814,3.5099,4.4037,-8.7566,-16.8385,-0.9475
0.02,22.3668,-4.2488,3.5946,4.2368,-8.3468,20.4944,-0.8914
0.02,22.4202,-4.3110,3.6766,4.0982,-6.9283,70.9252,-0.8302
0.02,22.4763,-4.3685,3.7568,4.0117,-4.3268,130.0714,-0.7648
