dt,x,y,position,velocity,acceleration,jerk,heading
0.02,19.0178,-1.8611,0.0028,0.1400,7.0000,0.0000,-1.1345
0.02,19.0202,-1.8661,0.0084,0.2796,6.9809,-0.9537,-1.1345
0.02,19.0237,-1.8737,0.0168,0.4187,6.9550,-1.2958,-1.1345
0.02,19.0284,-1.8838,0.0279,0.5570,6.9132,-2.0886,-1.1346
0.02,19.0343,-1.8964,0.0418,0.6942,6.8588,-2.7202,-1.1347
0.02,19.0413,-1.9115,0.0584,0.8300,6.7929,-3.2965,-1.1348
0.02,19.0495,-1.9289,0.0777,0.9644,6.7168,-3.8035,-1.1351
0.02,19.0587,-1.9488,0.0996,1.0970,6.6323,-4.2276,-1.1356
0.02,19.0691,-1.9711,0.1242,1.2278,6.5412,-4.5554,-1.1361
0.02,19.0805,-1.9957,0.1513,1.3567,6.4457,-4.7740,-1.1369
0.02,19.0929,-2.0227,0.1810,1.4837,6.3483,-4.8714,-1.1380
0.02,19.1064,-2.0519,0.2132,1.6087,6.2515,-4.8368,-1.1393
0.02,19.1209,-2.0833,0.2478,1.7319,6.1583,-4.6609,-1.1409
0.02,19.1363,-2.1171,0.2849,1.8533,6.0716,-4.3363,-1.1429
0.02,19.1526,-2.1530,0.3243,1.9732,5.9944,-3.8579,-1.1452
0.02,19.1699,-2.1911,0.3662,2.0918,5.9300,-3.2237,-1.1480
0.02,19.1879,-2.2314,0.4104,2.2094,5.8813,-2.4344,-1.1511
0.02,19.2068,-2.2740,0.4569,2.3265,5.8514,-1.4944,-1.1547
0.02,19.2265,-2.3187,0.5057,2.4433,5.8431,-0.4119,-1.1587
0.02,19.2469,-2.3657,0.5570,2.5605,5.8592,0.8013,-1.1631
0.02,19.2680,-2.4149,0.6105,2.6786,5.9018,2.1298,-1.1679
0.02,19.2898,-2.4664,0.6665,2.7980,5.9729,3.5546,-1.1731
0.02,19.3123,-2.5203,0.7249,2.9195,6.0739,5.0541,-1.1786
0.02,19.3354,-2.5766,0.7858,3.0436,6.2060,6.6048,-1.1845
0.02,19.3591,-2.6355,0.8492,3.1710,6.3697,8.1822,-1.1905
0.02,19.3834,-2.6969,0.9152,3.3023,6.5649,9.7627,-1.1968
0.02,19.4083,-2.7610,0.9840,3.4381,6.7914,11.3248,-1.2031
0.02,19.4339,-2.8278,1.0556,3.5791,7.0484,12.8510,-1.2093
