dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-5.6000,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-5.6000,0.0084,0.2800,7.0000,0.0000,-3.1416
0.02,30.7832,-5.6000,0.0168,0.4200,7.0000,0.0000,-3.1416
0.02,30.7720,-5.6000,0.0280,0.5600,7.0000,0.0000,-3.1415
0.02,30.7580,-5.6000,0.0420,0.7000,7.0000,0.0000,-3.1414
0.02,30.7412,-5.6000,0.0588,0.8400,7.0000,0.0000,-3.1412
0.02,30.7216,-5.6000,0.0784,0.9800,7.0000,0.0000,-3.1410
0.02,30.6992,-5.6000,0.1008,1.1200,7.0000,0.0000,-3.1405
0.02,30.6740,-5.6001,0.1260,1.2600,7.0000,0.0000,-3.1400
0.02,30.6460,-5.6001,0.1540,1.4000,7.0000,0.0000,-3.1392
0.02,30.6152,-5.6002,0.1848,1.5400,7.0000,0.0000,-3.1381
0.02,30.5816,-5.6004,0.2184,1.6800,7.0000,0.0000,-3.1368
0.02,30.5452,-5.6006,0.2548,1.8200,7.0000,0.0000,-3.1350
0.02,30.5060,-5.6009,0.2940,1.9600,7.0000,0.0000,-3.1329
0.02,30.4640,-5.6013,0.3360,2.1000,7.0000,0.0000,-3.1303
0.02,30.4192,-5.6018,0.3808,2.2400,7.0000,0.0000,-3.1272
0.02,30.3716,-5.6026,0.4284,2.3800,7.0000,0.0000,-3.1235
0.02,30.3212,-5.6036,0.4788,2.5200,7.0000,0.0000,-3.1191
0.02,30.2680,-5.6050,0.5320,2.6600,7.0000,0.0000,-3.1140
0.02,30.2121,-5.6067,0.5880,2.8000,7.0000,0.0000,-3.1080
0.02,30.1533,-5.6088,0.6468,2.9400,7.0000,0.0000,-3.1012
0.02,30.0918,-5.6116,0.7084,3.0800,7.0000,0.0000,-3.0934
0.02,30.0275,-5.6150,0.7728,3.2200,7.0000,0.0000,-3.0845
0.02,29.9604,-5.6191,0.8400,3.3600,7.0000,0.0000,-3.0744
0.02,29.8906,-5.6242,0.9100,3.5000,7.0000,0.0000,-3.0630
0.02,29.8180,-5.6304,0.9828,3.6400,7.0000,0.0000,-3.0503
0.02,29.7428,-5.6378,1.0584,3.7800,7.0000,0.0000,-3.0360
0.02,29.6649,-5.6467,1.1368,3.9200,7.0000,0.0000,-3.0202
0.02,29.5844,-5.6572,1.2180,4.0600,7.0000,0.0000,-3.0026
0.02,29.5013,-5.6697,1.3020,4.2000,7.0000,0.0000,-2.9832
0.02,29.4158,-5.6843,1.3888,4.3400,7.0000,0.0000,-2.9618
0.02,29.3278,-5.7013,1.4784,4.4800,7.0000,0.0000,-2.9383
0.02,29.2375,-5.7211,1.5708,4.6200,7.0000,0.0000,-2.9127
0.02,29.1451,-5.7440,1.6660,4.7600,7.0000,0.0000,-2.8849
0.02,29.0507,-5.7703,1.7640,4.9000,7.0000,0.0000,-2.8548
0.02,28.9545,-5.8003,1.8648,5.0400,7.0000,0.0000,-2.8225
0.02,28.8567,-5.8345,1.9684,5.1800,7.0000,0.0000,-2.7880
0.02,28.7576,-5.8732,2.0748,5.3200,7.0000,0.0000,-2.7515
0.02,28.6574,-5.9166,2.1840,5.4600,7.0000,0.0000,-2.7132
0.02,28.5565,-5.9652,2.2960,5.6000,7.0000,0.0000,-2.6734
