dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-6.6850,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-6.6850,0.0084,0.2796,6.9821,-0.8929,-3.1416
0.02,30.7832,-6.6850,0.0168,0.4188,6.9577,-1.2218,-3.1416
0.02,30.7721,-6.6850,0.0279,0.5572,6.9180,-1.9873,-3.1415
0.02,30.7582,-6.6850,0.0418,0.6945,6.8654,-2.6261,-3.1414
0.02,30.7416,-6.6850,0.0584,0.8305,6.8005,-3.2464,-3.1412
0.02,30.7223,-6.6850,0.0777,0.9649,6.7236,-3.8452,-3.1410
0.02,30.7003,-6.6850,0.0997,1.0977,6.6352,-4.4210,-3.1405
0.02,30.6758,-6.6851,0.1242,1.2284,6.5357,-4.9735,-3.1400
0.02,30.6486,-6.6851,0.1514,1.3569,6.4256,-5.5034,-3.1392
0.02,30.6190,-6.6852,0.1810,1.4830,6.3054,-6.0131,-3.1381
0.02,30.5868,-6.6853,0.2132,1.6065,6.1753,-6.5059,-3.1368
0.02,30.5523,-6.6855,0.2477,1.7272,6.0355,-6.9866,-3.1350
0.02,30.5154,-6.6858,0.2846,1.8449,5.8863,-7.4607,-3.1329
0.02,30.4762,-6.6862,0.3238,1.9595,5.7276,-7.9346,-3.1303
0.02,30.4348,-6.6867,0.3652,2.0707,5.5593,-8.4153,-3.1272
0.02,30.3912,-6.6874,0.4088,2.1783,5.3811,-8.9100,-3.1235
0.02,30.3456,-6.6884,0.4544,2.2821,5.1926,-9.4257,-3.1191
0.02,30.2980,-6.6896,0.5021,2.3820,4.9932,-9.9689,-3.1140
0.02,30.2485,-6.6911,0.5516,2.4777,4.7823,-10.5446,-3.1080
0.02,30.1971,-6.6930,0.6030,2.5688,4.5592,-11.1562,-3.1012
0.02,30.1441,-6.6953,0.6561,2.6553,4.3231,-11.8036,-3.0934
0.02,30.0894,-6.6982,0.7108,2.7368,4.0735,-12.4829,-3.0845
0.02,30.0333,-6.7017,0.7671,2.8130,3.8098,-13.1836,-3.0744
0.02,29.9757,-6.7059,0.8248,2.8836,3.5321,-13.8875,-3.0630
0.02,29.9170,-6.7109,0.8837,2.9484,3.2408,-14.5649,-3.0503
0.02,29.8571,-6.7168,0.9439,3.0072,2.9373,-15.1717,-3.0360
0.02,29.7963,-6.7237,1.0051,3.0597,2.6244,-15.6453,-3.0202
0.02,29.7347,-6.7318,1.0672,3.1058,2.3064,-15.8995,-3.0026
0.02,29.6725,-6.7411,1.1301,3.1456,1.9900,-15.8202,-2.9832
0.02,29.6098,-6.7518,1.1937,3.1793,1.6848,-15.2616,-2.9618
0.02,29.5469,-6.7640,1.2578,3.2074,1.4039,-14.0440,-2.9383
0.02,29.4837,-6.7778,1.3224,3.2307,1.1648,-11.9580,-2.9127
0.02,29.4206,-6.7934,1.3874,3.2504,0.9893,-8.7745,-2.8849
0.02,29.3577,-6.8110,1.4528,3.2685,0.9039,-4.2681,-2.8548
0.02,29.2949,-6.8306,1.5186,3.2873,0.9388,1.7454,-2.8225
0.02,29.2324,-6.8524,1.5848,3.3098,1.1259,9.3546,-2.7880
0.02,29.1702,-6.8767,1.6515,3.3397,1.4956,18.4870,-2.7515
0.02,29.1081,-6.9036,1.7192,3.3812,2.0725,28.8426,-2.7132
0.02,29.0462,-6.9334,1.7879,3.4386,2.8695,39.8512,-2.6734
0.02,28.9841,-6.9664,1.8583,3.5162,3.8831,50.6783,-2.6324
0.02,28.9216,-7.0030,1.9306,3.6180,5.0892,60.3055,-2.5907
0.02,28.8586,-7.0435,2.0056,3.7469,6.4430,67.6881,-2.5488
0.02,28.7948,-7.0885,2.0837,3.9045,7.8822,71.9631,-2.5072
0.02,28.7299,-7.1384,2.1655,4.0912,9.3352,72.6468,-2.4665
0.02,28.6638,-7.1935,2.2516,4.3058,10.7303,69.7572,-2.4272
0.02,28.5962,-7.2544,2.3425,4.5460,12.0065,63.8115,-2.3897
0.02,28.5272,-7.3213,2.4387,4.8084,13.1206,55.7022,-2.3545
0.02,28.4565,-7.3946,2.5405,5.0894,14.0505,46.4981,-2.3218
0.02,28.3843,-7.4745,2.6482,5.3853,14.7953,37.2380,-2.2921
0.02,28.3103,-7.5610,2.7620,5.6927,15.3708,28.7759,-2.2654
0.02,28.2345,-7.6542,2.8822,6.0088,15.8049,21.7024,-2.2420
0.02,28.1567,-7.7542,3.0088,6.3314,16.1317,16.3393,-2.2219
0.02,28.0770,-7.8608,3.1420,6.6592,16.3873,12.7814,-2.2053
0.02,27.9948,-7.9740,3.2818,6.9913,16.6064,10.9580,-2.1922
0.02,27.9101,-8.0936,3.4284,7.3277,16.8203,10.6918,-2.1828
0.02,27.8224,-8.2194,3.5818,7.6688,17.0551,11.7414,-2.1770
0.02,27.7312,-8.3513,3.7421,8.0154,17.3315,13.8216,-2.1751
0.02,27.6360,-8.4890,3.9095,8.3687,17.6635,16.6000,-2.1771
0.02,27.5362,-8.6322,4.0841,8.7299,18.0569,19.6706,-2.1832
0.02,27.4308,-8.7806,4.2661,9.1000,18.5070,22.5041,-2.1935
0.02,27.3192,-8.9338,4.4557,9.4799,18.9946,24.3786,-2.2083
0.02,27.2002,-9.0913,4.6530,9.8695,19.4805,24.2965,-2.2276
0.02,27.0729,-9.2525,4.8584,10.2675,19.8987,20.9101,-2.2517
0.02,26.9362,-9.4164,5.0718,10.6704,20.1487,12.4994,-2.2807
0.02,26.7891,-9.5819,5.2932,11.0723,20.0904,-2.9168,-2.3145
