dt,x,y,position,velocity,acceleration,jerk,heading
0.02,30.7972,-4.5150,0.0028,0.1400,7.0000,0.0000,-3.1416
0.02,30.7916,-4.5150,0.0084,0.2804,7.0179,0.8929,-3.1416
0.02,30.7832,-4.5150,0.0168,0.4212,7.0423,1.2218,-3.1416
0.02,30.7719,-4.5150,0.0281,0.5628,7.0820,1.9873,-3.1415
0.02,30.7578,-4.5150,0.0422,0.7055,7.1346,2.6261,-3.1414
0.02,30.7408,-4.5150,0.0592,0.8495,7.1995,3.2464,-3.1412
0.02,30.7209,-4.5150,0.0791,0.9951,7.2764,3.8452,-3.1410
0.02,30.6981,-4.5150,0.1019,1.1423,7.3648,4.4210,-3.1405
0.02,30.6722,-4.5151,0.1278,1.2916,7.4643,4.9734,-3.1400
0.02,30.6434,-4.5151,0.1566,1.4431,7.5744,5.5033,-3.1392
0.02,30.6114,-4.5152,0.1886,1.5970,7.6946,6.0130,-3.1381
0.02,30.5764,-4.5154,0.2236,1.7535,7.8247,6.5058,-3.1368
0.02,30.5381,-4.5156,0.2619,1.9128,7.9645,6.9864,-3.1350
0.02,30.4966,-4.5159,0.3034,2.0751,8.1137,7.4604,-3.1329
0.02,30.4518,-4.5163,0.3482,2.2405,8.2723,7.9342,-3.1303
0.02,30.4036,-4.5170,0.3964,2.4093,8.4406,8.4148,-3.1272
0.02,30.3520,-4.5178,0.4480,2.5817,8.6188,8.9093,-3.1235
0.02,30.2968,-4.5189,0.5032,2.7579,8.8073,9.4248,-3.1191
0.02,30.2381,-4.5204,0.5619,2.9380,9.0067,9.9677,-3.1140
0.02,30.1757,-4.5223,0.6244,3.1223,9.2175,10.5431,-3.1080
0.02,30.1095,-4.5247,0.6906,3.3112,9.4406,11.1541,-3.1012
0.02,30.0395,-4.5278,0.7607,3.5047,9.6766,11.8011,-3.0934
0.02,29.9655,-4.5317,0.8348,3.7032,9.9262,12.4796,-3.0845
0.02,29.8875,-4.5366,0.9129,3.9070,10.1898,13.1796,-3.0744
0.02,29.8054,-4.5426,0.9952,4.1164,10.4675,13.8825,-3.0630
0.02,29.7191,-4.5499,1.0819,4.3315,10.7587,14.5587,-3.0503
0.02,29.6285,-4.5589,1.1729,4.5528,11.0619,15.1643,-3.0360
0.02,29.5335,-4.5697,1.2685,4.7803,11.3747,15.6363,-3.0202
0.02,29.4341,-4.5827,1.3688,5.0141,11.6924,15.8888,-3.0026
0.02,29.3301,-4.5983,1.4739,5.2543,12.0086,15.8077,-2.9832
0.02,29.2217,-4.6168,1.5839,5.5006,12.3135,15.2470,-2.9618
