dt,x,y,position,velocity,acceleration,jerk,heading
0.02,17.0028,-11.4000,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,17.0084,-11.4000,0.0084,0.2800,7.0000,0.0000,0.0000
0.02,17.0168,-11.4000,0.0168,0.4200,7.0000,0.0000,0.0000
0.02,17.0280,-11.4000,0.0280,0.5600,7.0000,0.0000,0.0000
0.02,17.0420,-11.4000,0.0420,0.7000,7.0000,0.0000,0.0001
0.02,17.0588,-11.4000,0.0588,0.8400,7.0000,0.0000,0.0001
0.02,17.0784,-11.4000,0.0784,0.9800,7.0000,0.0000,0.0002
0.02,17.1008,-11.4000,0.1008,1.1200,7.0000,0.0000,0.0004
0.02,17.1260,-11.4000,0.1260,1.2600,7.0000,0.0000,0.0006
0.02,17.1540,-11.4000,0.1540,1.4000,7.0000,0.0000,0.0009
0.02,17.1848,-11.3999,0.1848,1.5400,7.0000,0.0000,0.0014
0.02,17.2184,-11.3999,0.2184,1.6800,7.0000,0.0000,0.0019
0.02,17.2548,-11.3998,0.2548,1.8200,7.0000,0.0000,0.0026
0.02,17.2940,-11.3997,0.2940,1.9600,7.0000,0.0000,0.0034
0.02,17.3360,-11.3995,0.3360,2.1000,7.0000,0.0000,0.0044
0.02,17.3808,-11.3993,0.3808,2.2400,7.0000,0.0000,0.0056
0.02,17.4284,-11.3990,0.4284,2.3800,7.0000,0.0000,0.0071
0.02,17.4788,-11.3986,0.4788,2.5200,7.0000,0.0000,0.0088
0.02,17.5320,-11.3981,0.5320,2.6600,7.0000,0.0000,0.0108
0.02,17.5880,-11.3974,0.5880,2.8000,7.0000,0.0000,0.0132
0.02,17.6468,-11.3965,0.6468,2.9400,7.0000,0.0000,0.0158
0.02,17.7084,-11.3955,0.7084,3.0800,7.0000,0.0000,0.0189
0.02,17.7728,-11.3941,0.7728,3.2200,7.0000,0.0000,0.0224
0.02,17.8399,-11.3925,0.8400,3.3600,7.0000,0.0000,0.0262
0.02,17.9099,-11.3905,0.9100,3.5000,7.0000,0.0000,0.0306
0.02,17.9827,-11.3881,0.9828,3.6400,7.0000,0.0000,0.0355
0.02,18.0582,-11.3852,1.0584,3.7800,7.0000,0.0000,0.0409
0.02,18.1365,-11.3818,1.1368,3.9200,7.0000,0.0000,0.0468
0.02,18.2176,-11.3777,1.2180,4.0600,7.0000,0.0000,0.0534
0.02,18.3015,-11.3729,1.3020,4.2000,7.0000,0.0000,0.0606
0.02,18.3881,-11.3673,1.3888,4.3400,7.0000,0.0000,0.0685
0.02,18.4775,-11.3608,1.4784,4.4800,7.0000,0.0000,0.0771
0.02,18.5696,-11.3533,1.5708,4.6200,7.0000,0.0000,0.0864
0.02,18.6644,-11.3446,1.6660,4.7600,7.0000,0.0000,0.0964
0.02,18.7619,-11.3347,1.7640,4.9000,7.0000,0.0000,0.1073
0.02,18.8620,-11.3233,1.8648,5.0400,7.0000,0.0000,0.1189
0.02,18.9648,-11.3103,1.9684,5.1800,7.0000,0.0000,0.1315
0.02,19.0702,-11.2957,2.0748,5.3200,7.0000,0.0000,0.1448
0.02,19.1781,-11.2792,2.1840,5.4600,7.0000,0.0000,0.1591
0.02,19.2886,-11.2606,2.2960,5.6000,7.0000,0.0000,0.1742
0.02,19.4015,-11.2398,2.4108,5.7400,7.0000,0.0000,0.1902
0.02,19.5168,-11.2166,2.5284,5.8800,7.0000,0.0000,0.2071
0.02,19.6344,-11.1908,2.6488,6.0200,7.0000,0.0000,0.2249
0.02,19.7542,-11.1622,2.7720,6.1600,7.0000,0.0000,0.2435
0.02,19.8762,-11.1307,2.8980,6.3000,7.0000,0.0000,0.2629
0.02,20.0002,-11.0959,3.0268,6.4400,7.0000,0.0000,0.2831
0.02,20.1262,-11.0579,3.1584,6.5800,7.0000,0.0000,0.3040
0.02,20.2540,-11.0163,3.2928,6.7200,7.0000,0.0000,0.3255
0.02,20.3835,-10.9710,3.4300,6.8600,7.0000,0.0000,0.3476
0.02,20.5146,-10.9218,3.5700,7.0000,7.0000,0.0000,0.3702
0.02,20.6471,-10.8686,3.7128,7.1400,7.0000,0.0000,0.3932
0.02,20.7809,-10.8112,3.8584,7.2800,7.0000,0.0000,0.4163
0.02,20.9159,-10.7497,4.0068,7.4200,7.0000,0.0000,0.4396
0.02,21.0520,-10.6837,4.1580,7.5600,7.0000,0.0000,0.4629
0.02,21.1890,-10.6133,4.3120,7.7000,7.0000,0.0000,0.4861
0.02,21.3267,-10.5385,4.4688,7.8400,7.0000,0.0000,0.5090
0.02,21.4652,-10.4592,4.6284,7.9800,7.0000,0.0000,0.5314
0.02,21.6043,-10.3753,4.7908,8.1200,7.0000,0.0000,0.5534
0.02,21.7439,-10.2870,4.9560,8.2600,7.0000,0.0000,0.5746
0.02,21.8840,-10.1942,5.1240,8.4000,7.0000,0.0000,0.5951
0.02,22.0245,-10.0971,5.2948,8.5400,7.0000,0.0000,0.6147
0.02,22.1653,-9.9956,5.4684,8.6800,7.0000,0.0000,0.6333
0.02,22.3066,-9.8900,5.6448,8.8200,7.0000,0.0000,0.6508
0.02,22.4483,-9.7803,5.8240,8.9600,7.0000,0.0000,0.6671
0.02,22.5904,-9.6666,6.0060,9.1000,7.0000,0.0000,0.6822
0.02,22.7330,-9.5491,6.1908,9.2400,7.0000,0.0000,0.6959
0.02,22.8762,-9.4279,6.3784,9.3800,7.0000,0.0000,0.7082
0.02,23.0201,-9.3032,6.5688,9.5200,7.0000,0.0000,0.7191
0.02,23.1649,-9.1753,6.7620,9.6600,7.0000,0.0000,0.7284
0.02,23.3106,-9.0442,6.9580,9.8000,7.0000,0.0000,0.7362
0.02,23.4575,-8.9103,7.1568,9.9400,7.0000,0.0000,0.7423
0.02,23.6058,-8.7736,7.3584,10.0800,7.0000,0.0000,0.7467
0.02,23.7556,-8.6346,7.5628,10.2200,7.0000,0.0000,0.7494
0.02,23.9072,-8.4933,7.7700,10.3600,7.0000,0.0000,0.7503
0.02,24.0608,-8.3502,7.9800,10.5000,7.0000,0.0000,0.7492
0.02,24.2127,-8.2093,8.1872,10.3600,-7.0000,0.0000,0.7463
0.02,24.3631,-8.0708,8.3916,10.2200,-7.0000,0.0000,0.7416
0.02,24.5122,-7.9351,8.5932,10.0800,-7.0000,0.0000,0.7351
0.02,24.6602,-7.8024,8.7920,9.9400,-7.0000,0.0000,0.7269
0.02,24.8073,-7.6728,8.9880,9.8000,-7.0000,0.0000,0.7171
0.02,24.9536,-7.5467,9.1812,9.6600,-7.0000,0.0000,0.7058
0.02,25.0993,-7.4241,9.3716,9.5200,-7.0000,0.0000,0.6929
0.02,25.2444,-7.3053,9.5592,9.3800,-7.0000,0.0000,0.6786
0.02,25.3892,-7.1904,9.7440,9.2400,-7.0000,0.0000,0.6629
0.02,25.5336,-7.0796,9.9260,9.1000,-7.0000,0.0000,0.6459
0.02,25.6776,-6.9730,10.1052,8.9600,-7.0000,0.0000,0.6277
0.02,25.8214,-6.8708,10.2816,8.8200,-7.0000,0.0000,0.6084
0.02,25.9648,-6.7730,10.4552,8.6800,-7.0000,0.0000,0.5881
0.02,26.1079,-6.6797,10.6260,8.5400,-7.0000,0.0000,0.5668
0.02,26.2506,-6.5911,10.7940,8.4000,-7.0000,0.0000,0.5448
0.02,26.3928,-6.5071,10.9592,8.2600,-7.0000,0.0000,0.5221
0.02,26.5345,-6.4277,11.1216,8.1200,-7.0000,0.0000,0.4988
0.02,26.6756,-6.3530,11.2812,7.9800,-7.0000,0.0000,0.4752
0.02,26.8158,-6.2829,11.4380,7.8400,-7.0000,0.0000,0.4513
0.02,26.9552,-6.2174,11.5920,7.7000,-7.0000,0.0000,0.4274
0.02,27.0935,-6.1564,11.7432,7.5600,-7.0000,0.0000,0.4034
0.02,27.2307,-6.0998,11.8916,7.4200,-7.0000,0.0000,0.3797
0.02,27.3665,-6.0474,12.0372,7.2800,-7.0000,0.0000,0.3562
0.02,27.5009,-5.9991,12.1800,7.1400,-7.0000,0.0000,0.3332
0.02,27.6337,-5.9548,12.3200,7.0000,-7.0000,0.0000,0.3107
0.02,27.7648,-5.9143,12.4572,6.8600,-7.0000,0.0000,0.2889
0.02,27.8941,-5.8774,12.5916,6.7200,-7.0000,0.0000,0.2677
0.02,28.0213,-5.8439,12.7232,6.5800,-7.0000,0.0000,0.2473
0.02,28.1465,-5.8136,12.8520,6.4400,-7.0000,0.0000,0.2278
0.02,28.2695,-5.7863,12.9780,6.3000,-7.0000,0.0000,0.2091
0.02,28.3902,-5.7618,13.1012,6.1600,-7.0000,0.0000,0.1914
0.02,28.5086,-5.7399,13.2216,6.0200,-7.0000,0.0000,0.1746
0.02,28.6246,-5.7204,13.3392,5.8800,-7.0000,0.0000,0.1587
0.02,28.7381,-5.7031,13.4540,5.7400,-7.0000,0.0000,0.1438
0.02,28.8490,-5.6878,13.5660,5.6000,-7.0000,0.0000,0.1297
0.02,28.9574,-5.6744,13.6752,5.4600,-7.0000,0.0000,0.1166
0.02,29.0632,-5.6627,13.7816,5.3200,-7.0000,0.0000,0.1044
0.02,29.1663,-5.6525,13.8852,5.1800,-7.0000,0.0000,0.0931
0.02,29.2667,-5.6436,13.9860,5.0400,-7.0000,0.0000,0.0826
0.02,29.3644,-5.6360,14.0840,4.9000,-7.0000,0.0000,0.0730
0.02,29.4593,-5.6295,14.1792,4.7600,-7.0000,0.0000,0.0641
0.02,29.5516,-5.6240,14.2716,4.6200,-7.0000,0.0000,0.0560
0.02,29.6411,-5.6193,14.3612,4.4800,-7.0000,0.0000,0.0486
0.02,29.7278,-5.6154,14.4480,4.3400,-7.0000,0.0000,0.0419
0.02,29.8117,-5.6121,14.5320,4.2000,-7.0000,0.0000,0.0359
0.02,29.8929,-5.6094,14.6132,4.0600,-7.0000,0.0000,0.0304
0.02,29.9712,-5.6072,14.6916,3.9200,-7.0000,0.0000,0.0256
0.02,30.0468,-5.6054,14.7672,3.7800,-7.0000,0.0000,0.0213
0.02,30.1196,-5.6040,14.8400,3.6400,-7.0000,0.0000,0.0175
0.02,30.1896,-5.6029,14.9100,3.5000,-7.0000,0.0000,0.0142
0.02,30.2568,-5.6021,14.9772,3.3600,-7.0000,0.0000,0.0113
0.02,30.3212,-5.6014,15.0416,3.2200,-7.0000,0.0000,0.0088
0.02,30.3828,-5.6009,15.1032,3.0800,-7.0000,0.0000,0.0067
0.02,30.4416,-5.6006,15.1620,2.9400,-7.0000,0.0000,0.0050
0.02,30.4976,-5.6004,15.2180,2.8000,-7.0000,0.0000,0.0036
0.02,30.5508,-5.6002,15.2712,2.6600,-7.0000,0.0000,0.0025
0.02,30.6012,-5.6001,15.3216,2.5200,-7.0000,0.0000,0.0016
0.02,30.6488,-5.6000,15.3692,2.3800,-7.0000,0.0000,0.0009
0.02,30.6936,-5.6000,15.4140,2.2400,-7.0000,0.0000,0.0005
0.02,30.7356,-5.6000,15.4560,2.1000,-7.0000,0.0000,0.0002
0.02,30.7748,-5.6000,15.4952,1.9600,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.8200,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.6800,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.5400,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.4000,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.2600,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,1.1200,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.9800,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.8400,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.7000,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.5600,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.4200,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.2800,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.1400,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,0.0000,-7.0000,0.0000,0.0000
0.02,30.8000,-5.6000,15.5204,-0.1400,-7.0000,0.0000,0.0000
