dt,x,y,position,velocity,acceleration,jerk,heading
0.02,17.0028,-10.3150,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,17.0084,-10.3150,0.0084,0.2799,6.9931,-0.3453,0.0000
0.02,17.0168,-10.3150,0.0168,0.4195,6.9836,-0.4733,0.0000
0.02,17.0280,-10.3150,0.0280,0.5589,6.9682,-0.7715,0.0000
0.02,17.0419,-10.3150,0.0419,0.6979,6.9477,-1.0226,0.0001
0.02,17.0586,-10.3150,0.0586,0.8363,6.9224,-1.2686,0.0001
0.02,17.0781,-10.3150,0.0781,0.9741,6.8922,-1.5085,0.0002
0.02,17.1004,-10.3150,0.1004,1.1113,6.8574,-1.7413,0.0004
0.02,17.1253,-10.3150,0.1253,1.2477,6.8181,-1.9662,0.0006
0.02,17.1530,-10.3150,0.1530,1.3831,6.7744,-2.1826,0.0009
0.02,17.1833,-10.3149,0.1833,1.5177,6.7266,-2.3898,0.0014
0.02,17.2164,-10.3149,0.2164,1.6512,6.6749,-2.5877,0.0019
0.02,17.2520,-10.3148,0.2520,1.7836,6.6193,-2.7759,0.0026
0.02,17.2903,-10.3147,0.2903,1.9148,6.5602,-2.9545,0.0034
0.02,17.3312,-10.3145,0.3312,2.0447,6.4978,-3.1234,0.0044
0.02,17.3747,-10.3143,0.3747,2.1734,6.4321,-3.2829,0.0056
0.02,17.4207,-10.3140,0.4207,2.3006,6.3635,-3.4332,0.0071
0.02,17.4692,-10.3136,0.4692,2.4265,6.2920,-3.5746,0.0088
0.02,17.5202,-10.3131,0.5202,2.5508,6.2178,-3.7075,0.0108
0.02,17.5737,-10.3125,0.5737,2.6736,6.1412,-3.8320,0.0132
0.02,17.6296,-10.3117,0.6296,2.7949,6.0622,-3.9482,0.0158
0.02,17.6879,-10.3107,0.6879,2.9145,5.9811,-4.0563,0.0189
0.02,17.7485,-10.3094,0.7485,3.0325,5.8980,-4.1559,0.0224
0.02,17.8115,-10.3079,0.8115,3.1487,5.8130,-4.2465,0.0262
0.02,17.8767,-10.3060,0.8768,3.2633,5.7265,-4.3270,0.0306
0.02,17.9442,-10.3038,0.9443,3.3760,5.6386,-4.3960,0.0355
0.02,18.0139,-10.3011,1.0140,3.4870,5.5495,-4.4514,0.0409
0.02,18.0857,-10.2980,1.0860,3.5962,5.4597,-4.4904,0.0468
0.02,18.1597,-10.2943,1.1600,3.7036,5.3695,-4.5095,0.0534
0.02,18.2358,-10.2899,1.2362,3.8092,5.2795,-4.5040,0.0606
0.02,18.3139,-10.2849,1.3145,3.9130,5.1901,-4.4685,0.0685
0.02,18.3940,-10.2791,1.3948,4.0150,5.1022,-4.3960,0.0771
0.02,18.4760,-10.2723,1.4771,4.1154,5.0166,-4.2788,0.0864
0.02,18.5599,-10.2647,1.5614,4.2141,4.9345,-4.1074,0.0964
0.02,18.6457,-10.2559,1.6476,4.3112,4.8570,-3.8717,0.1073
0.02,18.7333,-10.2459,1.7357,4.4069,4.7858,-3.5600,0.1189
0.02,18.8226,-10.2347,1.8258,4.5014,4.7226,-3.1599,0.1315
0.02,18.9136,-10.2221,1.9177,4.5948,4.6695,-2.6585,0.1448
0.02,19.0063,-10.2079,2.0114,4.6873,4.6286,-2.0428,0.1591
0.02,19.1006,-10.1920,2.1070,4.7794,4.6026,-1.3010,0.1742
0.02,19.1964,-10.1744,2.2044,4.8713,4.5941,-0.4226,0.1902
0.02,19.2937,-10.1548,2.3037,4.9634,4.6061,0.5995,0.2071
0.02,19.3925,-10.1331,2.4048,5.0562,4.6415,1.7681,0.2249
0.02,19.4927,-10.1092,2.5078,5.1503,4.7031,3.0802,0.2435
0.02,19.5942,-10.0829,2.6127,5.2462,4.7936,4.5253,0.2629
0.02,19.6972,-10.0541,2.7196,5.3445,4.9153,6.0841,0.2831
0.02,19.8014,-10.0226,2.8286,5.4459,5.0698,7.7279,0.3040
