dt,x,y,position,velocity,acceleration,jerk,heading
0.02,17.0028,-12.4850,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,17.0084,-12.4850,0.0084,0.2801,7.0069,0.3453,0.0000
0.02,17.0168,-12.4850,0.0168,0.4205,7.0164,0.4733,0.0000
0.02,17.0280,-12.4850,0.0280,0.5611,7.0318,0.7715,0.0000
0.02,17.0421,-12.4850,0.0421,0.7021,7.0523,1.0226,0.0001
0.02,17.0590,-12.4850,0.0590,0.8437,7.0776,1.2686,0.0001
0.02,17.0787,-12.4850,0.0787,0.9859,7.1078,1.5085,0.0002
0.02,17.1012,-12.4850,0.1012,1.1287,7.1426,1.7413,0.0004
0.02,17.1267,-12.4850,0.1267,1.2723,7.1819,1.9662,0.0006
0.02,17.1550,-12.4850,0.1550,1.4169,7.2256,2.1826,0.0009
0.02,17.1863,-12.4849,0.1863,1.5623,7.2734,2.3898,0.0014
0.02,17.2204,-12.4849,0.2204,1.7088,7.3251,2.5877,0.0019
0.02,17.2576,-12.4848,0.2576,1.8564,7.3807,2.7759,0.0026
0.02,17.2977,-12.4847,0.2977,2.0052,7.4398,2.9544,0.0034
0.02,17.3408,-12.4845,0.3408,2.1553,7.5022,3.1233,0.0044
0.02,17.3869,-12.4843,0.3869,2.3066,7.5679,3.2828,0.0056
0.02,17.4361,-12.4839,0.4361,2.4594,7.6365,3.4331,0.0071
0.02,17.4884,-12.4835,0.4884,2.6135,7.7080,3.5745,0.0088
0.02,17.5438,-12.4830,0.5438,2.7692,7.7822,3.7073,0.0108
0.02,17.6023,-12.4823,0.6023,2.9264,7.8588,3.8317,0.0132
0.02,17.6640,-12.4814,0.6640,3.0851,7.9378,3.9480,0.0158
0.02,17.7289,-12.4803,0.7289,3.2455,8.0189,4.0560,0.0189
0.02,17.7970,-12.4789,0.7971,3.4075,8.1020,4.1555,0.0224
0.02,17.8684,-12.4771,0.8685,3.5713,8.1869,4.2459,0.0262
0.02,17.9431,-12.4750,0.9432,3.7367,8.2734,4.3263,0.0306
0.02,18.0212,-12.4724,1.0213,3.9040,8.3613,4.3952,0.0355
0.02,18.1026,-12.4693,1.1028,4.0730,8.4504,4.4504,0.0409
0.02,18.1874,-12.4656,1.1876,4.2438,8.5401,4.4893,0.0468
0.02,18.2756,-12.4612,1.2760,4.4164,8.6303,4.5082,0.0534
0.02,18.3672,-12.4559,1.3678,4.5908,8.7204,4.5026,0.0606
0.02,18.4624,-12.4498,1.4631,4.7670,8.8097,4.4668,0.0685
0.02,18.5610,-12.4426,1.5620,4.9449,8.8976,4.3941,0.0771
0.02,18.6632,-12.4343,1.6645,5.1246,8.9831,4.2766,0.0864
0.02,18.7688,-12.4246,1.7706,5.3059,9.0652,4.1050,0.0964
0.02,18.8780,-12.4134,1.8804,5.4887,9.1426,3.8690,0.1073
0.02,18.9908,-12.4006,1.9939,5.6730,9.2137,3.5571,0.1189
0.02,19.1070,-12.3860,2.1110,5.8586,9.2769,3.1568,0.1315
0.02,19.2268,-12.3693,2.2319,6.0452,9.3300,2.6551,0.1448
0.02,19.3500,-12.3505,2.3566,6.2326,9.3708,2.0394,0.1591
0.02,19.4766,-12.3292,2.4850,6.4205,9.3967,1.2975,0.1742
0.02,19.6066,-12.3052,2.6172,6.6086,9.4051,0.4191,0.1902
